MA_months,cost_bps,CAGR,Sharpe,MaxDD,Calmar
6,0.0,0.0608,1.08,-0.0814,0.75
6,5.0,0.0584,1.04,-0.0837,0.7
6,10.0,0.056,1.0,-0.0861,0.65
8,0.0,0.0596,1.03,-0.0774,0.77
8,5.0,0.0577,1.0,-0.0783,0.74
8,10.0,0.0558,0.97,-0.0793,0.7
10,0.0,0.0569,1.01,-0.076,0.75
10,5.0,0.0552,0.98,-0.0766,0.72
10,10.0,0.0535,0.95,-0.0775,0.69
12,0.0,0.056,1.01,-0.0739,0.76
12,5.0,0.0544,0.98,-0.0759,0.72
12,10.0,0.0529,0.96,-0.0784,0.67
