Date,GTAA_Trend,SPY_BuyHold,Portfolio_60_40
2007-06-30,1.0038663298592152,0.9853791521222175,0.9893567660399001
2007-07-31,1.0078777214204597,0.9545267768820188,0.9797020048127675
2007-08-31,1.012169493536306,0.9667762895393217,0.9961143124250685
2007-09-30,1.0140915490938591,1.0042038401456423,1.019604147726463
2007-10-31,1.01808258263558,1.0178276074730088,1.0322953629846419
2007-11-30,1.0221085156393412,0.9784047618338914,1.0250189091425523
2007-12-31,1.0245174402352346,0.9673871245143761,1.0183008856318374
2008-01-31,1.0285453120979982,0.9088978507311808,0.9950299421121783
2008-02-29,1.030226949139274,0.8854095131505636,0.9845335176206468
2008-03-31,1.0271709863392329,0.8774920458216239,0.9845182440160924
2008-04-30,1.023346350550433,0.9193152128170601,1.0031522539472386
2008-05-31,1.0298293264722194,0.9332124703600817,1.0051188083512175
2008-06-30,1.0219747829207213,0.8552180785040946,0.9593236347307172
2008-07-31,1.0103537830973908,0.8475332089693456,0.9569165517855475
2008-08-31,0.9978164085663609,0.8606308318652461,0.9716325597688347
2008-09-30,0.9905038610282962,0.7795821233924922,0.9161859653849344
2008-10-31,0.9509434810267933,0.6508055098321116,0.8222187962718971
2008-11-30,0.9738125370530096,0.6055054239509394,0.8133811226487264
2008-12-31,0.9943941980640427,0.6114369511857881,0.8349380827355427
2009-01-31,0.9829671470123006,0.5612292431982154,0.7808196967679981
2009-02-28,0.9820416884398082,0.500925713707409,0.7281851699648091
2009-03-31,0.987262389471903,0.5426583078871914,0.7742366396256691
2009-04-30,0.9733696542031683,0.596569189622765,0.8118850944323381
2009-05-31,1.0023602232261224,0.6314408575814054,0.8336136497775061
2009-06-30,0.9960270819872112,0.6310271141559075,0.8314281132223573
2009-07-31,1.0374869327481016,0.6781055597109439,0.8714117706479201
2009-08-31,1.0553160029708488,0.7031544711575194,0.8933867527287528
2009-09-30,1.097048758586916,0.7280862332580262,0.9164105226854409
2009-10-31,1.0940363965126492,0.7140884809946626,0.9053343428535306
2009-11-30,1.1493240510552798,0.7580813559331646,0.9461036864061605
2009-12-31,1.1477317326354997,0.7725613836351225,0.9402846452526483
2010-01-31,1.1055088793492143,0.744484519489952,0.92869625580523
2010-02-28,1.125263429948239,0.7677085800521244,0.9473113795372071
2010-03-31,1.163826634433723,0.8144464916641121,0.9779095170710741
2010-04-30,1.1861445897299712,0.8270461766861607,0.9934515544987803
2010-05-31,1.1297881712876496,0.7613336145484607,0.9577472919080793
2010-06-30,1.1319116290594529,0.7219411724601379,0.9396918410776834
2010-07-31,1.1436690612730247,0.7712505582843158,0.9816200916236539
2010-08-31,1.1479361172747247,0.7365593981202528,0.968305502817577
2010-09-30,1.1759177843171948,0.8025214961608609,1.020323083818281
2010-10-31,1.202787579234426,0.8331795438106664,1.0436813517978165
2010-11-30,1.1870598177239857,0.8331795438106664,1.039931763729433
2010-12-31,1.2329778454341787,0.8888795575737656,1.0673731414456058
2011-01-31,1.2363517495816119,0.9095906122906604,1.082204351616733
2011-02-28,1.268345598591263,0.941187130382474,1.1038573538907457
2011-03-31,1.2776485992185678,0.9413004527081628,1.1032547236272967
2011-04-30,1.3232171655715332,0.9685616654172153,1.1305511732872122
2011-05-31,1.3060446807416204,0.9576998728720527,1.1342752892522656
2011-06-30,1.2807545345947773,0.941543751985267,1.120505669199009
2011-07-31,1.2986233576136494,0.9227082916081807,1.1212621001997354
2011-08-31,1.290315908053467,0.8719819869237802,1.1051384652638712
2011-09-30,1.274760426724248,0.8114483046795813,1.0689957645621813
2011-10-31,1.2753179702987842,0.9000156199128091,1.133501504333727
2011-11-30,1.272335704737282,0.8963581223617478,1.133366803867061
2011-12-31,1.264511173948804,0.9057238334214256,1.1494827229112572
2012-01-31,1.27584565628382,0.9477263742794747,1.1854304622152743
2012-02-29,1.2737131803239912,0.9888625911167486,1.211087404177996
2012-03-31,1.2674146684877776,1.020667965302249,1.2267507301957468
2012-04-30,1.2751079738673838,1.0138543098698716,1.2341495418332915
2012-05-31,1.2257395252868164,0.9529669825942861,1.2038449701065317
2012-06-30,1.241626627806237,0.9916392361437413,1.2311619213176868
2012-07-31,1.2546303778004302,1.003369904056599,1.246800381844641
2012-08-31,1.2578348121724716,1.0285067661011604,1.2649567482665356
2012-09-30,1.264841105543457,1.054580539431279,1.2824357297449716
2012-10-31,1.2521166740888416,1.0353888118051386,1.2664009711100521
2012-11-30,1.2614157023011432,1.0412489013262325,1.2756613478089394
2012-12-31,1.2755835334143433,1.0505516082911404,1.2777014746123898
2013-01-31,1.294320843243242,1.104330103469874,1.3103364102125334
2013-02-28,1.2870513539531123,1.1184197042223516,1.3263029912232724
2013-03-31,1.298103994807326,1.160887298927286,1.3580412978026462
2013-04-30,1.324597257008812,1.1831910319588799,1.381981950063998
2013-05-31,1.2893226973595073,1.211125800254766,1.384393837881744
2013-06-30,1.2777301077174255,1.1949637262251673,1.3592097675687982
2013-07-31,1.2937623630531578,1.2567159601065725,1.3994368283959955
2013-08-31,1.274633882446732,1.219024203352555,1.366290117535216
2013-09-30,1.2909770685716049,1.2576017027122377,1.4023228384200164
2013-10-31,1.3057202133838866,1.3158377553136404,1.4456483288046968
2013-11-30,1.3030885305808382,1.3548360851735985,1.4662881081757
2013-12-31,1.309848347822401,1.3899617538922568,1.4768353517362254
2014-01-31,1.2851592928664453,1.3409678137664158,1.463697787387934
2014-02-28,1.3118671986142876,1.402003402646342,1.50576362062657
2014-03-31,1.3083025465998186,1.4136335758388578,1.5098789858320505
2014-04-30,1.3238734460292603,1.4234605137250413,1.5207564471527661
2014-05-31,1.3441871168042776,1.4564937944864538,1.5530347422030526
2014-06-30,1.3572646985120669,1.4865629770930149,1.570925808743184
2014-07-31,1.3377163079628942,1.4665872063842633,1.556874561314044
2014-08-31,1.3663843089001078,1.5244639442944579,1.6054476524876713
2014-09-30,1.3202444672419713,1.5034319159609,1.5854186209708505
2014-10-31,1.3439179825657572,1.5388392250312075,1.6175641810347985
2014-11-30,1.3531465531708422,1.5811141930436956,1.6525645235374316
2014-12-31,1.3602453715542886,1.5771037591687254,1.6509047703090118
2015-01-31,1.3872958954667016,1.5303751316246959,1.6499665834984991
2015-02-28,1.367767404986269,1.6163888320741724,1.6892945042054652
2015-03-31,1.367058031503488,1.5910027884804416,1.6791602056453567
2015-04-30,1.3602686279057912,1.6066483565002718,1.6848162655240377
2015-05-31,1.3519514303432836,1.6273036359386692,1.6950065841212247
2015-06-30,1.3342284719792483,1.594249944401898,1.6632920074454505
2015-07-31,1.340144611004778,1.6302626313996815,1.6959371829298309
2015-08-31,1.319981202372471,1.5308977325187731,1.6344526029232394
2015-09-30,1.318962907873541,1.4918360442103062,1.6197547525788196
2015-10-31,1.3176265340912026,1.618730543322083,1.6982934335281428
2015-11-30,1.3165185714291199,1.6246471168291519,1.6991123899776708
2015-12-31,1.3158142388914864,1.596569402235008,1.6784145809450324
2016-01-31,1.3035886400022445,1.5170813384989603,1.6506578556011888
2016-02-29,1.3093944587018784,1.5158283436783364,1.6596515222457893
2016-03-31,1.3230166816808215,1.6177923563630665,1.7261955213014297
2016-04-30,1.3268380928672272,1.6241680305742079,1.7291991990596136
2016-05-31,1.3204789213699921,1.651798267266914,1.7461629763672373
2016-06-30,1.3710251667323619,1.6575395065439928,1.7713706813222232
2016-07-31,1.3891748020513488,1.7179923961357306,1.8118798308558262
2016-08-31,1.381658089363358,1.7200492069775946,1.805851121248023
2016-09-30,1.3921489140249932,1.7201492764734496,1.8076289890014563
2016-10-31,1.360199625129268,1.6903268658106338,1.778018227929251
2016-11-30,1.3456743719724016,1.752596030926294,1.7872534407514575
2016-12-31,1.3571343299197205,1.7881236785263201,1.8081445819978383
2017-01-31,1.3754639675775429,1.8201222463702493,1.8291459093655824
2017-02-28,1.388306660712036,1.891637209240356,1.8775614994464207
2017-03-31,1.3899695974987338,1.8940021660935358,1.8795752926700136
2017-04-30,1.3952752468772984,1.9128020493552402,1.8991056554489203
2017-05-31,1.4087131372766806,1.9397977093723882,1.921467133697488
2017-06-30,1.4079872479786157,1.9521638044097773,1.924900758898686
2017-07-31,1.4273395476895738,1.9922885539348374,1.95152524272678
2017-08-31,1.4455491195093062,1.998101514408662,1.9663195689251152
2017-09-30,1.4419456130803245,2.03836219402795,1.9787535024692724
2017-10-31,1.456709554693313,2.0863939928820265,2.0052342106300487
2017-11-30,1.4687041891977202,2.1501666100409396,2.039769012994308
2017-12-31,1.4900799265920521,2.1762432182009697,2.05611911566744
2018-01-31,1.5195621384750222,2.2988946856435857,2.107963779690351
