simulation,annualized_sharpe,final_equity,strategy_sharpe,p_value,evaluation_start
0,0.8524565284564858,2572274.179794101,1.0333031561228818,0.306,2016-05-31T00:00:00
1,1.0868087354874139,3548664.2018498923,1.0333031561228818,0.306,2016-05-31T00:00:00
2,0.98593210426539,2971744.811078887,1.0333031561228818,0.306,2016-05-31T00:00:00
3,0.9616584189003983,2922732.1913009607,1.0333031561228818,0.306,2016-05-31T00:00:00
4,0.6408671438283214,1931417.3391672913,1.0333031561228818,0.306,2016-05-31T00:00:00
5,1.0507746946047891,3344508.991719368,1.0333031561228818,0.306,2016-05-31T00:00:00
6,0.9643988888518232,3164647.1980486074,1.0333031561228818,0.306,2016-05-31T00:00:00
7,1.0003704366301087,3126048.3327663955,1.0333031561228818,0.306,2016-05-31T00:00:00
8,0.9291691023812113,2940718.3280140744,1.0333031561228818,0.306,2016-05-31T00:00:00
9,1.229507100627718,4236595.664357922,1.0333031561228818,0.306,2016-05-31T00:00:00
10,0.8660944403661556,2527353.56494502,1.0333031561228818,0.306,2016-05-31T00:00:00
11,1.179793045160767,4005157.118654249,1.0333031561228818,0.306,2016-05-31T00:00:00
12,1.0585256161780727,3525556.8733950076,1.0333031561228818,0.306,2016-05-31T00:00:00
13,0.9885711963691232,3114442.1529312343,1.0333031561228818,0.306,2016-05-31T00:00:00
14,1.062269217522715,3259296.1562554864,1.0333031561228818,0.306,2016-05-31T00:00:00
15,1.0029839608442332,3199032.684901804,1.0333031561228818,0.306,2016-05-31T00:00:00
16,0.8696112122235113,2856721.964696542,1.0333031561228818,0.306,2016-05-31T00:00:00
17,0.880745366001592,2680604.928689427,1.0333031561228818,0.306,2016-05-31T00:00:00
18,0.9100163552200291,2842987.924447234,1.0333031561228818,0.306,2016-05-31T00:00:00
19,0.8471466773441747,2603742.476088858,1.0333031561228818,0.306,2016-05-31T00:00:00
20,0.834579592304201,2534641.9780147593,1.0333031561228818,0.306,2016-05-31T00:00:00
21,1.2357658288116744,4299961.331742364,1.0333031561228818,0.306,2016-05-31T00:00:00
22,1.1098221760222404,3314312.8532044557,1.0333031561228818,0.306,2016-05-31T00:00:00
23,0.7776359488130734,2351555.073582515,1.0333031561228818,0.306,2016-05-31T00:00:00
24,1.246293558766823,4667446.765749657,1.0333031561228818,0.306,2016-05-31T00:00:00
25,0.9354968560461528,2807878.9964636513,1.0333031561228818,0.306,2016-05-31T00:00:00
26,1.1464237300144067,3590247.519385055,1.0333031561228818,0.306,2016-05-31T00:00:00
27,0.84453388828687,2582331.260644675,1.0333031561228818,0.306,2016-05-31T00:00:00
28,1.237222178775438,4604636.265527511,1.0333031561228818,0.306,2016-05-31T00:00:00
29,0.9448987020693559,2725154.524337372,1.0333031561228818,0.306,2016-05-31T00:00:00
30,1.046307879276342,3369877.859419214,1.0333031561228818,0.306,2016-05-31T00:00:00
31,0.9448167344377819,3008493.5674723736,1.0333031561228818,0.306,2016-05-31T00:00:00
32,0.9022148933356176,2870815.480893368,1.0333031561228818,0.306,2016-05-31T00:00:00
33,1.0041915701040525,3123206.3731556158,1.0333031561228818,0.306,2016-05-31T00:00:00
34,0.9796287574242144,3108240.588061706,1.0333031561228818,0.306,2016-05-31T00:00:00
35,0.9291319394976635,3083908.5667062826,1.0333031561228818,0.306,2016-05-31T00:00:00
36,0.8400665706948759,2567548.193606496,1.0333031561228818,0.306,2016-05-31T00:00:00
37,1.1195298344773017,3560875.5733052325,1.0333031561228818,0.306,2016-05-31T00:00:00
38,1.069261994131882,3167450.7679602536,1.0333031561228818,0.306,2016-05-31T00:00:00
39,1.025577785292618,3461417.4979297547,1.0333031561228818,0.306,2016-05-31T00:00:00
40,0.9065667180774271,3021940.357321867,1.0333031561228818,0.306,2016-05-31T00:00:00
41,0.820634302794137,2466878.9300133013,1.0333031561228818,0.306,2016-05-31T00:00:00
42,0.6518704489366431,2100095.7871333743,1.0333031561228818,0.306,2016-05-31T00:00:00
43,0.9655977456892112,3205237.568175794,1.0333031561228818,0.306,2016-05-31T00:00:00
44,1.104822780235392,3618898.604219334,1.0333031561228818,0.306,2016-05-31T00:00:00
45,1.2080424821756595,4065815.9296510946,1.0333031561228818,0.306,2016-05-31T00:00:00
46,0.7075168089210521,2170529.1809034566,1.0333031561228818,0.306,2016-05-31T00:00:00
47,1.0223555207609898,3341604.9812908196,1.0333031561228818,0.306,2016-05-31T00:00:00
48,0.9972042198503674,3324980.2902127514,1.0333031561228818,0.306,2016-05-31T00:00:00
49,0.9624904068290286,2842477.927418272,1.0333031561228818,0.306,2016-05-31T00:00:00
50,0.876180226715811,2585756.0192121016,1.0333031561228818,0.306,2016-05-31T00:00:00
51,0.8872479638073167,2710073.4650622085,1.0333031561228818,0.306,2016-05-31T00:00:00
52,1.1803190631788942,4424694.904897913,1.0333031561228818,0.306,2016-05-31T00:00:00
53,0.840384902464668,2502073.7851887695,1.0333031561228818,0.306,2016-05-31T00:00:00
54,0.9929084450132761,3118378.407391194,1.0333031561228818,0.306,2016-05-31T00:00:00
55,0.8856994297510916,2795202.759889447,1.0333031561228818,0.306,2016-05-31T00:00:00
56,0.9224281176106609,2946749.7554256353,1.0333031561228818,0.306,2016-05-31T00:00:00
57,0.9268994152557779,2753548.628845879,1.0333031561228818,0.306,2016-05-31T00:00:00
58,0.9521641425688083,2993299.509222433,1.0333031561228818,0.306,2016-05-31T00:00:00
59,1.1101922041109982,3709948.6235132576,1.0333031561228818,0.306,2016-05-31T00:00:00
60,1.0036449640393539,3128488.09752837,1.0333031561228818,0.306,2016-05-31T00:00:00
61,0.8899924557412257,2706343.972835722,1.0333031561228818,0.306,2016-05-31T00:00:00
62,0.8280893220132756,2494811.225764212,1.0333031561228818,0.306,2016-05-31T00:00:00
63,0.8161155494977732,2572555.732102336,1.0333031561228818,0.306,2016-05-31T00:00:00
64,0.8936823759847553,2757560.560011066,1.0333031561228818,0.306,2016-05-31T00:00:00
