date,ticker,pnl,pnl_comm,bar_len
2016-06-06,TSN,-2503.3504661665493,-2503.3504661665493,2
2016-06-13,GPN,-2496.0297421936834,-2496.0297421936834,7
2016-06-14,HD,-2497.5795243325265,-2497.5795243325265,8
2016-06-24,MSI,-2497.4031200439467,-2497.4031200439467,16
2016-06-24,SPGI,-2483.833260243401,-2483.833260243401,16
2016-06-27,CPRT,-2613.2174999999984,-2613.2174999999984,17
2016-06-27,EW,-2503.3333333308324,-2503.3333333308324,17
2016-06-27,NVDA,-2513.342644124993,-2513.342644124993,17
2016-07-06,MCD,-581.6730198824978,-581.6730198824978,23
2016-07-06,POOL,1734.3427537128048,1734.3427537128048,23
2016-07-27,CPB,-2519.9899254354505,-2519.9899254354505,16
2016-08-03,ATO,-844.555673332798,-844.555673332798,21
2016-08-03,CINF,350.77558289220315,350.77558289220315,21
2016-08-03,CL,3091.1644896959983,3091.1644896959983,43
2016-08-05,AWK,-2519.194919666945,-2519.194919666945,23
2016-08-10,KLAC,-2494.045219025329,-2494.045219025329,48
2016-09-06,CHTR,10428.480000000007,10428.480000000007,44
2016-09-06,HD,-1192.1814548036998,-1192.1814548036998,24
2016-09-06,HII,-463.9712681682063,-463.9712681682063,44
2016-09-06,MSI,9500.418865241196,9500.418865241196,44
2016-09-06,ULTA,2232.3799999999965,2232.3799999999965,66
2016-09-06,VZ,3126.2050748890038,3126.2050748890038,66
2016-09-09,ALB,-2601.3504397248016,-2601.3504397248016,4
2016-09-14,CLX,-2501.4141397765907,-2501.4141397765907,72
2016-10-03,ALGN,-2582.660500000003,-2582.660500000003,20
2016-10-05,EW,2272.5899999999915,2272.5899999999915,22
2016-10-12,ALB,-2564.189515549482,-2564.189515549482,6
2016-10-14,HPQ,-3436.403645283197,-3436.403645283197,8
2016-10-20,KMB,-2493.635153386412,-2493.635153386412,98
2016-11-03,AMAT,4614.0375175326,4614.0375175326,66
2016-11-03,BAX,-698.6214312602019,-698.6214312602019,22
2016-11-03,CLX,-3311.1212402400015,-3311.1212402400015,22
2016-11-03,CPRT,-2215.830000000005,-2215.830000000005,22
2016-11-03,GEN,2316.4539255350983,2316.4539255350983,43
2016-11-03,KLAC,2800.5936482064053,2800.5936482064053,43
2016-11-03,LII,1786.8979341014974,1786.8979341014974,108
2016-11-03,LMT,1275.5795219622037,1275.5795219622037,108
2016-11-03,MO,1574.8039566540085,1574.8039566540085,108
2016-11-03,NDSN,-1017.9231775767006,-1017.9231775767006,22
2016-11-03,NVDA,10935.709749949998,10935.709749949998,66
2016-11-03,OKE,-3011.0299762117934,-3011.0299762117934,22
2016-11-03,SPGI,-2775.1291347135984,-2775.1291347135984,22
2016-11-03,TPL,4482.448663436798,4482.448663436798,22
2016-11-03,UPS,2543.956610515996,2543.956610515996,108
