Date,SPY,EFA,EEM,TLT,IEF,HYG,GLD,DBC,VNQ,BIL
2005-01-03,81.17463684082031,28.500852584838867,14.487372398376465,44.2225456237793,47.93034362792969,,43.02000045776367,,22.35088348388672,
2005-01-04,80.18267822265625,27.954479217529297,14.041328430175781,43.75910949707031,47.63189697265625,,42.7400016784668,,22.01496124267578,
2005-01-05,79.62940979003906,27.93657112121582,13.869441032409668,43.993309020996094,47.71076202392578,,42.66999816894531,,21.283123016357422,
2005-01-06,80.0342025756836,27.93657112121582,13.860010147094727,44.02320861816406,47.75579833984375,,42.150001525878906,,21.447092056274414,
2005-01-07,79.9195327758789,27.81117057800293,13.886846542358398,44.12290573120117,47.71638107299805,,41.84000015258789,,21.39910316467285,
2005-01-10,80.2973861694336,27.93657112121582,13.904247283935547,44.19263458251953,47.71076202392578,,41.95000076293945,,21.331113815307617,
2005-01-11,79.74407196044922,27.882829666137695,13.878141403198242,44.45179748535156,47.80645751953125,,42.209999084472656,,21.11517333984375,
2005-01-12,80.00724029541016,28.106752395629883,14.048583030700684,44.51156997680664,47.87966537475586,,42.599998474121094,,21.015180587768555,
2005-01-13,79.36624145507812,27.864913940429688,13.99056339263916,44.9401741027832,48.07109069824219,,42.599998474121094,,21.015180587768555,
2005-01-14,79.78457641601562,27.9992733001709,14.2407808303833,44.935142517089844,48.04299545288086,,42.31999969482422,,21.275129318237305,
2005-01-18,80.6145248413086,28.020763397216797,14.215394973754883,45.084686279296875,48.02602005004883,,42.31999969482422,,21.483083724975586,
2005-01-19,79.7710952758789,27.73055648803711,14.019572257995605,45.21424865722656,48.0542106628418,,42.2599983215332,,21.50307846069336,
2005-01-20,79.28527069091797,27.546052932739258,13.845502853393555,45.3039665222168,48.138668060302734,,42.25,,21.435087203979492,
2005-01-21,78.7994384765625,27.655323028564453,14.034078598022461,45.353763580322266,48.23442840576172,,42.7400016784668,,21.4550838470459,
2005-01-24,78.64422607421875,27.70368766784668,14.012317657470703,45.54811477661133,48.22879409790039,,42.77000045776367,,21.283123016357422,
2005-01-25,78.86691284179688,27.712648391723633,14.139241218566895,45.119544982910156,48.04861068725586,,42.2400016784668,,20.883211135864258,
2005-01-26,79.10308074951172,28.04763412475586,14.345948219299316,45.20429611206055,48.059844970703125,,42.689998626708984,,20.81922721862793,
2005-01-27,79.238037109375,28.088836669921875,14.35972785949707,45.119544982910156,47.986671447753906,,42.619998931884766,,20.671266555786133,
2005-01-28,79.238037109375,28.026132583618164,14.372779846191406,45.57302474975586,48.23442840576172,,42.689998626708984,,20.703266143798828,
2005-01-31,79.73059844970703,28.160497665405273,14.562080383300781,45.7026481628418,48.25130844116211,,42.220001220703125,,20.67926788330078,
2005-02-01,80.23666381835938,28.33604621887207,14.686822891235352,45.630069732666016,48.21796417236328,,42.099998474121094,,20.83123016357422,
2005-02-02,80.4796142578125,28.375457763671875,14.733243942260742,45.735111236572266,48.223628997802734,,42.15999984741211,,21.063175201416016,
2005-02-03,80.27041625976562,28.221405029296875,14.718013763427734,45.71007537841797,48.1445426940918,,41.68000030517578,,21.12716293334961,
2005-02-04,81.12738800048828,28.366500854492188,14.947924613952637,46.345394134521484,48.393070220947266,,41.470001220703125,,21.41509437561035,
2005-02-07,81.01940155029297,28.187376022338867,14.99506664276123,46.69053649902344,48.489070892333984,,41.27000045776367,,21.343107223510742,
2005-02-08,81.1138687133789,28.187376022338867,15.02407455444336,46.9556770324707,48.534263610839844,,41.2599983215332,,21.395105361938477,
2005-02-09,80.506591796875,28.115713119506836,14.975484848022461,47.08073043823242,48.77149963378906,,41.310001373291016,,21.53106689453125,
2005-02-10,80.7967300415039,28.407711029052734,15.048011779785156,46.4454231262207,48.46650314331055,,41.75,,21.69503402709961,
2005-02-11,81.49174499511719,28.60475730895996,15.1945161819458,46.4154167175293,48.40436553955078,,42.08000183105469,,21.75901985168457,
2005-02-14,81.43096160888672,28.826894760131836,15.303312301635742,46.56048583984375,48.46650314331055,,42.54999923706055,,21.763011932373047,
2005-02-15,81.73468017578125,29.020360946655273,15.339570045471191,46.325382232666016,48.393070220947266,,42.58000183105469,,21.85899543762207,
2005-02-16,81.78863525390625,28.764177322387695,15.292425155639648,46.15031051635742,48.21796417236328,,42.52000045776367,,21.986963272094727,
2005-02-17,81.12738800048828,28.823299407958984,15.267046928405762,45.860145568847656,48.11063003540039,,42.72999954223633,,21.970966339111328,
2005-02-18,81.23534393310547,28.96660614013672,15.454886436462402,45.44996643066406,47.86778259277344,,42.75,,21.779022216796875,
2005-02-22,80.02749633789062,28.89854621887207,15.398320198059082,45.249900817871094,47.87346649169922,,43.56999969482422,,21.155160903930664,
2005-02-23,80.60107421875,28.912874221801758,15.469393730163574,45.39998245239258,47.91299819946289,,43.41999816894531,,21.075176239013672,
2005-02-24,81.13412475585938,28.957664489746094,15.709466934204102,45.29991149902344,47.83388900756836,,43.33000183105469,,21.091167449951172,
2005-02-25,81.93708038330078,29.29443359375,15.998846054077148,45.52002716064453,47.901702880859375,,43.5,,21.395105361938477,
2005-02-28,81.39730072021484,29.226362228393555,15.972010612487793,45.02981185913086,47.59107208251953,,43.529998779296875,,21.33510971069336,
2005-03-01,81.80213165283203,29.387584686279297,16.01697540283203,45.0157470703125,47.591575622558594,,43.220001220703125,,21.55906867980957,
2005-03-02,81.76164245605469,29.16724967956543,15.752974510192871,44.95555877685547,47.58592987060547,,43.25,,21.41509437561035,
2005-03-03,81.79540252685547,29.181575775146484,15.79649829864502,44.930450439453125,47.55760955810547,,42.970001220703125,,21.53106689453125,
2005-03-04,82.81427764892578,29.692123413085938,15.985064506530762,45.41717529296875,47.772830963134766,,43.380001068115234,,21.934972763061523,
2005-03-07,82.85477447509766,29.566730499267578,16.090229034423828,45.597843170166016,47.784141540527344,,43.470001220703125,,22.03895378112793,
2005-03-08,82.54440307617188,29.647340774536133,15.967659950256348,45.16632080078125,47.55760955810547,,44.029998779296875,,21.914976119995117,
2005-03-09,81.6266860961914,29.512983322143555,15.876276969909668,44.4286994934082,47.19514465332031,,44.02000045776367,,21.295122146606445,
2005-03-10,81.80886840820312,29.609722137451172,15.723968505859375,44.699642181396484,47.28010177612305,,44.20000076293945,,21.43909454345703,
2005-03-11,81.23534393310547,29.602554321289062,15.63548469543457,44.37348556518555,47.08186721801758,,44.43000030517578,,21.19915008544922,
2005-03-14,81.74139404296875,29.507612228393555,15.515815734863281,44.63941192626953,47.19514465332031,,44.029998779296875,,21.49508285522461,
2005-03-15,81.06661987304688,29.32488441467285,15.129243850708008,44.358421325683594,47.10457229614258,,44.060001373291016,,21.467084884643555,
2005-03-16,80.37837982177734,29.358930587768555,15.00086784362793,44.62939453125,47.2121467590332,,44.310001373291016,,21.211139678955078,
2005-03-17,80.5403060913086,29.32488441467285,15.274303436279297,44.774898529052734,47.39340591430664,,43.81999969482422,,21.435087203979492,
2005-03-18,80.30118560791016,29.265771865844727,15.205392837524414,44.493934631347656,47.2744255065918,,43.88999938964844,,21.35911750793457,
2005-03-21,80.00314331054688,29.06694221496582,14.985636711120605,44.368412017822266,47.217803955078125,,43.09000015258789,,21.215147018432617,
2005-03-22,79.19023132324219,28.733734130859375,14.708579063415527,43.992103576660156,46.872283935546875,,42.650001525878906,,20.835233688354492,
2005-03-23,79.25796508789062,28.54204750061035,14.522184371948242,44.202850341796875,46.97994613647461,,42.41999816894531,,20.799240112304688,
2005-03-24,79.35279083251953,28.53667449951172,14.50623607635498,44.29316329956055,47.01958084106445,,42.38999938964844,,20.841327667236328,
2005-03-28,79.46797943115234,28.53667449951172,14.60632038116455,44.02220153808594,46.866676330566406,,42.540000915527344,,20.73611068725586,
2005-03-29,78.93959045410156,28.241106033325195,14.2284517288208,44.28314208984375,47.0592041015625,,42.560001373291016,,20.744197845458984,
2005-03-30,80.05731201171875,28.472190856933594,14.552647590637207,44.50395965576172,47.16683578491211,,42.61000061035156,,21.019392013549805,
2005-03-31,79.90829467773438,28.459651947021484,14.708579063415527,44.825077056884766,47.39904022216797,,42.81999969482422,,20.970823287963867,
2005-04-01,79.54926300048828,28.39337158203125,14.795620918273926,44.9761962890625,47.49509811401367,,42.619998931884766,,20.98296546936035,
2005-04-04,79.6847152709961,28.402332305908203,14.828253746032715,44.966102600097656,47.472373962402344,,42.400001525878906,,20.889890670776367,
2005-04-05,80.06410217285156,28.554597854614258,14.824627876281738,44.85029602050781,47.47801971435547,,42.45000076293945,,20.841327667236328,
2005-04-06,80.34180450439453,28.635202407836914,15.027703285217285,45.00640869140625,47.62012481689453,,42.630001068115234,,20.95058822631836,
2005-04-07,80.7753677368164,28.75165557861328,15.17928695678711,44.643795013427734,47.438236236572266,,42.56999969482422,,21.140796661376953,
2005-04-08,79.93538665771484,28.75165557861328,15.1074800491333,44.79988479614258,47.48939514160156,,42.689998626708984,,21.043657302856445,
2005-04-11,79.9963150024414,28.859140396118164,14.962427139282227,45.04167938232422,47.63143539428711,,42.779998779296875,,21.06390380859375,
2005-04-12,80.4095458984375,28.930784225463867,15.151001930236816,45.45966720581055,47.881507873535156,,42.84000015258789,,21.347179412841797,
2005-04-13,79.46119689941406,28.626256942749023,14.849286079406738,45.3488883972168,47.904232025146484,,42.900001525878906,,21.37146759033203,
2005-04-14,78.42473602294922,28.250062942504883,14.46924114227295,45.27836608886719,48.02925109863281,,42.310001373291016,,21.169113159179688,
2005-04-15,77.32731628417969,27.90431785583496,14.164628028869629,45.877708435058594,48.341800689697266,,42.400001525878906,,21.326940536499023,
