strategy,base,improved_1,improved_2,improved_3,improved_4,improved_5,improved_6,improved_8
base,1.0,0.8754954409529349,0.8291100141335263,0.7959745085556489,0.8007655068859797,0.5611877778310154,0.7320781570889114,0.8048979937768995
improved_1,0.8754954409529349,1.0,0.9534884023726918,0.869383729342087,0.8988542849869869,0.672925435684606,0.7035781230397407,0.8676708258633024
improved_2,0.8291100141335263,0.9534884023726918,1.0,0.9014060077099113,0.9238753478029088,0.6942623624461141,0.7437546861965069,0.8991120484925864
improved_3,0.7959745085556489,0.869383729342087,0.9014060077099113,1.0,0.8490744256855708,0.5892157903316951,0.7336334890842396,0.8434740255537794
improved_4,0.8007655068859797,0.8988542849869869,0.9238753478029088,0.8490744256855708,1.0,0.790609555036353,0.7994722629734906,0.9436546309018192
improved_5,0.5611877778310154,0.672925435684606,0.6942623624461141,0.5892157903316951,0.790609555036353,1.0,0.6405722271482749,0.7478517606295411
improved_6,0.7320781570889114,0.7035781230397407,0.7437546861965069,0.7336334890842396,0.7994722629734906,0.6405722271482749,1.0,0.7839440932878302
improved_8,0.8048979937768995,0.8676708258633024,0.8991120484925864,0.8434740255537794,0.9436546309018192,0.7478517606295411,0.7839440932878302,1.0
