strategy,evaluation_start,train_sharpe_to_2020,test_sharpe_2021_2026,test_cumulative_return_2021_2026,test_max_drawdown_2021_2026,selected_by_train
improved_4,2016-05-31T00:00:00,1.2855835450769983,1.0221463927398708,0.6044227838643015,-0.06019403623997177,True
improved_6,2016-05-31T00:00:00,1.1988684082182393,0.8532624282654261,0.35145743829156784,-0.08036661304247628,False
improved_2,2016-05-31T00:00:00,1.14206272252879,0.958808521341214,0.5854316465316252,-0.057542151724853774,False
improved_8,2016-05-31T00:00:00,1.1164675772358392,0.9755138992998054,1.0249875167518412,-0.10942783827269187,False
improved_5,2016-05-31T00:00:00,1.1131095290970647,0.7894280078124262,0.4335476016983977,-0.11194793833714989,False
base,2016-05-31T00:00:00,1.095380087359376,1.3002731638771665,0.46463623829837086,-0.03605106641539624,False
improved_1,2016-05-31T00:00:00,1.0324366054121867,1.335860738898404,1.0311762186360895,-0.052441012051988256,False
improved_3,2016-05-31T00:00:00,0.9766360696947888,0.9841807062979292,0.5743193584047965,-0.10473428704491516,False
