year,base,improved_1,improved_2,improved_3,improved_4,improved_5,improved_6,improved_8
2016,0.05925576322684889,0.07492319150747173,0.06890337996789553,0.09524898665426695,0.045477465361686065,0.045477465361686065,0.039190267122672484,0.069800363636354
2017,0.12287971519248275,0.20148873001471057,0.20423635597546808,0.11475330842301257,0.20795118010787594,0.20795118010787594,0.15604328028408965,0.174735792109731
2018,0.0055258416972314706,-0.0877805682425209,-0.055719954408300576,-0.09372731498285769,-0.0037987446303319183,-0.0037987446303319183,0.003619268725728597,-0.028839605642597688
2019,0.07171474506586706,0.15248606115499408,0.14811876308330119,0.16383780324658015,0.13723188988259105,0.0860927974514798,0.11206700922529933,0.16439755317376092
2020,0.08242000737572863,0.27282466315503817,0.23002476449558906,0.29981423589551603,0.19866700778913104,0.09664263542053053,0.12617752180199915,0.26254672017789216
2021,0.044553626644011635,0.05891615774037895,0.029870091206110505,0.08883094318825147,-0.0005117510474444975,-0.0005856987021064519,0.0012305306577302666,0.015796142405873903
2022,0.005081323180833097,0.09492294916859989,0.06244707588550913,-0.019489078910639113,0.0088444555270204,-0.05635670935699488,-0.02603297731927101,0.01968086850457218
2023,0.09989220715530922,0.19010573966039535,0.14345436842722203,0.12189717540857625,0.15454485394012485,0.11960972721018148,0.11678085643915526,0.28385984422863486
2024,0.08731132630937943,0.15356731140891045,0.11758565178284597,0.10486032222776087,0.09391597460011014,0.11850798826373543,0.08586529457525738,0.1494143039314364
2025,0.05774654738691054,0.0957337761673942,0.03210087434446107,0.07150238028567446,0.11668344446830958,0.14590736421723927,0.06561067828156553,0.18321903512315152
2026,0.10283915740360161,0.16457893343343688,0.09859083104615163,0.11026429556924677,0.12821550740455967,0.059262112490050756,0.07246112557919626,0.11967545871445173
