strategy,type,month,return_pct
base,best,2020-03-31,8.444874356105
base,best,2026-03-31,5.2323442753377805
base,best,2026-04-30,4.70947805511908
base,best,2024-01-31,3.89468922169921
base,best,2025-08-31,3.63683632959873
base,worst,2020-02-29,-4.525499005200969
base,worst,2018-09-30,-4.29867417183561
base,worst,2022-05-31,-3.07038853092712
base,worst,2020-01-31,-2.86627323244712
base,worst,2022-08-31,-2.39633729448143
improved_1,best,2020-03-31,11.48068988888907
improved_1,best,2026-03-31,8.369237784784719
improved_1,best,2020-06-30,8.21146314697196
improved_1,best,2022-06-30,8.03071836963498
improved_1,best,2026-04-30,7.31485294171859
improved_1,worst,2018-09-30,-10.202990411789541
improved_1,worst,2020-02-29,-8.10504543120575
improved_1,worst,2018-11-30,-6.20625473595552
improved_1,worst,2022-05-31,-5.24410120519884
improved_1,worst,2022-08-31,-3.65767869108575
improved_2,best,2020-03-31,9.71159436064833
improved_2,best,2020-04-30,6.8553894484702
improved_2,best,2023-10-31,6.593980604246499
improved_2,best,2017-12-31,6.57694369279096
improved_2,best,2022-06-30,6.5062135897682
improved_2,worst,2018-09-30,-7.1550609617566
improved_2,worst,2018-11-30,-6.328796516677911
improved_2,worst,2020-02-29,-5.83324408394509
improved_2,worst,2020-08-31,-4.67426750137951
improved_2,worst,2025-03-31,-3.4716009178349703
improved_3,best,2020-03-31,14.61603552869765
improved_3,best,2026-03-31,7.240663381151401
improved_3,best,2018-04-30,6.860928143227291
improved_3,best,2017-04-30,6.4819626238093395
improved_3,best,2019-05-31,6.3898661004226405
improved_3,worst,2018-09-30,-7.76023395004691
improved_3,worst,2018-11-30,-6.90911865239429
improved_3,worst,2025-03-31,-4.20549589964579
improved_3,worst,2020-02-29,-3.9916958519985704
improved_3,worst,2022-08-31,-3.86788544906626
improved_4,best,2020-03-31,9.284240177207991
improved_4,best,2026-03-31,8.02247156696671
improved_4,best,2025-12-31,6.633036340120629
improved_4,best,2018-04-30,6.474361683557641
improved_4,best,2017-12-31,6.16103875662398
improved_4,worst,2018-11-30,-3.8223717616498
improved_4,worst,2018-09-30,-3.68164558061244
improved_4,worst,2020-02-29,-3.49469944808549
improved_4,worst,2020-08-31,-2.93256858331316
improved_4,worst,2021-02-28,-2.80967004744023
improved_5,best,2025-12-31,8.085796875271601
improved_5,best,2026-04-30,8.008625949083
improved_5,best,2025-08-31,7.384244073366671
improved_5,best,2018-04-30,6.474361683557641
improved_5,best,2020-06-30,6.36911853608987
improved_5,worst,2018-11-30,-3.8223717616498
improved_5,worst,2018-09-30,-3.68164558061244
improved_5,worst,2020-08-31,-3.3591663214019
improved_5,worst,2021-02-28,-3.1988883632137104
improved_5,worst,2022-03-31,-2.91059406763959
improved_6,best,2020-03-31,8.00472293476106
improved_6,best,2026-04-30,5.37731946019023
improved_6,best,2018-04-30,5.1590207997984905
improved_6,best,2017-12-31,4.95830615146449
improved_6,best,2025-12-31,4.46851112693805
improved_6,worst,2018-11-30,-2.77436413521023
improved_6,worst,2018-09-30,-2.72493571764735
improved_6,worst,2018-02-28,-2.5681921683484
improved_6,worst,2018-01-31,-2.43627133970783
improved_6,worst,2020-01-31,-2.3031531672622703
improved_8,best,2020-03-31,14.20453358087131
improved_8,best,2025-08-31,11.53842923426628
improved_8,best,2023-05-31,9.95819913656346
improved_8,best,2025-12-31,9.37746500855427
improved_8,best,2026-03-31,9.00922135806709
improved_8,worst,2018-11-30,-5.0
improved_8,worst,2020-02-29,-5.0
improved_8,worst,2025-03-31,-5.0
improved_8,worst,2022-05-31,-4.67547169811144
improved_8,worst,2026-02-28,-4.61771493715887
