strategy,strategy_name,strategy_sharpe,p_value,n_sims,random_max_sharpe,random_median_sharpe,random_min_sharpe,evaluation_start
base,base_equal_top10,1.196939990081413,0.013,1000,1.3395830558553807,0.8729541686612313,0.4843800794604124,2016-05-31T00:00:00
improved_1,improved_1_expanding_trend_top10,1.1833649122392482,0.019,1000,1.3395830558553807,0.8729541686612313,0.4843800794604124,2016-05-31T00:00:00
improved_2,improved_2_expanding_trend_stop_take_top10,1.0507033921232063,0.068,1000,1.2813944518145053,0.8306768756757673,0.3440236852592506,2016-05-31T00:00:00
improved_3,improved_3_dynamic_ic_weights_stop_take_top10,0.972653820647436,0.157,1000,1.2813944518145053,0.8306768756757673,0.3440236852592506,2016-05-31T00:00:00
improved_4,improved_4_walkforward_stop_take_top10,1.1503776548860136,0.088,1000,1.4223119219018387,0.9376432604501679,0.3953482923855488,2016-05-31T00:00:00
improved_5,improved_5_regime_filtered_stop_take_top10,0.9336315274596584,0.099,1000,1.2160814223847445,0.7271173294527163,0.1835155088523547,2016-05-31T00:00:00
improved_6,improved_6_hzz_cross_sectional_trend_stop_take_top10,1.023499266354896,0.29,1000,1.4223119219018387,0.9376432604501679,0.3953482923855488,2016-05-31T00:00:00
improved_8,improved_8_equal_weight_top20,1.0333031561228818,0.306,1000,1.354340080262737,0.9726900156769593,0.601689569868428,2016-05-31T00:00:00
