strategy,strategy_name,annualized_sharpe,annualized_return_approx,annualized_volatility,max_drawdown,cumulative_return,final_equity,total_return,n_evaluation_periods,avg_positions
base,base_equal_top10,1.1969399900814137,0.07231351718914647,0.06041532389959485,-0.0726205907102736,1.0320392890907186,2032039.2890907186,1.0320392890907186,121,9.917355371900827
improved_1,improved_1_expanding_trend_top10,1.1833649122392482,0.13121319907186196,0.11088143455561048,-0.1577602157210427,2.510333026255077,3510333.0262550768,2.510333026255077,121,8.429752066115702
improved_4,improved_4_walkforward_stop_take_top10,1.1503776548860147,0.10482782985415556,0.09112470970634631,-0.07363291161224883,1.7515508645770659,2751550.8645770657,1.7515508645770659,121,8.429752066115702
improved_2,improved_2_expanding_trend_stop_take_top10,1.0507033921232058,0.10455658385154423,0.09951103673536431,-0.1303102822952067,1.7214426688934732,2721442.668893473,1.7214426688934732,121,8.429752066115702
improved_8,improved_8_equal_weight_top20,1.033303156122882,0.1371082741768921,0.13268930164826373,-0.10942783827269187,2.633331278446867,3633331.278446867,2.633331278446867,121,16.859504132231404
improved_6,improved_6_hzz_cross_sectional_trend_stop_take_top10,1.0234992663548967,0.0734640292727728,0.07177731502867464,-0.08036661304247605,1.0406961246453967,2040696.1246453968,1.0406961246453967,121,9.917355371900827
improved_3,improved_3_dynamic_ic_weights_stop_take_top10,0.9726538206474359,0.10181060586921852,0.10467301285204375,-0.14133188831129073,1.6352213784911953,2635221.3784911954,1.6352213784911953,121,8.429752066115702
improved_5,improved_5_regime_filtered_stop_take_top10,0.9336315274596588,0.07958929937685894,0.08524701344803064,-0.11194793833715022,1.1481040898163175,2148104.0898163174,1.1481040898163175,121,7.024793388429752
