month,base,improved_1,improved_2,improved_3,improved_4,improved_5,improved_6,improved_8
2016-05-31,-0.0007906405471158444,0.022187892767294853,0.015574669924571755,0.021360695469147255,0.019393269409224853,0.019393269409224853,0.007877209723272657,0.001698004168550954
2016-06-30,0.0021627292758704263,0.024113698172916326,0.024274231203790825,0.023155790349866427,0.024538895142990926,0.024538895142990926,0.007223038863201026,0.027821692317819925
2016-07-31,-0.032676392523753636,-0.019589010158789635,-0.021660283685661134,-0.020545126461927334,-0.017003043321751135,-0.017003043321751135,-0.022819041523433635,-0.027239495739209835
2016-08-31,-0.0029813603650027873,-0.006507388288302387,-0.0065716195440758875,0.007831353525637512,-0.007332533807500088,-0.007332533807500088,-0.0011910504776844874,0.010356649472402713
2016-09-30,-0.0055106449253329946,-0.013643190818449995,-0.014848313118163196,-0.026211486721948094,-0.018024166906242395,-0.018024166906242395,-0.018337585457933694,-0.012881763911592395
2016-10-31,0.05509495945040096,0.01942567890903446,0.01942567890903446,0.01942567890903446,0.01942567890903446,0.01942567890903446,0.01605795530835116,0.01942567890903446
2016-11-30,-0.027316324680290535,-0.029038718906036334,-0.025130236966650434,-0.028848508156827636,-0.043454192095586736,-0.043454192095586736,-0.03849528056391313,-0.042105130378580734
2016-12-31,-0.011947401595919359,-0.005686962029292159,-0.005615600322628559,0.014468222532861542,-0.014056416958013358,-0.014056416958013358,0.00668095412219194,0.00918016538256244
2017-01-31,-0.008906848711991822,-0.01788435819838252,-0.01788435819838252,-0.01788435819838252,-0.01788435819838252,-0.01788435819838252,0.0016599027428281787,-0.01788435819838252
2017-02-28,-0.03950486090956251,-0.03719816006681631,-0.03719816006681631,-0.03719816006681631,-0.03719816006681631,-0.03719816006681631,-0.04305727896477371,-0.03719816006681631
2017-03-31,0.005435363870191815,0.006034274772919114,0.008263770077517614,-0.019657674247027086,0.013222718735021115,0.013222718735021115,-0.00041341399039718544,0.009617602418810014
2017-04-30,0.004244964297410293,0.0535068517523139,0.03704977546401919,0.05572841748923879,0.0498042508894244,0.0498042508894244,0.011404117260406993,0.04728291928611159
