strategy,mean_monthly_excess_return,annualized_excess_return_approx,superior_to_benchmark_after_stepm,significance_level,bootstrap_reps,block_size
improved_8,-0.00034697204616659493,-0.004163664553999139,False,0.05,10000,6
improved_1,-0.0008382283049191034,-0.010058739659029241,False,0.05,10000,6
improved_4,-0.003037009073061302,-0.036444108876735624,False,0.05,10000,6
improved_2,-0.0030596129066122455,-0.03671535487934695,False,0.05,10000,6
improved_3,-0.003288444405139391,-0.03946133286167269,False,0.05,10000,6
improved_5,-0.005140219946169356,-0.06168263935403227,False,0.05,10000,6
improved_6,-0.005650659121509866,-0.06780790945811839,False,0.05,10000,6
base,-0.005746535128478729,-0.06895842154174475,False,0.05,10000,6
