date,ticker,pnl,pnl_comm,bar_len
2016-06-27,GPN,-10563.094939866001,-10563.094939866001,17
2016-07-06,CPRT,121.55250000000461,121.55250000000461,23
2016-07-06,FIX,31.20913183889558,31.20913183889558,23
2016-07-26,NVDA,20106.741152999963,20106.741152999963,37
2016-08-03,CINF,9103.789846093805,9103.789846093805,43
2016-08-03,MO,5571.048007440012,5571.048007440012,43
2016-08-11,KLAC,-9975.372578054785,-9975.372578054785,7
2016-08-30,AWK,-9963.725747939798,-9963.725747939798,20
2016-09-06,CHTR,17952.12,17952.12,24
2016-10-05,CLX,-5480.729370465789,-5480.729370465789,87
2016-10-05,MO,-6692.319395775994,-6692.319395775994,22
2016-10-25,KMB,-9983.591920817453,-9983.591920817453,101
2016-11-03,ALB,-2792.0250138482097,-2792.0250138482097,22
2016-11-03,AMAT,9078.3380734392,9078.3380734392,66
2016-11-03,GEN,4513.045139284597,4513.045139284597,43
2016-11-03,KLAC,5455.873475043599,5455.873475043599,43
2016-11-03,LII,3578.1862808174947,3578.1862808174947,108
2016-11-03,NVDA,9184.401889940798,9184.401889940798,43
2016-11-03,TSN,9687.152050175602,9687.152050175602,108
2016-12-20,NVDA,20218.796715546,20218.796715546,12
2017-01-05,TPL,8213.898482864995,8213.898482864995,22
2017-01-05,UPS,-1450.5029046413922,-1450.5029046413922,22
2017-02-03,AMAT,15877.936902559995,15877.936902559995,42
2017-02-03,CLX,790.1114150767909,790.1114150767909,21
2017-02-03,GEN,17549.84284680081,17549.84284680081,42
2017-02-03,KMB,7477.541246871296,7477.541246871296,42
2017-02-03,LII,6201.821696036401,6201.821696036401,42
2017-02-03,LMT,-5213.651595028005,-5213.651595028005,42
2017-02-03,OKE,3758.0722988562034,3758.0722988562034,42
2017-02-03,SPGI,4540.343298409604,4540.343298409604,42
2017-04-18,RF,-9917.447669921012,-9917.447669921012,9
2017-04-20,URI,-9935.948832025952,-9935.948832025952,11
2017-05-03,OKE,-3849.5193838985015,-3849.5193838985015,20
2017-05-11,NVDA,19080.52168383996,19080.52168383996,26
2017-06-05,AMAT,12022.249589598912,12022.249589598912,23
2017-06-05,BA,8292.324812420009,8292.324812420009,42
2017-06-05,KMB,-1063.5472855297987,-1063.5472855297987,42
2017-06-05,LII,7416.4181715500035,7416.4181715500035,42
2017-06-05,LMT,5629.733517852494,5629.733517852494,23
2017-06-05,MCD,19611.299247680698,19611.299247680698,42
2017-06-05,MO,4773.56239920221,4773.56239920221,42
2017-06-05,SPGI,12160.315110296711,12160.315110296711,42
2017-06-05,STX,1493.338108266896,1493.338108266896,23
2017-07-27,BA,20050.172838871797,20050.172838871797,16
2017-07-28,CSX,-10001.721192363602,-10001.721192363602,17
2017-08-03,APO,6660.371429923207,6660.371429923207,21
2017-08-03,KMB,-5753.536688848009,-5753.536688848009,21
2017-08-03,LII,-6653.472280300787,-6653.472280300787,21
2017-08-03,LMT,5198.579232619512,5198.579232619512,21
2017-08-03,MU,-3980.4906035385034,-3980.4906035385034,21
2017-08-03,NVDA,16126.633274150407,16126.633274150407,21
2017-08-03,SPGI,3848.581694042389,3848.581694042389,21
2017-08-03,WYNN,-4117.633770143183,-4117.633770143183,21
2017-12-01,LRCX,-10002.461661659523,-10002.461661659523,20
2017-12-04,MU,-9929.169229864494,-9929.169229864494,21
2017-12-04,NVDA,-9941.69645082165,-9941.69645082165,21
2017-12-05,AMAT,-11099.708278822804,-11099.708278822804,22
2017-12-05,WYNN,5145.374746303104,5145.374746303104,22
2018-01-04,LMT,1670.7970198773028,1670.7970198773028,21
2018-01-12,HD,19948.623081078917,19948.623081078917,48
2018-01-23,WYNN,20063.34180653888,20063.34180653888,13
2018-01-26,ABBV,25138.382070153613,25138.382070153613,57
2018-02-05,APO,12352.951655131199,12352.951655131199,63
2018-02-05,KMB,-2905.523596800004,-2905.523596800004,22
2018-02-05,LII,-1081.572246825003,-1081.572246825003,42
2018-02-05,MU,-9982.605963775612,-9982.605963775612,22
2018-02-05,NVR,-6648.900000000003,-6648.900000000003,63
2018-02-05,SPGI,13575.163896786702,13575.163896786702,63
2018-02-05,UPS,-6676.66673600941,-6676.66673600941,22
2018-03-09,MU,19734.731883364613,19734.731883364613,5
2018-03-22,ABBV,-9919.91045556576,-9919.91045556576,14
2018-04-04,KMB,-2502.032837248304,-2502.032837248304,22
2018-04-04,UPS,-1831.4482044847086,-1831.4482044847086,22
2018-04-18,WYNN,19785.999601831,19785.999601831,32
2018-04-30,MU,-10145.022430740471,-10145.022430740471,19
2018-05-02,TPL,19952.19396794939,19952.19396794939,42
2018-05-03,ABBV,9732.219644466104,9732.219644466104,22
2018-05-03,LII,-1131.0252954434031,-1131.0252954434031,43
2018-05-03,ODFL,-7634.3388044184,-7634.3388044184,22
2018-05-03,ON,-7187.039999999999,-7187.039999999999,22
