date,ticker,reason,is_buy,status,exectype,size,price,value,commission
2016-06-02,CINF,rebalance_entry,True,Completed,0,1878,53.1436507994,99803.7762012732,0.0
2016-06-02,CLX,rebalance_entry,True,Completed,0,1034,96.7665044401,100056.5655910634,0.0
2016-06-02,CPRT,rebalance_entry,True,Completed,0,16207,6.16625,99936.41374999999,0.0
2016-06-02,FIX,rebalance_entry,True,Completed,0,3323,30.0727174555,99931.64010462651,0.0
2016-06-02,GPN,rebalance_entry,True,Completed,0,1358,73.5207582384,99841.1896877472,0.0
2016-06-02,KMB,rebalance_entry,True,Completed,0,1103,90.5130727182,99835.91920817459,0.0
2016-06-02,LII,rebalance_entry,True,Completed,0,815,122.3197340687,99690.5832659905,0.0
2016-06-02,MO,rebalance_entry,True,Completed,0,3060,32.6238595539,99829.01023493399,0.0
2016-06-02,NVDA,rebalance_entry,True,Completed,0,87034,1.1551084147,100533.70576499979,0.0
2016-06-02,TSN,rebalance_entry,True,Completed,0,2002,50.016992331,100134.01864666199,0.0
2016-06-28,GPN,stop_loss,False,Completed,0,-1358,64.6812134657,99841.1896877472,0.0
2016-07-05,ATO,rebalance_entry,True,Margin,0,0,0.0,0.0,0.0
2016-07-05,AWK,rebalance_entry,True,Margin,0,0,0.0,0.0,0.0
2016-07-05,CHTR,rebalance_entry,True,Margin,0,0,0.0,0.0,0.0
2016-07-05,CPRT,rebalance_exit,False,Margin,0,0,0.0,0.0,0.0
2016-07-05,FIX,rebalance_exit,False,Margin,0,0,0.0,0.0,0.0
2016-07-27,NVDA,take_profit,False,Completed,0,-87034,1.4020355429,100533.70576499979,0.0
2016-08-02,CHTR,rebalance_entry,True,Margin,0,0,0.0,0.0,0.0
2016-08-02,AMAT,rebalance_entry,True,Completed,0,4244,23.5233865926,99833.2526989944,0.0
2016-08-02,AWK,rebalance_entry,True,Completed,0,1468,67.8727911985,99637.25747939799,0.0
2016-08-02,CINF,rebalance_exit,False,Completed,0,-1878,58.0607923635,99803.7762012732,0.0
2016-08-02,CPRT,rebalance_exit,False,Completed,0,-16207,6.4325,99936.41374999999,0.0
2016-08-02,FIX,rebalance_exit,False,Completed,0,-3323,28.3258325565,99931.64010462651,0.0
2016-08-02,KLAC,rebalance_entry,True,Completed,0,1537,64.9015782567,99753.7257805479,0.0
2016-08-02,MO,rebalance_exit,False,Completed,0,-3060,34.7619711697,99829.01023493399,0.0
2016-08-02,NVDA,rebalance_entry,True,Completed,0,71815,1.3990900901,100475.6548205315,0.0
2016-08-02,SPGI,rebalance_entry,True,Completed,0,904,110.3578823563,99763.5256500952,0.0
2016-08-12,KLAC,stop_loss,False,Completed,0,-1537,58.1546186905,99753.7257805479,0.0
2016-08-31,AWK,stop_loss,False,Completed,0,-1468,61.0980247236,99637.25747939799,0.0
2016-09-02,GEN,rebalance_entry,True,Completed,0,8434,11.8605959891,100032.2665720694,0.0
2016-09-02,KLAC,rebalance_entry,True,Completed,0,1652,60.747063807900005,100354.1494106508,0.0
2016-09-02,MO,rebalance_entry,True,Completed,0,2944,34.1115925106,100424.52835120639,0.0
2016-10-03,NVDA,take_profit,False,Completed,0,-71815,1.6849280031,100475.6548205315,0.0
2016-10-04,ALB,rebalance_entry,True,Completed,0,1339,74.7577118236,100100.57613180041,0.0
2016-10-04,CLX,rebalance_exit,False,Completed,0,-1034,92.9331611912,100056.5655910634,0.0
2016-10-04,MO,rebalance_exit,False,Completed,0,-2944,32.4174539521,100424.52835120639,0.0
2016-10-04,NVDA,rebalance_entry,True,Completed,0,59410,1.6856657124,100145.399973684,0.0
2016-10-04,OKE,rebalance_entry,True,Completed,0,3552,27.80104876,98749.32519552,0.0
2016-10-26,KMB,stop_loss,False,Completed,0,-1103,81.1024447628,99835.91920817459,0.0
2016-11-02,ALB,rebalance_exit,False,Completed,0,-1339,72.5933718085,100100.57613180041,0.0
2016-11-02,AMAT,rebalance_exit,False,Completed,0,-4244,25.8604435104,99833.2526989944,0.0
2016-11-02,GEN,rebalance_exit,False,Completed,0,-8434,12.3858790068,100032.2665720694,0.0
2016-11-02,KLAC,rebalance_exit,False,Completed,0,-1652,63.1256108133,100354.1494106508,0.0
2016-11-02,LII,rebalance_exit,False,Completed,0,-815,128.7936656795,99690.5832659905,0.0
2016-11-02,NVDA,rebalance_exit,False,Completed,0,-59410,1.7109937311,100145.399973684,0.0
2016-11-02,OKE,rebalance_exit,False,Completed,0,-3552,26.5528598647,98749.32519552,0.0
2016-11-02,SPGI,rebalance_exit,False,Completed,0,-904,110.5308343906,99763.5256500952,0.0
2016-11-02,TSN,rebalance_exit,False,Completed,0,-2002,55.3771275312,100134.01864666199,0.0
2016-12-02,AMAT,rebalance_entry,True,Completed,0,3680,27.2599653479,100316.672480272,0.0
2016-12-02,GEN,rebalance_entry,True,Completed,0,8546,11.671391428,99743.711143688,0.0
2016-12-02,KMB,rebalance_entry,True,Completed,0,1221,81.9999133884,100121.8942472364,0.0
2016-12-02,LII,rebalance_entry,True,Completed,0,756,132.0038945192,99794.9442565152,0.0
