simulation,annualized_sharpe,final_equity,strategy_sharpe,p_value
0,0.5018191169466814,2689699.5921729617,0.6788065184942079,0.171
1,0.6267856981103705,3289528.4564618347,0.6788065184942079,0.171
2,0.7197978574003342,3533039.8691167883,0.6788065184942079,0.171
3,0.6383125406031204,3142671.7642383524,0.6788065184942079,0.171
4,0.5868043286286158,3075577.4999947553,0.6788065184942079,0.171
5,0.5451541613477204,2759455.5630410807,0.6788065184942079,0.171
6,0.7082843246493769,3253685.7755580754,0.6788065184942079,0.171
7,0.6826744739935994,3314912.4723470043,0.6788065184942079,0.171
8,0.6813239619209438,3150595.9176465427,0.6788065184942079,0.171
9,0.6070898421890817,3306097.0353563814,0.6788065184942079,0.171
10,0.5211999649887147,2675303.405758515,0.6788065184942079,0.171
11,0.6250150853391707,3255314.0081592067,0.6788065184942079,0.171
12,0.5331341517991466,2774712.1494417815,0.6788065184942079,0.171
13,0.5727244679776179,2931215.2231664434,0.6788065184942079,0.171
14,0.5557007237908086,3058562.641686255,0.6788065184942079,0.171
15,0.6989951176826675,3388510.5987910144,0.6788065184942079,0.171
16,0.6054331666831169,3376698.663172092,0.6788065184942079,0.171
17,0.5507074371156808,3069156.705492463,0.6788065184942079,0.171
18,0.7752159244433633,3761043.090491989,0.6788065184942079,0.171
19,0.7816086093019619,3907677.78949776,0.6788065184942079,0.171
20,0.610831415401027,2962926.9808230507,0.6788065184942079,0.171
21,0.6873451739410664,3257373.8355461326,0.6788065184942079,0.171
22,0.48907365265323743,2657112.9002368934,0.6788065184942079,0.171
23,0.6111140467027247,3363920.9663858763,0.6788065184942079,0.171
24,0.6136533714126051,3102953.243708415,0.6788065184942079,0.171
25,0.6252809383817742,3315729.778887426,0.6788065184942079,0.171
26,0.5843369451269742,3226003.3734242134,0.6788065184942079,0.171
27,0.4938103368662337,2822929.244836212,0.6788065184942079,0.171
28,0.6524822029916294,3154446.1001805873,0.6788065184942079,0.171
29,0.5518304710917005,3111173.7331791776,0.6788065184942079,0.171
30,0.5566421667232526,3033530.149459243,0.6788065184942079,0.171
31,0.6408059318720316,3139430.6659053667,0.6788065184942079,0.171
32,0.6551823009519088,3354931.764828491,0.6788065184942079,0.171
33,0.49596344133442266,2643246.912051208,0.6788065184942079,0.171
34,0.6140752755249518,3283285.221405801,0.6788065184942079,0.171
35,0.514761701936465,2715830.4415357877,0.6788065184942079,0.171
36,0.6318129740696707,3154979.983992578,0.6788065184942079,0.171
37,0.6000972843912583,3433890.866950854,0.6788065184942079,0.171
38,0.5569754696697766,3085822.4966479354,0.6788065184942079,0.171
