date,value,cash,return
2019-10-17,1296808.246934855,272783.2244912669,0.001400253365616777
2019-10-18,1288753.8671054854,272783.2244912669,-0.006210925823773028
2019-10-21,1293872.5287002486,272783.2244912669,0.003971791453289297
2019-10-22,1274648.2118513067,272783.2244912669,-0.014857968171140823
2019-10-23,1276830.2104495056,272783.2244912669,0.001711843768273713
2019-10-24,1291498.837315256,272783.2244912669,0.011488314378609754
2019-10-25,1293487.0240238663,272783.2244912669,0.0015394413461053968
2019-10-28,1296063.0073492504,272783.2244912669,0.001991503028279773
2019-10-29,1302861.5238582639,272783.2244912669,0.0052455138912714805
2019-10-30,1307107.6124038496,272783.2244912669,0.0032590482317809144
2019-10-31,1311959.5309240688,272783.2244912669,0.0037119503200628845
2019-11-01,1310842.2395115118,272783.2244912669,-0.000851620332961045
2019-11-04,1312495.401858477,264402.7694614214,0.0012611451608250945
2019-11-05,1297436.2419645493,264402.7694614214,-0.011473685829759162
2019-11-06,1304851.4587966078,264402.7694614214,0.005715284182928659
2019-11-07,1308669.8733300804,264402.7694614214,0.0029263212358241475
2019-11-08,1309508.1798175813,264402.7694614214,0.0006405790372232545
2019-11-11,1305728.9686264258,264402.7694614214,-0.002885977536758788
2019-11-12,1308218.9125972586,264402.7694614214,0.0019069378337006615
2019-11-13,1311707.5253402,264402.7694614214,0.0026666888158766167
2019-11-14,1314796.1764798998,264402.7694614214,0.002354679743793442
2019-11-15,1324031.0541860904,264402.7694614214,0.007023809371666356
2019-11-18,1328778.2493958254,264402.7694614214,0.0035854107762247622
2019-11-19,1331080.6890693214,264402.7694614214,0.0017327493692365081
2019-11-20,1326097.8643965148,264402.7694614214,-0.003743442988636936
2019-11-21,1322968.1293422994,264402.7694614214,-0.002360108660336091
2019-11-22,1324681.2846295247,264402.7694614214,0.0012949331501106442
2019-11-25,1331349.9964543353,264402.7694614214,0.005034200982673154
2019-11-26,1336766.0096947202,264402.7694614214,0.0040680611821151125
2019-11-27,1339595.5491451202,264402.7694614214,0.0021167051150905447
2019-11-29,1336032.7341696853,264402.7694614214,-0.002659619896250409
2019-12-02,1328343.9559972053,264402.7694614214,-0.005754932477203378
2019-12-03,1321301.139460632,267329.62369405665,-0.005301952483599104
2019-12-04,1331444.6588281074,267329.62369405665,0.0076769171421557925
2019-12-05,1337495.8528920508,267329.62369405665,0.004544833331089793
2019-12-06,1344007.3982292737,267329.62369405665,0.004868460207291925
2019-12-09,1336261.4394469077,267329.62369405665,-0.005763330464230498
2019-12-10,1338705.848357469,267329.62369405665,0.0018292894177751595
2019-12-11,1346118.1615116028,267329.62369405665,0.005536924458220849
2019-12-12,1352112.0239747288,267329.62369405665,0.0044527015788831115
2019-12-13,1353889.3536819958,267329.62369405665,0.001314484063267285
2019-12-16,1359779.793794276,267329.62369405665,0.004350754436661219
2019-12-17,1363663.9900031195,384974.05923525605,0.002856489136380924
2019-12-18,1361455.8867974756,384974.05923525605,-0.0016192428793538882
2019-12-19,1368456.870852113,384974.05923525605,0.005142277559286645
2019-12-20,1375966.9764085421,505795.7045024643,0.005488010412599165
2019-12-23,1377649.0510637444,624138.2289297606,0.0012224673150169618
2019-12-24,1378031.8939771845,624138.2289297606,0.0002778958205245097
2019-12-26,1379167.7881085256,624138.2289297606,0.00082428725801309
2019-12-27,1380693.1824565765,624138.2289297606,0.001106025214048012
2019-12-30,1376350.1932819383,624138.2289297606,-0.0031455135940564594
2019-12-31,1376638.7192916428,624138.2289297606,0.00020963124872785954
2020-01-02,1386732.6976560168,624138.2289297606,0.007332336525859073
2020-01-03,1386206.4601984953,328258.44472443336,-0.00037948009620814016
2020-01-06,1385203.107033518,328258.44472443336,-0.0007238122125283741
2020-01-07,1387379.6651281184,328258.44472443336,0.0015712916636909657
2020-01-08,1397132.726541002,328258.44472443336,0.0070298431338065015
2020-01-09,1411651.765706438,328258.44472443336,0.010392025674884842
2020-01-10,1414112.0179372933,447992.7124323319,0.0017428180877343546
2020-01-13,1422427.6969034784,447992.7124323319,0.005880495222941873
2020-01-14,1420735.3527140985,447992.7124323319,-0.001189757618657139
2020-01-15,1425615.169205336,447992.7124323319,0.0034347118074560257
2020-01-16,1438152.7214057809,447992.7124323319,0.008794485686788533
2020-01-17,1443268.1197991557,447992.7124323319,0.0035569229312271133
2020-01-21,1438339.6147749345,567187.7036599428,-0.003414822898538894
2020-01-22,1437364.7991309855,567187.7036599428,-0.0006777367694913439
2020-01-23,1439293.5700360541,567187.7036599428,0.0013418798806223986
2020-01-24,1430519.3801886425,687961.9624837813,-0.006096178034889599
2020-01-27,1421075.1165037411,687961.9624837813,-0.006601982339907941
2020-01-28,1431133.8810463462,687961.9624837813,0.007078277865671501
2020-01-29,1431583.381063342,687961.9624837813,0.0003140866294544242
2020-01-30,1434133.7489014084,687961.9624837813,0.0017815014282800412
2020-01-31,1414588.4127947227,687961.9624837813,-0.013628670353555306
2020-02-03,1419519.1720726201,687961.9624837813,0.0034856494180919295
2020-02-04,1429508.2713153628,1429508.2713153628,0.007036959725001513
2020-02-05,1429508.2713153628,1429508.2713153628,0.0
2020-02-06,1429508.2713153628,1429508.2713153628,0.0
2020-02-07,1429508.2713153628,1429508.2713153628,0.0
2020-02-10,1429508.2713153628,1429508.2713153628,0.0
2020-02-11,1429508.2713153628,1429508.2713153628,0.0
2020-02-12,1429508.2713153628,1429508.2713153628,0.0
2020-02-13,1429508.2713153628,1429508.2713153628,0.0
2020-02-14,1429508.2713153628,1429508.2713153628,0.0
2020-02-18,1429508.2713153628,1429508.2713153628,0.0
2020-02-19,1429508.2713153628,1429508.2713153628,0.0
2020-02-20,1429508.2713153628,1429508.2713153628,0.0
2020-02-21,1429508.2713153628,1429508.2713153628,0.0
2020-02-24,1429508.2713153628,1429508.2713153628,0.0
2020-02-25,1429508.2713153628,1429508.2713153628,0.0
2020-02-26,1429508.2713153628,1429508.2713153628,0.0
2020-02-27,1429508.2713153628,1429508.2713153628,0.0
2020-02-28,1429508.2713153628,1429508.2713153628,0.0
2020-03-02,1429508.2713153628,1429508.2713153628,0.0
2020-03-03,1407484.133324272,429125.01172296493,-0.015406792974219874
2020-03-04,1458621.9920569754,429125.01172296493,0.03633281365092422
2020-03-05,1429519.2617817146,429125.01172296493,-0.019952208614529066
2020-03-06,1413074.009797508,429125.01172296493,-0.011504043648708717
2020-03-09,1362160.7182839946,599354.3116194058,-0.03603016626199862
2020-03-10,1391244.6043828444,782615.849996437,0.021351288220591735
2020-03-11,1370081.5877760295,782615.849996437,-0.015211571380147615
2020-03-12,1312281.7974605525,782615.849996437,-0.04218711559309385
2020-03-13,1344216.0937394793,1141853.0460444263,0.024334938075590173
2020-03-16,1340724.1316555343,1141853.0460444263,-0.002597768394686284
2020-03-17,1364600.3796223365,1141853.0460444263,0.017808471857159613
2020-03-18,1360489.145157971,1141853.0460444263,-0.0030127754071879176
2020-03-19,1354490.0202278027,1254377.5686680567,-0.004409535314206181
2020-03-20,1346448.829250513,1254377.5686680567,-0.005936692671930643
2020-03-23,1343928.9050434087,1254377.5686680567,-0.0018715335869889937
2020-03-24,1347080.690842728,1347080.690842728,0.002345202776345756
2020-03-25,1347080.690842728,1347080.690842728,0.0
2020-03-26,1347080.690842728,1347080.690842728,0.0
2020-03-27,1347080.690842728,1347080.690842728,0.0
2020-03-30,1347080.690842728,1347080.690842728,0.0
2020-03-31,1347080.690842728,1347080.690842728,0.0
2020-04-01,1347080.690842728,1347080.690842728,0.0
2020-04-02,1393801.1288759608,355027.0865512512,0.03468273159197666
2020-04-03,1387502.5360394425,355027.0865512512,-0.0045190039712464936
2020-04-06,1452313.9028360115,355027.0865512512,0.046710809611613335
2020-04-07,1446371.2533878486,355027.0865512512,-0.004091849177067286
2020-04-08,1459401.9871841115,819230.6921411381,0.009009259390174496
2020-04-09,1478229.0441320355,819230.6921411381,0.012900528513223763
2020-04-13,1475780.4973406522,938363.2015407286,-0.0016564055489932672
2020-04-14,1495921.8767099064,938363.2015407286,0.013647950630563788
2020-04-15,1493729.1128621707,938363.2015407286,-0.0014658277827706012
2020-04-16,1500613.5791662259,938363.2015407286,0.0046089121814487655
2020-04-17,1507806.6200746733,938363.2015407286,0.004793399852108582
2020-04-20,1508417.3754901688,1054540.0310000693,0.00040506216603897194
2020-04-21,1500559.5118632158,1168419.0310000693,-0.005209343086756468
2020-04-22,1504975.6319969553,1168419.0310000693,0.002942982333473676
2020-04-23,1505608.437421585,1168419.0310000693,0.0004204755287566808
2020-04-24,1508005.1747186831,1287106.9997587213,0.0015918729183017621
2020-04-27,1508157.9659320165,1287106.9997587213,0.00010132008556396066
2020-04-28,1506374.1188229972,1287106.9997587213,-0.001182798585635525
2020-04-29,1502889.287065188,1287106.9997587213,-0.0023133906207390975
2020-04-30,1503895.5171820822,1287106.9997587213,0.0006695304341806096
2020-05-01,1508445.7258284409,1287106.9997587213,0.0030256148744194356
2020-05-04,1523426.4428594008,490964.19590714405,0.009931227073305848
2020-05-05,1542883.1239245178,490964.19590714405,0.01277165770379951
2020-05-06,1536287.289745358,490964.19590714405,-0.004275005719410752
2020-05-07,1541174.0597368877,490964.19590714405,0.0031808959327781494
2020-05-08,1552295.256927392,490964.19590714405,0.007216055266595189
2020-05-11,1563800.179846208,490964.19590714405,0.007411555802592007
2020-05-12,1552452.2251981976,609802.4282539166,-0.007256652604507585
2020-05-13,1542707.1515309645,609802.4282539166,-0.006277213243060631
2020-05-14,1554628.433928672,609802.4282539166,0.007727508351715873
2020-05-15,1558677.208594147,609802.4282539166,0.0026043359153309353
2020-05-18,1570892.9786598182,609802.4282539166,0.007837267394632086
2020-05-19,1560142.4978908491,609802.4282539166,-0.006843547533162075
2020-05-20,1555337.8315720472,609802.4282539166,-0.0030796329984583704
2020-05-21,1549663.4190224558,609802.4282539166,-0.0036483472814752282
2020-05-22,1557428.4754854306,609802.4282539166,0.005010801937799458
2020-05-26,1555963.0517292044,609802.4282539166,-0.0009409252362420073
2020-05-27,1577807.1281627158,609802.4282539166,0.014038942897284912
2020-05-28,1587964.6103180265,609802.4282539166,0.006437721045878808
2020-05-29,1600861.4434459878,609802.4282539166,0.00812161243655063
2020-06-01,1607419.4845532489,609802.4282539166,0.004096570089878737
2020-06-02,1617475.3107641088,565564.3026493556,0.0062558817455511395
2020-06-03,1615495.612442798,565564.3026493556,-0.001223943455665788
2020-06-04,1613222.8871929515,565564.3026493556,-0.0014068284880142112
2020-06-05,1618221.2184107536,691420.3034464337,0.0030983512926099355
2020-06-08,1621325.9228544463,691420.3034464337,0.0019185908628376325
2020-06-09,1616052.7382174232,691420.3034464337,-0.003252390258301263
2020-06-10,1626365.1811721514,691420.3034464337,0.006381253972010281
2020-06-11,1576476.7976389779,691420.3034464337,-0.03067477348304881
2020-06-12,1581301.0746745772,691420.3034464337,0.0030601636781615316
2020-06-15,1593082.2793061929,780119.0234464337,0.007450323547045112
2020-06-16,1614444.002175874,780119.0234464337,0.01340905184067731
2020-06-17,1617846.1410583532,780119.0234464337,0.002107313030302649
2020-06-18,1616798.2500195277,780119.0234464337,-0.000647707474914716
2020-06-19,1628075.992529247,780119.0234464337,0.006975355465397737
2020-06-22,1629720.0177292186,780119.0234464337,0.0010097963531896514
2020-06-23,1627572.5968199575,780119.0234464337,-0.0013176624732469389
2020-06-24,1605906.453410949,780119.0234464337,-0.013311936715659223
2020-06-25,1625281.1868266074,780119.0234464337,0.01206467124813293
2020-06-26,1611953.4653747804,780119.0234464337,-0.00820025578333905
2020-06-29,1611735.4981441097,870781.3951272619,-0.00013521930710325147
2020-06-30,1626732.1944744077,870781.3951272619,0.00930468823672781
2020-07-01,1629819.4055921421,870781.3951272619,0.0018977992371582708
2020-07-02,1628326.8943777983,586557.854839216,-0.0009157525117340359
2020-07-06,1642194.1744518662,705098.5625241952,0.008516275277370866
2020-07-07,1633212.8743725289,821700.9716878659,-0.005469085336595514
2020-07-08,1635630.8788481953,821700.9716878659,0.0014805200923948547
2020-07-09,1632940.0310288835,821700.9716878659,-0.0016451436898811123
2020-07-10,1636039.3305466175,821700.9716878659,0.0018979873472642073
2020-07-13,1634243.6259342511,821700.9716878659,-0.001097592569346384
2020-07-14,1650007.1246154031,821700.9716878659,0.00964574585514466
2020-07-15,1670179.120987068,821700.9716878659,0.012225399557814987
2020-07-16,1669946.8428843995,945160.7216878659,-0.0001390737674479281
2020-07-17,1677700.166287016,945160.7216878659,0.004642856409264207
2020-07-20,1687180.1108817079,945160.7216878659,0.005650559489227769
2020-07-21,1691989.528286432,945160.7216878659,0.0028505654930999214
2020-07-22,1704609.8700440768,945160.7216878659,0.007458876988692742
2020-07-23,1693746.8739325101,945160.7216878659,-0.006372716891100638
2020-07-24,1686825.4122039932,945160.7216878659,-0.00408647941144058
2020-07-27,1696514.2474928228,945160.7216878659,0.005743828151231201
2020-07-28,1692831.4007722368,945160.7216878659,-0.002170831589554112
2020-07-29,1700803.926068492,945160.7216878659,0.004709580229087296
2020-07-30,1707329.8345027852,945160.7216878659,0.0038369551800001567
2020-07-31,1710302.1583061893,945160.7216878659,0.00174091950092925
2020-08-03,1714381.1346408275,1063770.6816878659,0.0023849448559885023
2020-08-04,1720500.4065219578,696953.0133989968,0.0035693765858035853
2020-08-05,1727536.9448581845,696953.0133989968,0.004089820792574583
2020-08-06,1726649.7879307382,696953.0133989968,-0.0005135386135080022
2020-08-07,1727961.0721821357,696953.0133989968,0.0007594384573892388
2020-08-10,1719943.6982998764,696953.0133989968,-0.00463978848327562
2020-08-11,1707093.092573292,696953.0133989968,-0.007471526968752973
2020-08-12,1729200.0402661553,696953.0133989968,0.012950053977161202
2020-08-13,1730935.5485461033,696953.0133989968,0.0010036480682020787
2020-08-14,1726161.5836508528,696953.0133989968,-0.002758025796662622
2020-08-17,1739389.360190366,696953.0133989968,0.007663116051705998
2020-08-18,1740827.0291713,696953.0133989968,0.0008265366075232983
2020-08-19,1741157.875599363,696953.0133989968,0.00019005129316074232
2020-08-20,1743590.9567885078,696953.0133989968,0.001397392633512462
2020-08-21,1753787.9597453242,696953.0133989968,0.005848277038324579
2020-08-24,1759267.567003412,696953.0133989968,0.0031244411433200003
2020-08-25,1756776.8014833012,819990.4641645433,-0.0014157968729868742
2020-08-26,1765432.3861348704,819990.4641645433,0.004926968892269512
2020-08-27,1761164.6575158352,819990.4641645433,-0.002417384348759266
2020-08-28,1761663.8201239947,819990.4641645433,0.00028342756370292044
2020-08-31,1776692.8452611184,819990.4641645433,0.008531153881599085
2020-09-01,1781770.0800452325,942079.0430691026,0.0028576885406255137
2020-09-02,1799913.0307391612,757661.8151007501,0.01018254313343725
2020-09-03,1755341.3278151792,757661.8151007501,-0.024763253647693162
2020-09-04,1740732.0717726941,847114.8723756045,-0.008322743737064986
2020-09-08,1724965.4228021486,847114.8723756045,-0.009057481749324747
2020-09-09,1748345.4760637912,847114.8723756045,0.013553925749805629
2020-09-10,1726813.9364832705,847114.8723756045,-0.012315380384085528
2020-09-11,1733154.0006268686,847114.8723756045,0.0036715386699448516
2020-09-14,1741206.5735781975,847114.8723756045,0.004646195865120051
2020-09-15,1741916.0252249062,847114.8723756045,0.0004074482933122958
2020-09-16,1734629.082814408,936656.2546695482,-0.004183291447449222
2020-09-17,1721799.7358335606,1024147.902585209,-0.0073960174586903404
2020-09-18,1718055.602395744,1114759.602585209,-0.002174546412044731
