date,ticker,pnl,pnl_comm,bar_len
2016-06-28,SPGI,-8778.793016233098,-8778.793016233098,18
2016-07-05,LMT,4476.950231175008,4476.950231175008,22
2016-08-02,CL,6496.389946826599,6496.389946826599,42
2016-09-02,CHTR,13184.910000000007,13184.910000000007,23
2016-09-02,MSI,12438.072587940984,12438.072587940984,65
2016-10-04,TSN,-543.0475989283966,-543.0475989283966,21
2016-10-26,KMB,-10379.922634806187,-10379.922634806187,102
2016-11-02,AMAT,-3876.583060105807,-3876.583060105807,21
2016-11-02,CLX,-8731.434725475,-8731.434725475,107
2016-11-02,KLAC,1870.4246483999932,1870.4246483999932,107
2016-11-02,LII,5276.254262802006,5276.254262802006,107
2016-11-02,MO,3450.2061225420002,3450.2061225420002,107
2016-11-02,SPGI,156.34863900720939,156.34863900720939,65
2016-11-02,UPS,4797.980667498896,4797.980667498896,107
2016-11-02,YUM,-4358.099226459004,-4358.099226459004,65
2016-12-21,NVDA,21428.2732682304,21428.2732682304,13
2017-01-04,GEN,1599.2662540548038,1599.2662540548038,21
2017-01-04,KMB,1424.1892993746,1424.1892993746,21
2017-02-02,UPS,-9784.457463553796,-9784.457463553796,41
2017-02-02,CLX,6990.068542566398,6990.068542566398,41
2017-02-02,LII,6635.679013832396,6635.679013832396,41
2017-02-02,LMT,-5877.070956863002,-5877.070956863002,41
2017-02-02,MO,5160.038995329399,5160.038995329399,20
2017-02-02,NVDA,9704.727902677503,9704.727902677503,20
2017-02-02,OKE,618.5845438470081,618.5845438470081,41
2017-02-02,SPGI,2450.753484937005,2450.753484937005,41
2017-02-02,STLD,-7786.673524515596,-7786.673524515596,20
2017-02-02,TPL,8970.217629813,8970.217629813,41
2017-04-21,URI,-8247.6768244968,-8247.6768244968,12
2017-05-02,OKE,-2715.8727091435085,-2715.8727091435085,19
2017-05-12,NVDA,19767.177022379503,19767.177022379503,8
2017-06-02,BA,7010.060775151507,7010.060775151507,41
2017-06-02,KMB,-1010.36992130021,-1010.36992130021,41
2017-06-02,LII,7500.490928176806,7500.490928176806,41
2017-06-02,LMT,5417.238531265007,5417.238531265007,41
2017-06-02,MCD,18750.259807250295,18750.259807250295,41
2017-06-02,MO,5038.76031037221,5038.76031037221,41
2017-06-02,SPGI,12059.609341838015,12059.609341838015,41
2017-06-02,STX,1730.3759031321003,1730.3759031321003,22
2017-06-02,TPL,-1660.4643194112061,-1660.4643194112061,41
2017-07-28,BA,20885.177528094013,20885.177528094013,17
2017-08-02,APO,4162.732143702007,4162.732143702007,20
2017-08-02,IT,3026.8000000000043,3026.8000000000043,20
2017-08-02,KMB,-5667.895412004001,-5667.895412004001,20
2017-08-02,LII,-7169.877400101287,-7169.877400101287,20
2017-08-02,LMT,4743.2553963795,4743.2553963795,20
2017-08-02,MU,-2024.5598760924076,-2024.5598760924076,20
2017-08-02,NVDA,17117.054010885593,17117.054010885593,20
2017-08-02,SPGI,5700.840263325894,5700.840263325894,20
2017-08-02,WYNN,-2867.093143603983,-2867.093143603983,20
2017-12-04,NVDA,-2804.130180268009,-2804.130180268009,21
2017-12-05,MU,-9708.420912036001,-9708.420912036001,22
2018-01-16,HD,20457.273701440186,20457.273701440186,49
2018-01-19,TPL,20469.778272524993,20469.778272524993,11
2018-01-23,WYNN,30355.845687838486,30355.845687838486,54
2018-01-29,ABBV,32764.690747936816,32764.690747936816,58
2018-01-31,NVR,-6501.599999999995,-6501.599999999995,39
2018-02-02,KMB,5523.003784391006,5523.003784391006,62
2018-02-02,LII,12683.557760496595,12683.557760496595,62
2018-02-02,LMT,16652.031731765404,16652.031731765404,62
2018-02-02,SPGI,16459.1998000508,16459.1998000508,62
2018-02-02,UPS,1907.4052974536876,1907.4052974536876,62
2018-03-12,MU,21288.317159314713,21288.317159314713,6
