month,ticker,is_buy,status,exectype,size,price,value,commission
2010-06-30,BA,True,Completed,0,1977,50.6464560994,100128.0437085138,0.0
2010-06-30,BMY,True,Completed,0,7511,13.2558353535,99564.5793401385,0.0
2010-06-30,CL,True,Completed,0,3734,26.6652538595,99568.057911373,0.0
2010-06-30,CPB,True,Completed,0,4689,21.1627097541,99231.9460369749,0.0
2010-06-30,HSY,True,Completed,0,3122,31.8531105919,99445.4112679118,0.0
2010-06-30,IBM,True,Completed,0,1458,68.2720067143,99540.58578944941,0.0
2010-06-30,LMT,True,Completed,0,2046,48.8281660382,99902.42771415721,0.0
2010-06-30,MO,True,Completed,0,13210,7.555026746699999,99801.903323907,0.0
2010-06-30,STX,True,Completed,0,12594,7.8624861482,99020.1505504308,0.0
2010-06-30,YUM,True,Completed,0,4647,21.4238779391,99556.76078299769,0.0
2010-07-31,GRMN,True,Margin,0,0,0.0,0.0,0.0
2010-07-31,IT,True,Margin,0,0,0.0,0.0,0.0
2010-07-31,IBM,False,Completed,0,-1458,67.6478180251,99540.58578944941,0.0
2010-07-31,MO,False,Completed,0,-13210,7.6487538935,99801.903323907,0.0
2010-07-31,STX,False,Completed,0,-12594,6.7200736309,99020.1505504308,0.0
2010-08-31,STX,True,Margin,0,0,0.0,0.0,0.0
2010-08-31,BA,False,Completed,0,-1977,54.3817011891,100128.0437085138,0.0
2010-08-31,IT,True,Completed,0,3972,25.5,101286.0,0.0
2010-08-31,MO,True,Completed,0,11888,8.4952412971,100991.4285399248,0.0
2010-08-31,NFLX,True,Completed,0,68259,1.485998514,101432.772567126,0.0
2010-09-30,CLX,True,Margin,0,0,0.0,0.0,0.0
2010-09-30,DECK,True,Margin,0,0,0.0,0.0,0.0
2010-09-30,HSY,False,Margin,0,0,0.0,0.0,0.0
2010-10-31,CLX,True,Margin,0,0,0.0,0.0,0.0
2010-11-30,BA,True,Margin,0,0,0.0,0.0,0.0
2010-11-30,CLX,True,Margin,0,0,0.0,0.0,0.0
2010-11-30,BMY,False,Completed,0,-7511,15.8780506514,99564.5793401385,0.0
2010-11-30,CDNS,True,Completed,0,11806,8.51,100469.06,0.0
2010-11-30,HSY,False,Completed,0,-3122,34.2169798922,99445.4112679118,0.0
2010-11-30,LMT,False,Completed,0,-2046,44.2439857916,99902.42771415721,0.0
2010-11-30,NFLX,False,Completed,0,-68259,2.484997515,101432.772567126,0.0
2010-11-30,STX,True,Completed,0,13150,7.6608839392,100740.62380048,0.0
2010-11-30,VRSN,True,Completed,0,3430,28.989793239299996,99434.99081079899,0.0
2010-12-31,BMY,True,Margin,0,0,0.0,0.0,0.0
2010-12-31,CLX,True,Margin,0,0,0.0,0.0,0.0
2010-12-31,CPB,False,Margin,0,0,0.0,0.0,0.0
2010-12-31,AMD,True,Completed,0,13717,7.41,101642.97,0.0
2010-12-31,BA,True,Completed,0,1965,51.5751263145,101345.1232079925,0.0
2010-12-31,IT,False,Completed,0,-3972,32.46,101286.0,0.0
2010-12-31,STX,False,Completed,0,-13150,7.0302308754,100740.62380048,0.0
2010-12-31,TER,True,Completed,0,9166,11.2040688293,102696.4948893638,0.0
2011-01-31,NFLX,True,Margin,0,0,0.0,0.0,0.0
2011-01-31,CL,False,Completed,0,-3734,27.9148218871,99568.057911373,0.0
2011-01-31,CLX,True,Completed,0,2518,38.6375478566,97289.3455029188,0.0
2011-01-31,CPB,False,Completed,0,-4689,21.2584428234,99231.9460369749,0.0
2011-01-31,DECK,True,Completed,0,7524,13.4133333333,100921.91999974921,0.0
2011-01-31,LMT,True,Completed,0,2293,43.788647331,100407.368329983,0.0
2011-01-31,TER,False,Completed,0,-9166,12.9978236911,102696.4948893638,0.0
2011-02-28,CL,True,Completed,0,3723,26.937299086199996,100287.56449792259,0.0
2011-02-28,DECK,False,Completed,0,-7524,12.2933333333,100921.91999974921,0.0
2011-02-28,HSY,True,Completed,0,3087,32.454234948,100186.223284476,0.0
2011-02-28,LMT,False,Completed,0,-2293,49.7019860304,100407.368329983,0.0
2011-02-28,LRCX,True,Completed,0,23576,4.2891365128,101120.6824257728,0.0
2011-03-31,AMD,False,Completed,0,-13717,9.27,101642.97,0.0
2011-03-31,CPB,True,Completed,0,4871,20.6059318131,100371.4938616101,0.0
2011-03-31,HSY,False,Completed,0,-3087,36.6217467263,100186.223284476,0.0
2011-03-31,IBM,True,Completed,0,1113,90.5277537371,100757.3899093923,0.0
2011-03-31,LRCX,False,Completed,0,-23576,4.7023219133,101120.6824257728,0.0
2011-03-31,TPR,True,Completed,0,2738,36.6949998115,100470.909483887,0.0
2011-04-30,LMT,True,Completed,0,1975,50.6835823084,100100.07505909,0.0
