strategy,strategy_notes,signal_month,ticker,GICS Sector,score,allocated_cash,realized_stock_return
improved_1_expanding_trend_top10,"Improved 1: same signals and weights as base, but trend uses expanding no-lookahead index regressions.",2016-05-31,LII,Industrials,2.0821024244431237,100000.0,0.04533277864905094
improved_1_expanding_trend_top10,"Improved 1: same signals and weights as base, but trend uses expanding no-lookahead index regressions.",2016-05-31,CLX,Consumer Staples,2.057346366040046,100000.0,0.07579291044761405
improved_1_expanding_trend_top10,"Improved 1: same signals and weights as base, but trend uses expanding no-lookahead index regressions.",2016-05-31,KMB,Consumer Staples,1.9826065217297961,100000.0,0.09122465858978046
improved_1_expanding_trend_top10,"Improved 1: same signals and weights as base, but trend uses expanding no-lookahead index regressions.",2016-05-31,CL,Consumer Staples,1.8066126892451186,100000.0,0.039772727272553654
improved_1_expanding_trend_top10,"Improved 1: same signals and weights as base, but trend uses expanding no-lookahead index regressions.",2016-05-31,MO,Consumer Staples,1.3328920923822505,100000.0,0.09235082723894728
improved_1_expanding_trend_top10,"Improved 1: same signals and weights as base, but trend uses expanding no-lookahead index regressions.",2016-05-31,SPGI,Financials,1.3043089449689804,100000.0,-0.03386777157276821
improved_1_expanding_trend_top10,"Improved 1: same signals and weights as base, but trend uses expanding no-lookahead index regressions.",2016-05-31,UPS,Industrials,1.2134034328595737,100000.0,0.04501358168302594
improved_1_expanding_trend_top10,"Improved 1: same signals and weights as base, but trend uses expanding no-lookahead index regressions.",2016-05-31,MSI,Information Technology,1.1536305852727442,100000.0,-0.03818599484653151
improved_1_expanding_trend_top10,"Improved 1: same signals and weights as base, but trend uses expanding no-lookahead index regressions.",2016-05-31,KLAC,Information Technology,1.1241473434023006,100000.0,0.0057668543177302745
improved_1_expanding_trend_top10,"Improved 1: same signals and weights as base, but trend uses expanding no-lookahead index regressions.",2016-05-31,LMT,Industrials,1.0285110875107657,100000.0,0.05192438114643094
improved_1_expanding_trend_top10,"Improved 1: same signals and weights as base, but trend uses expanding no-lookahead index regressions.",2016-06-30,CHTR,Communication Services,1.715673314595112,100000.0,0.027068392513555972
improved_1_expanding_trend_top10,"Improved 1: same signals and weights as base, but trend uses expanding no-lookahead index regressions.",2016-06-30,KMB,Consumer Staples,1.6513152520767302,100000.0,-0.05437956204355421
