month,value,cash,return
2010-01-31,1000000.0,1000000.0,0.0
2010-02-28,1000000.0,1000000.0,0.0
2010-03-31,1000000.0,1000000.0,0.0
2010-04-30,1000000.0,1000000.0,0.0
2010-05-31,1000000.0,1000000.0,0.0
2010-06-30,1000000.0,1000000.0,0.0
2010-07-31,1000000.0,1000000.0,0.0
2010-08-31,1000000.0,1000000.0,0.0
2010-09-30,1000000.0,1000000.0,0.0
2010-10-31,1000000.0,1000000.0,0.0
2010-11-30,1000000.0,1000000.0,0.0
2010-12-31,1000000.0,1000000.0,0.0
2011-01-31,1000000.0,1000000.0,0.0
2011-02-28,1000000.0,1000000.0,0.0
2011-03-31,1000000.0,1000000.0,0.0
2011-04-30,1000000.0,1000000.0,0.0
2011-05-31,1000000.0,1000000.0,0.0
2011-06-30,1000000.0,1000000.0,0.0
2011-07-31,1000000.0,1000000.0,0.0
2011-08-31,1000000.0,1000000.0,0.0
2011-09-30,1000000.0,1000000.0,0.0
2011-10-31,1000000.0,1000000.0,0.0
2011-11-30,1000000.0,1000000.0,0.0
2011-12-31,1000000.0,1000000.0,0.0
2012-01-31,1000000.0,1000000.0,0.0
2012-02-29,1000000.0,1000000.0,0.0
2012-03-31,1000000.0,1000000.0,0.0
2012-04-30,1000000.0,1000000.0,0.0
2012-05-31,1000000.0,1000000.0,0.0
2012-06-30,1000000.0,1000000.0,0.0
2012-07-31,1000000.0,1000000.0,0.0
2012-08-31,1000000.0,1000000.0,0.0
2012-09-30,1000000.0,1000000.0,0.0
2012-10-31,1000000.0,1000000.0,0.0
2012-11-30,1000000.0,1000000.0,0.0
2012-12-31,1000000.0,1000000.0,0.0
2013-01-31,1000000.0,1000000.0,0.0
2013-02-28,1000000.0,1000000.0,0.0
2013-03-31,1000000.0,1000000.0,0.0
2013-04-30,1000000.0,1000000.0,0.0
2013-05-31,1000000.0,1000000.0,0.0
2013-06-30,1000000.0,1000000.0,0.0
2013-07-31,1000000.0,1000000.0,0.0
2013-08-31,1000000.0,1000000.0,0.0
2013-09-30,1000000.0,1000000.0,0.0
2013-10-31,1000000.0,1000000.0,0.0
2013-11-30,1000000.0,1000000.0,0.0
2013-12-31,1000000.0,1000000.0,0.0
2014-01-31,1000000.0,1000000.0,0.0
2014-02-28,1000000.0,1000000.0,0.0
2014-03-31,1000000.0,1000000.0,0.0
2014-04-30,1000000.0,1000000.0,0.0
2014-05-31,1000000.0,1000000.0,0.0
2014-06-30,1000000.0,1000000.0,0.0
2014-07-31,1000000.0,1000000.0,0.0
2014-08-31,1000000.0,1000000.0,0.0
2014-09-30,1000000.0,1000000.0,0.0
2014-10-31,1000000.0,1000000.0,0.0
2014-11-30,1000000.0,1000000.0,0.0
2014-12-31,1000000.0,1000000.0,0.0
2015-01-31,1000000.0,1000000.0,0.0
2015-02-28,1000000.0,1000000.0,0.0
2015-03-31,1000000.0,1000000.0,0.0
2015-04-30,1000000.0,1000000.0,0.0
2015-05-31,1000000.0,1000000.0,0.0
2015-06-30,1000000.0,1000000.0,0.0
2015-07-31,1000000.0,1000000.0,0.0
2015-08-31,1000000.0,1000000.0,0.0
2015-09-30,1000000.0,1000000.0,0.0
2015-10-31,1000000.0,1000000.0,0.0
2015-11-30,1000000.0,1000000.0,0.0
2015-12-31,1000000.0,1000000.0,0.0
2016-01-31,1000000.0,1000000.0,0.0
2016-02-29,1000000.0,1000000.0,0.0
2016-03-31,1000000.0,1000000.0,0.0
2016-04-30,1000000.0,1000000.0,0.0
2016-05-31,1000000.0,1000000.0,0.0
2016-06-30,1037506.7496596166,2266.520312120876,0.037506749659616645
2016-07-31,1058876.6343724101,107185.45739487397,0.020597345241179843
2016-08-31,1075441.2834613342,13631.665782808472,0.015643606206063643
2016-09-30,1070345.0145086083,138859.01607268146,-0.004738770057555741
2016-10-31,1047459.9842734914,137426.99704556406,-0.02138098456563864
2016-11-30,1048667.9861513209,1048667.9861513209,0.001153267805898306
2016-12-31,1054047.6927745198,46227.395701761096,0.005130038004633741
2017-01-31,1069456.6911916775,42697.63714092209,0.014618881595952482
2017-02-28,1077268.0520209465,1077268.0520209465,0.007304045964278361
2017-03-31,1077268.0520209465,1077268.0520209465,0.0
