month,ticker,pnl,pnl_comm,bar_len
2016-07-31,LMT,5207.062942547387,5207.062942547387,1
2016-08-31,CL,6293.626415160005,6293.626415160005,2
2016-09-30,CHTR,13370.500000000004,13370.500000000004,1
2016-09-30,MSI,12153.936463967786,12153.936463967786,3
2016-10-31,TSN,-1322.949926980003,-1322.949926980003,1
2016-11-30,AMAT,-3548.8554771800054,-3548.8554771800054,1
2016-11-30,CLX,-5656.624221357997,-5656.624221357997,5
2016-11-30,KLAC,3820.5943186944105,3820.5943186944105,5
2016-11-30,KMB,-8599.724168132794,-8599.724168132794,5
2016-11-30,LII,7048.008328209001,7048.008328209001,5
2016-11-30,MO,5857.1896602409815,5857.1896602409815,5
2016-11-30,SPGI,10347.352030106002,10347.352030106002,5
2016-11-30,UPS,5532.1933747699895,5532.1933747699895,5
2016-11-30,YUM,-1834.3235887240069,-1834.3235887240069,3
2017-01-31,GEN,-1721.8995834599987,-1721.8995834599987,1
2017-01-31,KMB,7.39243634920291,7.39243634920291,1
2017-02-28,CLX,4586.089459548806,4586.089459548806,2
2017-02-28,LII,6554.953824004793,6554.953824004793,2
2017-02-28,LMT,-5442.2876462855975,-5442.2876462855975,2
2017-02-28,MO,3282.3170686046114,3282.3170686046114,1
2017-02-28,NVDA,20043.3208664917,20043.3208664917,2
2017-02-28,OKE,5520.126431078396,5520.126431078396,2
2017-02-28,SPGI,1066.448758452001,1066.448758452001,2
2017-02-28,STLD,-4805.590860382001,-4805.590860382001,1
2017-02-28,TPL,6624.370054085013,6624.370054085013,2
2017-02-28,UPS,-7115.174938861199,-7115.174938861199,2
2017-05-31,OKE,-3891.4517273814,-3891.4517273814,1
2017-05-31,URI,-12229.289974109393,-12229.289974109393,1
2017-06-30,BA,6652.287787509986,6652.287787509986,2
2017-06-30,KMB,-1329.4341068861904,-1329.4341068861904,2
2017-06-30,LII,5784.191270383202,5784.191270383202,2
2017-06-30,LMT,5753.487634713897,5753.487634713897,2
2017-06-30,MCD,17130.735381261595,17130.735381261595,2
2017-06-30,MO,4871.9505823758,4871.9505823758,2
2017-06-30,SPGI,10048.63979297899,10048.63979297899,2
2017-06-30,TPL,1240.0799063819939,1240.0799063819939,2
2017-08-31,APO,5935.689152244796,5935.689152244796,1
2017-08-31,BA,22876.965709210406,22876.965709210406,1
2017-08-31,IT,3956.010000000012,3956.010000000012,1
2017-08-31,KMB,-4993.268372795992,-4993.268372795992,1
2017-08-31,LII,-6925.859416572794,-6925.859416572794,1
2017-08-31,LMT,5956.0313349309,5956.0313349309,1
2017-08-31,MU,-6261.829587871201,-6261.829587871201,1
2017-08-31,NVDA,11811.697363747495,11811.697363747495,1
2017-08-31,SPGI,5186.047000196394,5186.047000196394,1
2017-08-31,WYNN,-1990.1083436850006,-1990.1083436850006,1
2017-12-31,NVDA,-4787.290672886408,-4787.290672886408,1
2018-01-31,MU,-7333.411623899401,-7333.411623899401,2
2018-02-28,ABBV,24658.04411245501,24658.04411245501,3
2018-02-28,HD,20448.885707589296,20448.885707589296,3
2018-02-28,KMB,5239.173636600003,5239.173636600003,3
2018-02-28,LII,13317.983217105599,13317.983217105599,3
2018-02-28,LMT,15376.47213269199,15376.47213269199,3
2018-02-28,NVR,-10355.799999999997,-10355.799999999997,2
2018-02-28,SPGI,15184.470316869005,15184.470316869005,3
2018-02-28,TPL,19914.757764942588,19914.757764942588,1
2018-02-28,UPS,1832.2786209123065,1832.2786209123065,3
2018-02-28,WYNN,9604.9836096111,9604.9836096111,3
2018-04-30,KMB,-243.7322236980961,-243.7322236980961,1
2018-04-30,UPS,-603.0512725391911,-603.0512725391911,1
2018-05-31,ABBV,-10997.897028217796,-10997.897028217796,2
2018-05-31,IBKR,10216.117963060904,10216.117963060904,1
2018-05-31,LII,-5919.64204213689,-5919.64204213689,2
2018-05-31,MSCI,86.86588097501044,86.86588097501044,1
2018-06-30,NVDA,5059.324818662393,5059.324818662393,3
2018-06-30,WYNN,15222.248465130593,15222.248465130593,3
2018-07-31,VLO,-10040.994904374013,-10040.994904374013,1
2018-08-31,BA,6999.696778183802,6999.696778183802,3
2018-08-31,HD,8962.172002859901,8962.172002859901,5
2018-08-31,KMB,11184.219332433791,11184.219332433791,3
2018-08-31,LMT,2231.5968434055917,2231.5968434055917,3
2018-08-31,LULU,5924.730000000004,5924.730000000004,2
2018-08-31,MU,7969.572040185807,7969.572040185807,5
2018-08-31,ORLY,11042.761999999997,11042.761999999997,1
2018-08-31,SPGI,4276.299874951999,4276.299874951999,5
2018-08-31,TPL,41333.18392740789,41333.18392740789,5
2018-08-31,UPS,6417.270886717601,6417.270886717601,3
2018-11-30,AMD,-39750.36,-39750.36,1
2018-11-30,BA,-4739.8834708919,-4739.8834708919,1
2018-11-30,GWW,-20227.641332909403,-20227.641332909403,1
2018-11-30,HD,-15270.970979161993,-15270.970979161993,1
2018-11-30,KMB,-8481.364406091492,-8481.364406091492,1
2018-11-30,LULU,-13616.10000000001,-13616.10000000001,1
2018-11-30,ORLY,-8713.724000000004,-8713.724000000004,1
2018-11-30,SPGI,-7284.138619959097,-7284.138619959097,1
2018-11-30,TPL,-13022.293147815008,-13022.293147815008,1
2018-11-30,UPS,-9984.918620781007,-9984.918620781007,1
2019-01-31,ABBV,-3266.3351276961057,-3266.3351276961057,1
2019-01-31,DECK,-7625.080000300208,-7625.080000300208,1
2019-01-31,HD,-7526.284305906598,-7526.284305906598,1
2019-01-31,KMB,-1396.3436279280022,-1396.3436279280022,1
2019-01-31,LMT,-15473.850022621196,-15473.850022621196,1
2019-01-31,MCO,-15159.603240700813,-15159.603240700813,1
2019-01-31,ORLY,-4195.249999999995,-4195.249999999995,1
2019-01-31,SPGI,-9004.67110584689,-9004.67110584689,1
2019-01-31,TPL,-10827.322787989997,-10827.322787989997,1
2019-01-31,UPS,-17775.7098274075,-17775.7098274075,1
2019-05-31,LLY,-10521.627835790483,-10521.627835790483,1
2019-05-31,SBUX,3912.7818265904134,3912.7818265904134,1
2019-06-30,DECK,-4455.600000000003,-4455.600000000003,1
2019-06-30,HD,-1806.0666645329948,-1806.0666645329948,2
2019-06-30,LULU,652.7000000000132,652.7000000000132,2
2019-06-30,TPL,-6057.432717210905,-6057.432717210905,2
2019-07-31,BALL,14785.4610392572,14785.4610392572,1
2019-07-31,CHD,-2068.631076729986,-2068.631076729986,1
2019-07-31,ERIE,20788.275721140002,20788.275721140002,1
2019-07-31,HSY,2089.688972730304,2089.688972730304,1
2019-07-31,LMT,21714.14793034682,21714.14793034682,3
2019-07-31,MCO,8933.223278506794,8933.223278506794,3
2019-07-31,MSCI,21007.3091043746,21007.3091043746,3
2019-07-31,ORLY,-4737.386666409199,-4737.386666409199,3
2019-07-31,PEP,3970.415696499,3970.415696499,1
2019-07-31,SPGI,9110.26321266801,9110.26321266801,3
2019-11-30,HSY,-4856.534256470095,-4856.534256470095,1
2019-11-30,TER,4783.1754395375,4783.1754395375,1
2019-12-31,KLAC,2470.793776156205,2470.793776156205,2
2019-12-31,STX,7751.172161628393,7751.172161628393,1
2020-01-31,FICO,2444.419999999995,2444.419999999995,1
2020-01-31,TGT,2429.3884558972004,2429.3884558972004,1
2020-02-29,APO,-104.79726792359489,-104.79726792359489,1
2020-02-29,BLDR,6411.899999999997,6411.899999999997,3
2020-02-29,HLT,16372.285941511198,16372.285941511198,4
2020-02-29,IDXX,983.5600000000024,983.5600000000024,4
2020-02-29,LMT,10429.321085347903,10429.321085347903,4
2020-02-29,LRCX,29543.637152370597,29543.637152370597,4
2020-02-29,MCO,26023.910035012406,26023.910035012406,4
2020-02-29,ORLY,1957.2799999999984,1957.2799999999984,4
2020-02-29,SPGI,20602.255771940494,20602.255771940494,4
2020-02-29,TER,-3606.809870545017,-3606.809870545017,1
2020-04-30,HSY,-11050.014503603395,-11050.014503603395,1
2020-04-30,HWM,-32021.263328353605,-32021.263328353605,1
2020-04-30,LDOS,-15430.309907692397,-15430.309907692397,1
2020-04-30,NEM,-1089.645211924009,-1089.645211924009,1
2020-05-31,BIIB,-4341.840000000003,-4341.840000000003,1
2020-05-31,CPB,10625.275491856792,10625.275491856792,1
2020-05-31,DVA,5584.5,5584.5,1
2020-05-31,GNRC,-8419.599999999993,-8419.599999999993,2
2020-05-31,MCO,-1877.9784384239974,-1877.9784384239974,2
2020-06-30,AAPL,13281.062096724001,13281.062096724001,3
2020-06-30,IDXX,11210.399999999994,11210.399999999994,1
2020-06-30,LMT,5404.301655712006,5404.301655712006,3
2020-06-30,ORLY,10238.127999870596,10238.127999870596,1
2020-06-30,WAT,8031.360000000011,8031.360000000011,1
2020-07-31,DVA,-1926.6000000000029,-1926.6000000000029,1
2020-07-31,EBAY,35429.5566163422,35429.5566163422,2
2020-07-31,FTNT,-1824.2279999999969,-1824.2279999999969,1
2020-07-31,LLY,29590.51653124499,29590.51653124499,4
2020-07-31,REGN,19092.37249604129,19092.37249604129,2
2020-08-31,AMD,48563.99999999999,48563.99999999999,1
2020-08-31,GEN,2711.392874342404,2711.392874342404,3
2020-08-31,LRCX,18131.1900727272,18131.1900727272,1
2020-08-31,LULU,4316.800000000003,4316.800000000003,1
2020-08-31,MCO,5721.231782545397,5721.231782545397,2
2020-08-31,META,10615.956450969095,10615.956450969095,1
2020-08-31,NVDA,21452.933888216998,21452.933888216998,2
2020-08-31,SMCI,9228.426,9228.426,1
2020-08-31,SPGI,31001.01864528239,31001.01864528239,5
2020-09-30,CLX,-2651.9411326130053,-2651.9411326130053,1
2020-09-30,MTD,4256.959999999996,4256.959999999996,1
2020-09-30,NEM,-1025.8686568415942,-1025.8686568415942,1
2020-09-30,NTAP,6972.973425751807,6972.973425751807,1
2020-09-30,STX,5727.154754348785,5727.154754348785,1
2020-10-31,AAPL,9079.508332173995,9079.508332173995,2
2020-10-31,AMD,-9754.859999999999,-9754.859999999999,1
2020-10-31,EBAY,-5726.331558460895,-5726.331558460895,2
2020-10-31,REGN,-8537.881122471614,-8537.881122471614,1
2020-10-31,WST,-2353.600417891803,-2353.600417891803,1
2020-11-30,ALGN,30030.30000000001,30030.30000000001,1
2020-11-30,GNRC,33773.18000000001,33773.18000000001,3
2020-11-30,HUM,-2873.046200479808,-2873.046200479808,1
2020-11-30,IDXX,8147.460000000009,8147.460000000009,3
2020-11-30,MCO,-9497.154152102103,-9497.154152102103,1
2020-11-30,NVDA,-6149.337586686811,-6149.337586686811,2
2020-12-31,FIX,10128.698387321592,10128.698387321592,1
2020-12-31,KMB,3941.4247612402028,3941.4247612402028,1
2020-12-31,NEM,-5680.9954426540025,-5680.9954426540025,1
2020-12-31,NRG,8010.413084845707,8010.413084845707,2
2020-12-31,UPS,9991.850381611599,9991.850381611599,1
2021-01-31,EBAY,-39.64388706560021,-39.64388706560021,1
2021-01-31,GEN,14480.44282959559,14480.44282959559,1
2021-01-31,LOW,24577.354199681988,24577.354199681988,7
2021-01-31,MTD,-154.7999999999961,-154.7999999999961,1
2021-01-31,QCOM,3314.220592028408,3314.220592028408,1
2021-01-31,SPGI,-8987.223703328002,-8987.223703328002,3
2021-02-28,ALGN,-1810.160000000012,-1810.160000000012,1
2021-02-28,CL,-1390.3230811847916,-1390.3230811847916,3
2021-02-28,COHR,11546.057600000002,11546.057600000002,1
2021-02-28,NTAP,52096.951750012406,52096.951750012406,3
2021-02-28,PYPL,243.23339803620271,243.23339803620271,1
2021-02-28,ROL,-6959.787727713005,-6959.787727713005,1
2021-02-28,TTD,-2936.543999999993,-2936.543999999993,1
2021-03-31,ABBV,5394.036649190405,5394.036649190405,1
2021-03-31,IDXX,14621.039999999986,14621.039999999986,3
2021-03-31,MTD,-4472.70000000001,-4472.70000000001,1
2021-03-31,NRG,748.4738036988068,748.4738036988068,1
2021-03-31,ORLY,-3704.150000000007,-3704.150000000007,6
2021-03-31,QCOM,-12711.147559457992,-12711.147559457992,1
2021-03-31,SPGI,3956.8036670579904,3956.8036670579904,1
2021-04-30,ALGN,-3754.731200000004,-3754.731200000004,1
2021-04-30,EBAY,8439.870614350995,8439.870614350995,2
2021-04-30,FCX,18688.644935191594,18688.644935191594,2
2021-04-30,LOW,19048.156083072012,19048.156083072012,1
2021-04-30,NTAP,17131.860677395794,17131.860677395794,1
2021-04-30,ON,620.75,620.75,1
2021-04-30,PYPL,-8007.345320169401,-8007.345320169401,1
2021-04-30,WBD,-19497.686000000005,-19497.686000000005,1
2021-05-31,BLDR,5584.040000000007,5584.040000000007,1
2021-05-31,TPL,-306.31261105061594,-306.31261105061594,1
2021-05-31,TPR,16645.286954528998,16645.286954528998,1
2021-05-31,TTD,-10851.304,-10851.304,2
2021-05-31,XYZ,6749.600000000001,6749.600000000001,1
2021-06-30,FTNT,7250.976000000008,7250.976000000008,1
2021-06-30,GNRC,44957.98999999998,44957.98999999998,5
2021-06-30,LOW,-1910.1245413040124,-1910.1245413040124,1
2021-07-31,ADSK,5018.4,5018.4,3
2021-07-31,NUE,-7394.767835268407,-7394.767835268407,1
2021-07-31,SPGI,15113.589264713613,15113.589264713613,3
2021-08-31,DVN,-15038.068184442409,-15038.068184442409,1
2021-08-31,KMB,-759.4478931961999,-759.4478931961999,4
2021-08-31,MOS,-14238.985125312509,-14238.985125312509,2
2021-08-31,STLD,7572.567641553189,7572.567641553189,1
2021-09-30,GNRC,4557.700000000008,4557.700000000008,1
2021-09-30,IVZ,3410.5635407784944,3410.5635407784944,1
2021-09-30,KLAC,-1757.086349470203,-1757.086349470203,1
2021-09-30,TPR,-6277.784295573009,-6277.784295573009,2
2021-10-31,ADSK,-9016.0,-9016.0,1
2021-10-31,CL,-5668.354440308595,-5668.354440308595,5
2021-10-31,COF,-2017.0408363829954,-2017.0408363829954,1
2021-10-31,KMB,-2990.091945085806,-2990.091945085806,1
2021-10-31,STX,-4408.9802085028,-4408.9802085028,1
2021-11-30,AMAT,5990.507964363197,5990.507964363197,1
2021-11-30,IT,8688.88999999999,8688.88999999999,1
2021-11-30,MAS,2542.494831554003,2542.494831554003,6
2021-11-30,MTD,8232.479999999994,8232.479999999994,1
2021-12-31,BX,24465.958908258806,24465.958908258806,2
2021-12-31,COF,-4776.631924104017,-4776.631924104017,1
2021-12-31,COR,-1431.6294933911968,-1431.6294933911968,2
2021-12-31,DVN,7259.351188070403,7259.351188070403,1
2021-12-31,EBAY,-9961.602664007003,-9961.602664007003,1
2021-12-31,TPL,-3753.2890177420013,-3753.2890177420013,1
2021-12-31,WAT,1816.6000000000042,1816.6000000000042,6
2022-01-31,APA,873.0346968849109,873.0346968849109,1
2022-01-31,CL,12059.614046943396,12059.614046943396,1
2022-01-31,EOG,1116.066281418796,1116.066281418796,1
2022-01-31,SPG,3699.4728050889926,3699.4728050889926,1
2022-01-31,STLD,1657.8979097840079,1657.8979097840079,1
2022-01-31,STX,9338.159528207994,9338.159528207994,1
2022-02-28,BX,3601.3561247016096,3601.3561247016096,1
2022-02-28,FANG,14321.193174866812,14321.193174866812,2
2022-02-28,KKR,-3771.4668165495955,-3771.4668165495955,1
2022-03-31,BLDR,11451.300000000008,11451.300000000008,1
2022-03-31,F,-18154.3036334616,-18154.3036334616,2
2022-03-31,MCK,11118.000583985408,11118.000583985408,2
2022-03-31,NUE,15832.824107773802,15832.824107773802,2
2022-03-31,NVDA,-3319.4698518574996,-3319.4698518574996,1
2022-03-31,ON,5386.919999999987,5386.919999999987,1
2022-04-30,CL,-1467.9474312322081,-1467.9474312322081,1
2022-04-30,EOG,3747.5548921536083,3747.5548921536083,1
2022-04-30,HD,-58.805573858001594,-58.805573858001594,12
2022-04-30,LOW,6074.733230500811,6074.733230500811,8
