simulation,annualized_sharpe,cumulative_return,max_drawdown
0,1.1181770515001679,3.670463257134772,-0.13883468348227102
1,1.0592044458697467,2.5582711482161886,-0.14357121614133306
2,1.140715930217158,4.206974967968485,-0.09726404926399557
3,1.0840500016951335,2.596775670861065,-0.07143929161594043
4,0.9077111016230539,2.7180743489249166,-0.17029794522034736
5,0.8165867614188393,1.6345254478714342,-0.1340512565442874
6,0.9659219272736905,2.7599249405560085,-0.1189263414846512
7,1.0916776663308339,4.356288586701743,-0.09861882827736934
8,0.5542027465858425,1.231850379135233,-0.19593795014381954
9,1.0368900372166072,2.785085018201466,-0.1373922626925831
10,1.0465504042037623,2.5155811716907714,-0.1347138270169983
11,0.8371639640875559,1.9878562275569256,-0.09998398424736876
12,1.3305214343166536,7.063122994165115,-0.09181917420445773
13,1.3538907110960334,7.470969387922873,-0.1340512565442874
14,1.2422444640023897,2.6931376910743965,-0.07003217660553218
15,0.85004394000533,2.449029313584028,-0.1340512565442874
16,0.8189183104693913,1.8934377573847887,-0.13846049842060926
17,1.393124987043481,3.8847679035894753,-0.06024067881444972
18,1.4068568607666965,5.139085893698913,-0.04364199490270315
19,1.0448838772737286,3.229022354716945,-0.10854316260030006
20,1.1571953230745424,4.214267950521192,-0.09081172519137104
21,1.0428066108964151,2.430430411828974,-0.09453495569620529
22,0.9289939186772833,2.940940611434371,-0.10824318230281804
23,1.291563077892284,4.6649742999922825,-0.08831455757864792
24,1.339375002329501,5.74946935079783,-0.09921178914207152
25,0.5467250776999213,1.2096141828509266,-0.14813370732835263
26,1.1039986038124285,3.415670691411573,-0.13935890966438236
27,1.0073964752620768,3.5357444907394404,-0.1340512565442874
28,1.1807924267218064,3.922343532296428,-0.11989481888975773
29,0.7575488453214364,2.214553603129316,-0.1340512565442874
30,1.0588726090356895,2.7203630632302427,-0.13980127696801192
31,1.0754256102819726,2.6217056055818744,-0.14768386591980187
32,1.325550088118412,3.6870213083385517,-0.0879338907625129
33,0.9851882801319504,2.0682106380592424,-0.11892634148465131
34,1.0130873749737397,2.9083692182008423,-0.1340512565442874
35,0.9111270671742083,2.631372867346875,-0.14896689904186
36,1.1439882298356046,3.3222998561100328,-0.07031279494952125
37,1.1269021640155428,3.7125409886084135,-0.1340512565442874
38,0.8652580057836893,2.317297053836462,-0.1340512565442874
39,0.9529593176078697,3.130690302459281,-0.1340512565442875
40,1.0703838116539417,3.4648994640123227,-0.09726404926399557
41,0.9408117157709721,2.0473171350546004,-0.21591368264205768
42,1.2025534219890242,4.110591379788978,-0.16113967336311885
43,1.0912136455970332,3.796960833908405,-0.1284057964428552
44,0.8823909051906543,2.254160729531291,-0.15361784280016866
45,1.0279317135540726,3.442379071350051,-0.1340512565442873
46,1.0859538354282874,3.1721033097785485,-0.1340512565442875
47,1.3379860356561937,3.4629517787827027,-0.05481607996108229
48,1.2665505073514574,3.9189470121775534,-0.0659232650799978
49,0.9422126650642441,2.5785296539935505,-0.09081172519137115
50,0.8076663927145832,1.878428935991487,-0.12849091611131302
51,1.1348242313514705,3.2224678434836616,-0.06138156318645216
52,1.5816297892360525,6.05345603592753,-0.10143307794789402
53,1.1825621814912914,3.616851658695274,-0.09081172519137104
54,1.2704510090064727,6.7005334450819865,-0.1340512565442874
55,0.6787241094377331,1.1793035649694827,-0.1340512565442873
56,0.9724175172001301,2.7991197330600737,-0.13585915423895445
57,1.1468062377439154,3.112749857914096,-0.1340512565442874
58,1.228232758914936,3.892013990064461,-0.09081172519137104
59,0.7941411774107144,2.0445204059167716,-0.10678241651490517
60,1.1972340112204325,3.537943091860157,-0.1189263414846512
61,1.4994139428586843,8.249605278848893,-0.09081172519137115
62,0.9271122956203509,2.438409681278086,-0.15731111616989846
63,1.4037642647148174,5.4789688926912365,-0.09081172519137093
64,1.3792055269480652,4.041792257787158,-0.0987607056738764
65,1.271019446752595,3.8630181737875375,-0.07378489983396663
66,1.1947203467570924,3.869887139063362,-0.05377383893117116
