month,factor,ic,rank_ic,n_obs
2006-06-30,roe,-0.04771229712510162,-0.11025871383369518,377
2006-07-31,roe,-0.08000543651106594,-0.1388747766190155,377
2006-08-31,roe,0.08029261035221416,0.1315656376626053,381
2006-09-30,roe,0.007086347663785658,-0.012679076864525607,382
2006-10-31,roe,-0.14291705604337063,-0.05897436417729617,383
2006-11-30,roe,0.07689218330005626,0.006416677142742895,386
2006-12-31,roe,0.07475920938957899,0.023398973536148924,386
2007-01-31,roe,-0.07400592887119087,-0.11825783866715318,386
2007-02-28,roe,0.08282476692815222,0.03897173775724845,387
2007-03-31,roe,-0.004534924369230314,0.11507432795735702,387
2007-04-30,roe,0.08784128672218766,0.04103539679916104,387
2007-05-31,roe,-0.030953756734566493,0.06275947334515608,388
2007-06-30,roe,0.04526654153139972,0.11690825285488479,388
2007-07-31,roe,-0.06356924073989724,-0.018400053126384215,389
2007-08-31,roe,0.04304431778916223,0.0497398789682133,391
2007-09-30,roe,0.04093716826978108,-0.031424609639027205,391
2007-10-31,roe,0.16559081386766625,0.15272994086934188,391
2007-11-30,roe,0.060571725063980626,0.10302012567008059,393
2007-12-31,roe,-0.033967595474447464,-0.03333539600414189,393
2008-01-31,roe,0.0041520350751380235,0.025097828180547028,393
2008-02-29,roe,0.1543507510979857,0.0901203727184381,394
2008-03-31,roe,-0.12154304082323782,0.002346136146043405,396
2008-04-30,roe,-0.022576740832060294,0.037990313292881876,398
2008-05-31,roe,0.14718514719217718,0.17300872124608282,399
2008-06-30,roe,-0.05162533700204924,-0.10181872965781362,398
2008-07-31,roe,-0.07565142093454917,-0.021757950410550286,396
2008-08-31,roe,-0.07142868491833082,-0.09392036781241861,401
2008-09-30,roe,0.06539307060684377,0.0833408374565871,402
2008-10-31,roe,0.0783399231026766,0.09653269857582178,396
2008-11-30,roe,-0.0430586872186336,-0.03286697186924715,387
2008-12-31,roe,0.06031976218480188,0.14447630292469718,390
2009-01-31,roe,0.08656322576292307,0.06486081194190735,386
2009-02-28,roe,0.04134544739773096,-0.028018829933486998,378
2009-03-31,roe,-0.07508386527465236,-0.15704883795188274,382
2009-04-30,roe,-0.011827398297091535,-0.004526005031707725,394
2009-05-31,roe,0.025695322979423,0.12237003885362382,397
2009-06-30,roe,-0.08671313287895975,-0.2017738508037388,397
2009-07-31,roe,-0.2634549102302255,-0.31856470250560104,402
2009-08-31,roe,-0.036412949447893965,-0.033917011190868186,404
2009-09-30,roe,0.06700949671369943,0.2167727135388683,403
2009-10-31,roe,0.010522582569421396,0.020148909650673286,401
2009-11-30,roe,-0.11482149734666254,-0.06425764277581003,404
2009-12-31,roe,0.05197210676941734,0.09903592334355818,404
2010-01-31,roe,-0.06899896336113022,-0.1158081939378312,405
2010-02-28,roe,-0.051862272453108794,-0.11247321413662634,405
2010-03-31,roe,0.009520557390603378,-0.13596720046033023,406
2010-04-30,roe,0.038934070627695334,0.16375537411060354,405
2010-05-31,roe,0.1460795964421327,0.23744445247338136,405
2010-06-30,roe,-0.01850553123407573,-0.16733081909669476,406
2010-07-31,roe,0.1414903050227174,0.14672997534947738,406
2010-08-31,roe,0.016307689857221037,0.0918751324654117,407
2010-09-30,roe,0.07256222422493941,0.09389756680869907,407
2010-10-31,roe,-0.011919666372778746,0.07874560937306115,407
2010-11-30,roe,-0.21979545546270607,-0.2706050215300271,409
2010-12-31,roe,-0.020267603992868925,-0.05760481982662396,409
2011-01-31,roe,-0.04129194202906435,0.0028231414815572805,409
2011-02-28,roe,-0.006640233931191407,0.1328739180385981,409
2011-03-31,roe,-0.06100957221548853,0.0412070375264807,415
2011-04-30,roe,0.046852557001707436,0.08044851722707681,415
2011-05-31,roe,0.18649312353954414,0.19572276692932736,417
2011-06-30,roe,0.06245781083416039,-0.051122215974060005,417
2011-07-31,roe,0.18033817770425326,0.13452892288926405,418
2011-08-31,roe,-0.02703492324057169,0.09727041249489125,417
2011-09-30,roe,-0.04269702631057712,-0.053655052398465665,416
2011-10-31,roe,-0.023823852569894086,0.023692141249518947,418
2011-11-30,roe,-0.06041662357158337,-0.16177936881670799,421
2011-12-31,roe,-0.03183805481147746,0.04390591428981452,421
2012-01-31,roe,-0.014308686345778357,-0.014929818467218607,421
2012-02-29,roe,-0.020731981771503274,0.005269477389939981,422
2012-03-31,roe,0.11600248181261581,0.04687292400027327,423
2012-04-30,roe,-0.07047192294997545,-0.039892066170917374,424
2012-05-31,roe,-0.06780411039010363,-0.14434875857634147,425
2012-06-30,roe,0.038298816295104156,0.012726255219185514,425
2012-07-31,roe,-0.04378224511794565,0.02994666441880427,425
2012-08-31,roe,-0.10735823657332372,-0.09818470814826757,426
2012-09-30,roe,-0.015393843751721328,-0.12130654511817127,427
2012-10-31,roe,0.024498479308858494,0.1286288724055248,427
2012-11-30,roe,-0.08284783646147942,-0.18954018180429477,428
2012-12-31,roe,-0.13613283555494401,-0.09396822568927564,428
2013-01-31,roe,-0.0850916994961738,-0.010741611705530278,428
2013-02-28,roe,-0.07518367065140247,-0.010113670023009653,430
2013-03-31,roe,-0.037644799025986955,-0.04947548663991556,432
2013-04-30,roe,-0.09311397552733745,-0.015701613088098546,432
2013-05-31,roe,-0.015404637714640092,-0.0260695957505936,432
2013-06-30,roe,0.004814679211975172,-0.0011230292388928445,433
2013-07-31,roe,-0.07368094607015623,0.03298601834142693,433
2013-08-31,roe,-0.055965374651346315,0.004098184680713368,434
2013-09-30,roe,-0.04943017544533741,-0.03561381819882024,435
2013-10-31,roe,0.0985502326618077,0.17506983158797265,435
2013-11-30,roe,-0.06372201712746658,-0.06291706331832954,436
2013-12-31,roe,-0.19438938042763587,-0.19910522639023875,436
2014-01-31,roe,0.025821438155678268,0.027174911590459618,436
2014-02-28,roe,0.018789891423188713,-0.010046114400654779,438
2014-03-31,roe,0.09856211906245804,-0.004630563392072831,439
2014-04-30,roe,0.019943279874027112,0.036590628970261524,439
2014-05-31,roe,-0.15061342822508322,-0.20819848148972836,439
2014-06-30,roe,-0.022532061932219488,-0.011614491803941428,439
2014-07-31,roe,0.09347532530793976,0.05984036333828568,440
2014-08-31,roe,-0.0013076515383301354,0.0871678561885134,441
2014-09-30,roe,0.004977494908929771,0.0005107797740108427,442
2014-10-31,roe,0.0732818344950744,0.18092603379418726,442
2014-11-30,roe,-0.004394011956757622,-0.05918479103373547,442
2014-12-31,roe,0.00681720043729023,-0.0006931856892911485,443
2015-01-31,roe,0.013239211529990405,0.09066736307313782,443
2015-02-28,roe,0.0004189788792882332,-0.05116604600709794,444
2015-03-31,roe,-0.00399326300377765,-0.07823373461386415,446
2015-04-30,roe,-0.039377542143167917,-0.012362707967002168,446
2015-05-31,roe,-0.0218204552007356,0.06825465358289727,447
2015-06-30,roe,0.029407912808216353,-0.002442615826579816,447
2015-07-31,roe,0.08136165367404563,0.016431226760812902,447
2015-08-31,roe,0.1649819752995144,0.07507249024731087,448
2015-09-30,roe,-0.061480079503073444,0.03822029227786681,448
2015-10-31,roe,-0.02198027298785804,-0.1002685273781851,448
2015-11-30,roe,0.046799507009172986,-0.0164333470418663,448
2015-12-31,roe,0.10785415414520762,0.10809600842089115,449
2016-01-31,roe,0.07644380158415974,0.15747954198445646,449
2016-02-29,roe,-0.17602657502380786,-0.17486061641223782,450
2016-03-31,roe,-0.13614489932584212,-0.12405199072800772,451
2016-04-30,roe,-0.01691326089288754,-0.077722635188892,452
2016-05-31,roe,0.09791784088282827,0.011664613667045454,453
2016-06-30,roe,-0.07325379846323808,-0.05808169586915279,454
2016-07-31,roe,0.016389156675193698,0.0017784671276619578,454
2016-08-31,roe,-0.11043502691982954,-0.11043678513530603,455
2016-09-30,roe,0.015976193122907066,-0.05390684324033112,456
2016-10-31,roe,-0.009386401655360928,0.075843635148741,456
2016-11-30,roe,0.10755171411872355,-0.043903451487850166,456
2016-12-31,roe,-0.13575904386239415,-0.044984684957246224,457
2017-01-31,roe,0.16274458022494973,0.09738335434271701,457
2017-02-28,roe,-0.0504027589055521,0.00547836673112513,458
2017-03-31,roe,-0.04359077591101804,0.03716769457997518,458
2017-04-30,roe,-0.014827485123632269,0.02197878017002375,459
2017-05-31,roe,0.01552184996421602,-0.031948821919116015,460
2017-06-30,roe,-0.05108928330763123,-0.13366883299018886,460
2017-07-31,roe,0.02613650274317677,0.01210856233014555,460
2017-08-31,roe,0.11872509266714912,0.18799758607929062,460
2017-09-30,roe,-0.04886532279530907,-0.0050392755278640886,460
2017-10-31,roe,0.07383271792250062,0.13261006116796753,460
2017-11-30,roe,0.08297694576956495,0.15825014162379641,460
2017-12-31,roe,-0.013772328992465051,0.030158476739528435,460
2018-01-31,roe,-0.006583702854935295,0.11044070082615526,460
2018-02-28,roe,-0.03999599233694265,-0.10908372822525457,462
2018-03-31,roe,-0.051622111707401205,-0.1324761283550092,464
2018-04-30,roe,0.009216043540008238,0.04772731367867626,464
2018-05-31,roe,-0.023164254832283227,-0.03485170089603018,464
2018-06-30,roe,0.015360130832149696,0.07321570789688552,464
2018-07-31,roe,-0.020499629742332253,0.0410302589790796,465
2018-08-31,roe,0.013149420694531283,0.05007274424226027,465
2018-09-30,roe,0.005497431921112835,-0.07696884102639762,465
2018-10-31,roe,0.05442411287396229,0.02787709743911222,465
2018-11-30,roe,0.02284787136077414,-0.07732814396562479,465
2018-12-31,roe,-0.08005467130159044,-0.04684239033282997,466
2019-01-31,roe,0.0023869969727945053,0.050973025999276306,466
2019-02-28,roe,0.023698491175761578,0.06513147850210485,466
2019-03-31,roe,0.03820395265101128,0.08924235511917712,467
2019-04-30,roe,-0.042676480218243676,-0.13267080212582236,467
2019-05-31,roe,-0.004291289368770398,0.11120950206911553,468
2019-06-30,roe,0.014225099387610459,0.02258365159830986,468
2019-07-31,roe,-0.010154530151152044,-0.011270919255301257,470
2019-08-31,roe,-0.005606931861359611,-0.05455398457144289,471
2019-09-30,roe,0.07883300541166889,0.16418278644949907,471
2019-10-31,roe,-0.011674327982630526,0.10178346450821613,471
2019-11-30,roe,0.046054708423057755,0.05759291552111395,473
2019-12-31,roe,-0.04872479908234821,-0.07333497985286282,473
2020-01-31,roe,-0.06362044739928698,0.05596760121392454,473
2020-02-29,roe,0.04207749461638912,0.20068997330882354,473
2020-03-31,roe,-0.004465123626733655,0.02141427858974942,473
2020-04-30,roe,0.01481247671155779,0.17026819125433082,475
2020-05-31,roe,-0.029877160481448204,0.01247059098422852,476
2020-06-30,roe,-0.009147081110603873,0.06427006948014347,476
2020-07-31,roe,-0.009053521654165645,0.04935351625850833,476
2020-08-31,roe,0.140964681171856,0.10218383131647886,478
2020-09-30,roe,-0.012462135129809886,-0.06036124020390119,478
2020-10-31,roe,-0.1886346653856016,-0.2454404100018957,478
2020-11-30,roe,-0.03745386095949339,-0.0847410102342927,479
2020-12-31,roe,0.009509014397462705,-0.07656104130934731,479
2021-01-31,roe,-0.17563215223460413,-0.22727071224792358,479
2021-02-28,roe,0.05542544528467306,0.1148726448105895,481
2021-03-31,roe,0.021429534198909375,-0.012188162830903593,481
2021-04-30,roe,-0.09126483550918676,-0.08430729150384418,481
2021-05-31,roe,0.09097023820518828,0.19894680315355978,481
2021-06-30,roe,0.08734872075271717,0.2009281115244648,481
2021-07-31,roe,-0.02356033675776659,0.02205146398352744,481
2021-08-31,roe,-0.09019316596653032,-0.23061934353286231,482
2021-09-30,roe,0.06668637516230866,0.10747572480536098,483
2021-10-31,roe,0.089242412520182,0.1531814413719879,483
2021-11-30,roe,0.05707078309804028,0.004328197446925491,485
2021-12-31,roe,-0.02145687737114078,-0.2196388468922667,486
2022-01-31,roe,-0.04072217177173687,-0.10260924561370142,486
2022-02-28,roe,-0.029512764230865872,-0.0785130071756764,488
2022-03-31,roe,0.0791125576500445,0.043166834495491635,488
2022-04-30,roe,0.04644864603134426,0.014708700691176137,488
2022-05-31,roe,0.0652734780655561,0.01739588900665827,488
2022-06-30,roe,-0.023325386594014914,0.09753438287606217,488
2022-07-31,roe,-0.12582094885629627,-0.11062425784870951,488
2022-08-31,roe,0.008221850488526588,0.05604404659338055,488
2022-09-30,roe,-0.04395203707789922,0.06362948852558287,488
2022-10-31,roe,0.11549999107156086,0.11847532834011103,488
2022-11-30,roe,0.10446867012033564,0.008711911684269885,489
2022-12-31,roe,-0.030689392709203806,-0.02542059081797451,488
2023-01-31,roe,-0.04729562429569684,-0.011919483832836916,489
2023-02-28,roe,0.025447704198841993,0.08486452869578254,489
2023-03-31,roe,0.013733832442532823,-0.07182165241594309,489
2023-04-30,roe,-0.10477033221220244,-0.04400490308454449,490
2023-05-31,roe,0.07349946985540382,0.10355509327417348,490
2023-06-30,roe,0.16437660383151537,0.016576189440425104,490
2023-07-31,roe,0.11272400573413013,0.1368896420937709,490
2023-08-31,roe,-0.012266358421163609,0.03583428553507781,490
2023-09-30,roe,0.0055672234068863125,0.015296205923437934,490
2023-10-31,roe,0.01341284388116826,-0.036117536330095214,490
2023-11-30,roe,-0.0077611176813295706,-0.06509938640047674,490
2023-12-31,roe,0.07581657635621517,0.10163465900388624,490
2024-01-31,roe,-0.015583849342560538,0.1402701898428749,490
2024-02-29,roe,-0.014269066183501515,-0.060588895436679654,490
2024-03-31,roe,0.03022429243355328,-0.0730302975006914,491
2024-04-30,roe,-0.05719722868632827,-0.07031288966749961,491
2024-05-31,roe,0.0958315955254481,0.0880468523486439,491
2024-06-30,roe,-0.043292299772308404,-0.12473748451474245,491
2024-07-31,roe,-0.024746546537778115,-0.03737259457959906,491
2024-08-31,roe,0.03493494003006252,0.03558037207244879,492
2024-09-30,roe,0.03932482552396257,-0.04511075690613866,492
2024-10-31,roe,0.053340644435414565,0.046883326869602976,492
2024-11-30,roe,0.0606658010084113,0.08173077068408,492
2024-12-31,roe,0.025990396613076366,0.010511182697739535,492
