signal_month,n_obs,r_squared_refit,selected_variables,intercept,ma_dev_3,ma_dev_5,ma_dev_10,ma_dev_20,ma_dev_50,ma_dev_100,ma_dev_200,ma_dev_400,ma_dev_600,ma_dev_800,ma_dev_1000
2016-05-31,72,0.0,,0.009792411364720564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-30,73,1.1102230246251565e-16,,0.009670747116438432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31,74,0.0,,0.010021274868288124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-31,75,0.0,,0.009871401298057352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-30,76,0.0,,0.009725271660723473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-31,77,-2.220446049250313e-16,,0.009346687887090255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-30,78,-2.220446049250313e-16,,0.009664993450451853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-31,79,0.0,,0.009773041159203933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-31,80,0.0,,0.009874432622193662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-28,81,1.1102230246251565e-16,,0.010211762590645794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,82,0.0,,0.01008248259398829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-30,83,0.0,,0.010070539535613187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-31,84,0.0,,0.010088464675026469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-30,85,0.0,,0.010026409504823952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-31,86,-2.220446049250313e-16,,0.01013480969664114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-31,87,1.1102230246251565e-16,,0.010024598470471156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-30,88,-2.220446049250313e-16,,0.010130034607876799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-31,89,-2.220446049250313e-16,,0.010265518882688871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-30,90,3.3306690738754696e-16,,0.010463486759620815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-31,91,-2.220446049250313e-16,,0.010456543285276303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-31,92,0.0,,0.010953523294409474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-28,93,0.0,,0.010416954529100046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,94,-2.220446049250313e-16,,0.010020130559635614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-30,95,2.220446049250313e-16,,0.009943274185274903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-31,96,-2.220446049250313e-16,,0.010064785306830203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-30,97,1.1102230246251565e-16,,0.010010946656941312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-31,98,0.0,,0.010276361039757206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-31,99,0.0,,0.01047824841588843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-30,100,0.0,,0.010416408805994166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-31,101,1.1102230246251565e-16,,0.009626114104017031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-30,102,0.0,,0.009706832168240195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-31,103,0.0,,0.008721553266801239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-31,104,0.0,,0.00939427296294571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-28,105,0.0,,0.009587935976097911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,106,2.220446049250313e-16,,0.009666580506979898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-30,107,0.0,,0.00994365450517389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-31,108,2.220446049250313e-16,,0.009242530561914552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-30,109,2.220446049250313e-16,,0.009790123529220294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-31,110,-2.220446049250313e-16,,0.009820469244108824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-31,111,2.220446049250313e-16,,0.009569008915418441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-30,112,-2.220446049250313e-16,,0.0096369747102006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-31,113,0.0,,0.009732503876603108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-30,114,2.220446049250313e-16,,0.009945789261146063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-31,115,-2.220446049250313e-16,,0.010107911258055487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,116,-2.220446049250313e-16,,0.010006738809114934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,117,0.0005539495785223947,ma_dev_3,0.00919136636553834,0.12883233891992407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,118,0.0,,0.008063999456016957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-30,119,0.014198970967243874,ma_dev_3|ma_dev_5,0.010013123133072666,-1.5397178052240799,0.8417476698922036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-31,120,0.013044951073584388,ma_dev_3|ma_dev_5,0.010264695612932202,-1.458423235771435,0.7669044252947895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-30,121,0.012613269165489216,ma_dev_3|ma_dev_5,0.010335229215556907,-1.4200393406934084,0.7338478436425352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,122,0.01807267329298845,ma_dev_3|ma_dev_5,0.010721305294059926,-1.6436308495247274,0.8356058740398825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-31,123,0.018400990388065308,ma_dev_3|ma_dev_5,0.011173249337729832,-1.64273539025899,0.8044963882569425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-30,124,0.009443322256061815,ma_dev_3,0.009932350679134585,-0.5631837284915493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-31,125,0.020480894272878802,ma_dev_3|ma_dev_5,0.010675141405750987,-1.8054424755970018,0.9486672272893885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-30,126,0.03162944062198114,ma_dev_3|ma_dev_5,0.011795920511765553,-2.3141236066218065,1.3732056786966882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-31,127,0.03032296252607214,ma_dev_3|ma_dev_5,0.012011935809561133,-2.266468399733615,1.3467056458094437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-31,128,0.029583127098958828,ma_dev_3|ma_dev_5,0.011812338615254256,-2.2385575053475506,1.3411473032796772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-28,129,0.030414808460495713,ma_dev_3|ma_dev_5,0.011900206375641176,-2.258617833946148,1.366213918250354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,130,0.028528929120520963,ma_dev_3|ma_dev_5,0.012165200884367424,-2.174115848410649,1.3566801924820988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-30,131,0.02789332050690152,ma_dev_3|ma_dev_5,0.012476385151439935,-2.162388840038378,1.3399630470047916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-31,132,0.027953871549624143,ma_dev_3|ma_dev_5,0.012445055749228016,-2.164909619346237,1.3405737067252455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-30,133,0.028053204575321122,ma_dev_3|ma_dev_5,0.012522656975891206,-2.1694633382267754,1.342573067858963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-31,134,0.028003660577243572,ma_dev_3|ma_dev_5,0.012609664751044252,-2.1688764014913424,1.340439831000092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
