name,n_months,avg_monthly_return,monthly_volatility,annualized_return_approx,annualized_volatility,annualized_sharpe,t_stat,p_value,cumulative_return,max_drawdown,best_month,worst_month,approach,factor,avg_ic,avg_rank_ic,ic_t,rank_ic_t
portfolio_sort_hzz_trend_improvement,186,0.0007540621501040353,0.035594038575857655,0.009048745801248424,0.12330136651990403,0.07338723046340058,0.2889258152603678,0.7729616471766094,0.02461756941720772,-0.4474171399969087,0.1734974155479171,-0.13372656543157024,portfolio_sort,hzz_trend_improvement,-0.003348630147607732,-0.0004197568994356782,-0.3009703813231823,-0.037339132433163794
portfolio_sort_momentum,227,0.0011398369431194252,0.0498628565748919,0.013678043317433101,0.17273000199646524,0.07918742059479053,0.34441218048093314,0.7308565948922782,-0.036377972001543246,-0.6158230745928155,0.1433415443324184,-0.29389749017754163,portfolio_sort,momentum,0.020878472632518193,0.004242830864674331,1.5717802940240482,0.31962924508498575
portfolio_sort_pe,239,0.0017677927249285714,0.02985823128317323,0.02121351269914286,0.10343194721319701,0.20509632923584944,0.9153058013390374,0.3609575451829663,0.37288835505974416,-0.3695983716769181,0.11424751803163702,-0.1017251841997937,portfolio_sort,pe,-0.008382155608249382,0.011846985587440946,-1.2457489167434384,1.2540044591576838
portfolio_sort_roe,239,-0.0014329780861566848,0.024044751287634235,-0.017195737033880217,0.08329346177107935,-0.20644762107667392,-0.9213363591058049,0.3578078129435337,-0.33815287770556524,-0.41868481692740445,0.0672128200075022,-0.11533710390173202,portfolio_sort,roe,-0.0015773424467444518,0.0037959667514765993,-0.32800727545827896,0.5911054469182245
portfolio_sort_trend,192,0.0007181270331635857,0.03749411155547714,0.008617524397963029,0.1298834123974835,0.0663481520765002,0.26539260830600087,0.7909932492749447,0.002359372435093876,-0.3826159009027701,0.15745931072655284,-0.20361437021467346,portfolio_sort,trend,-0.001663180666973362,0.001703708962840076,-0.15204130166995125,0.15350822993787222
cross_sectional_regression_hzz_trend_improvement,186,0.00010926394703420912,0.013119468502611984,0.0013111673644105094,0.04544717202964707,0.028850361988534304,0.1135839887329051,0.909690746954124,0.004493831503165513,-0.19126609144638906,0.0641923811571081,-0.05364587643865345,cross_sectional_regression,hzz_trend_improvement,-0.003348630147607732,-0.0004197568994356782,-0.3009703813231823,-0.037339132433163794
cross_sectional_regression_momentum,227,0.0010643492417809271,0.01855183763520293,0.012772190901371126,0.06426545071587984,0.19874117055270482,0.8643908260587175,0.38828974639003455,0.22393922160712787,-0.2637484880372587,0.06498522714055507,-0.11165174314143404,cross_sectional_regression,momentum,0.020878472632518193,0.004242830864674331,1.5717802940240482,0.31962924508498575
cross_sectional_regression_pe,239,-0.0005326770852909584,0.007679873854881312,-0.006392125023491501,0.026603863424748565,-0.24027055474751643,-1.0722816613575445,0.2846796125867382,-0.12572626847745116,-0.16867062901766483,0.026276338123551832,-0.020127602762105568,cross_sectional_regression,pe,-0.008382155608249382,0.011846985587440946,-1.2457489167434384,1.2540044591576838
cross_sectional_regression_roe,239,-0.0003753375858148484,0.006325781317213598,-0.004504051029778181,0.021913149277967857,-0.2055410188943809,-0.9172903664737028,0.35991908927932403,-0.09018705053184795,-0.13833373681212724,0.01428125194716958,-0.04134715092033815,cross_sectional_regression,roe,-0.0015773424467444518,0.0037959667514765993,-0.32800727545827896,0.5911054469182245
cross_sectional_regression_trend,192,-6.771732687381358e-05,0.013287317386142085,-0.000812607922485763,0.04602861761818276,-0.0176544064222506,-0.0706176256890024,0.943775966126399,-0.029455482634101804,-0.1816608662008291,0.05747633547388865,-0.07675929269417628,cross_sectional_regression,trend,-0.001663180666973362,0.001703708962840076,-0.15204130166995125,0.15350822993787222
