month,factor,portfolio_fmp_return,top_return,bottom_return,n_top,n_bottom
2006-06-30,roe,-0.01795759736297791,-0.020326016905054044,-0.002368419542076136,76,76
2006-07-31,roe,-0.025855599685228145,0.013727934837875266,0.03958353452310341,76,76
2006-08-31,roe,0.013392771436526743,0.033394911867815236,0.020002140431288493,76,77
2006-09-30,roe,0.0011622776919932715,0.052523377499117126,0.051361099807123854,77,77
2006-10-31,roe,-0.023599702584735115,0.028873393637231827,0.05247309622196694,77,77
2006-11-30,roe,0.0005507306624205517,0.0037669748185506797,0.003216244156130128,77,78
2006-12-31,roe,0.015078341726106954,0.04734376268793049,0.032265420961823534,77,78
2007-01-31,roe,-0.02390063089004781,-0.012393492301097462,0.011507138588950347,77,78
2007-02-28,roe,0.007945295532115149,0.01257370508118643,0.0046284095490712815,78,78
2007-03-31,roe,0.019702386205973373,0.058093474197506406,0.038391087991533034,78,78
2007-04-30,roe,0.003378289386881575,0.045245285555997286,0.04186699616911571,78,78
2007-05-31,roe,-0.004984134290855069,-0.014096555546293982,-0.009112421255438914,78,78
2007-06-30,roe,0.02665302695571449,-0.012953042178105542,-0.03960606913382003,78,78
2007-07-31,roe,-0.008265900628064506,0.016315696273055538,0.024581596901120044,78,78
2007-08-31,roe,0.0160094143002489,0.046464694667552014,0.030455280367303113,78,79
2007-09-30,roe,-0.004634307535906677,0.024569286173289746,0.029203593709196424,78,79
2007-10-31,roe,0.02529166221803636,-0.03979736340995288,-0.06508902562798924,78,79
2007-11-30,roe,0.024803635697997862,0.002823218368707242,-0.02198041732929062,79,79
2007-12-31,roe,-0.018388458058877212,-0.06254885460192701,-0.0441603965430498,79,79
2008-01-31,roe,-0.0074181232542052875,-0.027099633112065837,-0.01968150985786055,79,79
2008-02-29,roe,0.03063798264638324,0.013061600623114277,-0.01757638202326896,79,79
2008-03-31,roe,-0.015792566324265844,0.05981610710190932,0.07560867342617517,79,80
2008-04-30,roe,0.001774625350165853,0.03203833153493668,0.03026370618477083,80,80
2008-05-31,roe,0.037214516309392265,-0.08342865029780575,-0.12064316660719801,80,80
2008-06-30,roe,-0.050817019669257404,-0.01860221994385407,0.03221479972540333,80,80
2008-07-31,roe,-0.005790196622091653,0.02303384017035958,0.028824036792451234,79,80
2008-08-31,roe,-0.029840173166113426,-0.10010193594480081,-0.07026176277868738,80,81
2008-09-30,roe,0.033201911948448765,-0.19485888245113933,-0.2280607943995881,81,81
2008-10-31,roe,0.046796590122555284,-0.08406876610402621,-0.1308653562265815,79,80
2008-11-30,roe,-0.030712888338860378,0.040085605229039575,0.07079849356789995,78,78
2008-12-31,roe,0.06073982492250943,-0.0618340180080441,-0.12257384293055353,78,78
2009-01-31,roe,0.034266461029162615,-0.07986324679046274,-0.11412970781962535,77,78
2009-02-28,roe,0.009501817680512697,0.11231874619352071,0.10281692851300801,76,76
2009-03-31,roe,-0.07013426141015244,0.13450599278101683,0.20464025419116927,77,77
2009-04-30,roe,-0.014931439280095861,0.04191474371002203,0.05684618299011789,79,79
2009-05-31,roe,0.03004155557740955,0.01611802168651661,-0.013923533890892936,80,80
2009-06-30,roe,-0.06090418389606121,0.06807947986652378,0.128983663762585,80,80
2009-07-31,roe,-0.09864125625371958,0.029315114828234713,0.1279563710819543,81,81
2009-08-31,roe,-0.004890361473262564,0.048315115715535976,0.05320547718879854,81,81
2009-09-30,roe,0.053549401877509895,-0.014654879501000518,-0.06820428137851041,81,81
2009-10-31,roe,0.013912208916305846,0.06831379408738246,0.054401585171076614,80,81
2009-11-30,roe,-0.017659868596102815,0.044945338838156254,0.06260520743425907,81,81
2009-12-31,roe,0.005045887071972111,-0.018387024816085954,-0.023432911888058065,81,81
2010-01-31,roe,-0.002672440448475491,0.04045304832145786,0.04312548876993335,81,81
2010-02-28,roe,-0.019129840790294284,0.06974738648876944,0.08887722727906372,81,81
2010-03-31,roe,-0.018664771564935505,0.03009299014173722,0.048757761706672724,81,82
2010-04-30,roe,0.02374260561568281,-0.06117535383066475,-0.08491795944634756,81,81
2010-05-31,roe,0.050672466403149,-0.038549014396876816,-0.08922148080002582,81,81
2010-06-30,roe,-0.03127238366660298,0.05711541602074832,0.0883877996873513,81,82
2010-07-31,roe,0.04053739514931472,-0.024837695788883205,-0.06537509093819792,81,82
2010-08-31,roe,0.00775807289814856,0.11243309441931754,0.10467502152116898,82,82
2010-09-30,roe,0.012790764323213022,0.04746164862226522,0.0346708842990522,82,82
2010-10-31,roe,0.020440261758619054,0.014358333818596728,-0.006081927940022327,82,82
2010-11-30,roe,-0.05209918497872319,0.05155339138465469,0.10365257636337788,82,82
2010-12-31,roe,-0.0009589038400033556,0.023797417016900118,0.024756320856903474,82,82
2011-01-31,roe,0.0006678663100950014,0.04395744079741241,0.043289574487317406,82,82
2011-02-28,roe,0.017208301820887797,0.026785623455703917,0.009577321634816121,82,82
2011-03-31,roe,-0.002292587300514029,0.034127254229589,0.03641984153010303,83,83
2011-04-30,roe,0.007080328037502413,0.0048729947889660785,-0.002207333248536334,83,83
2011-05-31,roe,0.024046552299840783,-0.007595356040602963,-0.031641908340443746,84,84
2011-06-30,roe,-0.009056923467555242,-0.034094904655768574,-0.02503798118821333,84,84
2011-07-31,roe,0.04269136113538244,-0.04097683483656751,-0.08366819597194995,84,84
2011-08-31,roe,0.018115497717344567,-0.07213628878398218,-0.09025178650132674,84,84
2011-09-30,roe,-0.031649995199449776,0.11080854251907116,0.14245853771852093,83,84
2011-10-31,roe,0.009485475391164911,0.0005565516956630144,-0.008928923695501897,84,84
2011-11-30,roe,-0.016137409740897637,-0.0018239083667073018,0.014313501374190336,84,85
2011-12-31,roe,0.007646785152691099,0.09508567927546718,0.08743889412277608,84,85
2012-01-31,roe,-0.005546404846018593,0.03840139530198726,0.04394780014800585,84,85
2012-02-29,roe,0.0030310175241510737,0.03772437888320727,0.03469336135905619,85,85
2012-03-31,roe,0.01127918222124205,0.00975907611175397,-0.0015201061094880796,85,85
2012-04-30,roe,-0.004578669475515468,-0.05597174256426666,-0.05139307308875119,85,85
2012-05-31,roe,-0.02720289249635988,0.026788345032858502,0.05399123752921838,85,85
2012-06-30,roe,0.0016240583648545926,-0.003304562170571366,-0.004928620535425959,85,85
2012-07-31,roe,-0.009134442140368505,0.025206865227152948,0.03434130736752145,85,85
2012-08-31,roe,-0.016686371404351915,0.019326283084417698,0.03601265448876961,85,86
2012-09-30,roe,-0.010633996104797736,-0.011449284221397401,-0.0008152881165996647,86,86
2012-10-31,roe,0.010567366129471529,0.028112394261361938,0.01754502813189041,86,86
2012-11-30,roe,-0.024259030790339565,0.013982020926306538,0.0382410517166461,86,86
2012-12-31,roe,-0.02603691863110224,0.05859746393262966,0.0846343825637319,86,86
2013-01-31,roe,-0.008684929113800078,0.009617969072373386,0.018302898186173464,86,86
2013-02-28,roe,-0.010926238870311127,0.04395786358940867,0.054884102459719794,86,86
2013-03-31,roe,-0.015898412950530384,0.025233137373019285,0.04113155032354967,87,87
2013-04-30,roe,-0.01041193151260969,0.025575387858251565,0.035987319370861255,87,87
2013-05-31,roe,-0.0019742099841086186,-0.008075747888090718,-0.0061015379039821,87,87
2013-06-30,roe,-0.008834595658850163,0.056344451546355014,0.06517904720520518,87,87
2013-07-31,roe,-0.015181655027105268,-0.023539630518152665,-0.008357975491047397,87,87
2013-08-31,roe,-0.003603271835322386,0.05230167189486392,0.055904943730186306,87,87
2013-09-30,roe,-0.00652693930391645,0.038060561583037986,0.044587500886954436,87,87
2013-10-31,roe,0.028952169001482383,0.03469396082506435,0.00574179182358197,87,87
2013-11-30,roe,-0.014692399118491354,0.024138623461756364,0.03883102258024772,87,88
2013-12-31,roe,-0.03762790569191387,-0.031140995061842737,0.006486910630071133,87,88
2014-01-31,roe,0.0047304857090176775,0.06376094944106124,0.05903046373204356,87,88
2014-02-28,roe,0.001360955924238458,-0.001744762926207287,-0.003105718850445745,88,88
2014-03-31,roe,0.010192419721824341,-0.004314267721474276,-0.014506687443298617,88,88
2014-04-30,roe,-0.001114442375383034,0.026383643010345417,0.02749808538572845,88,88
2014-05-31,roe,-0.025273509224550628,0.015294866876732692,0.04056837610128332,88,88
2014-06-30,roe,-0.016487906216866854,-0.02746310961155066,-0.010975203394683804,88,88
2014-07-31,roe,0.013678819826523518,0.054832998029955116,0.0411541782034316,88,88
2014-08-31,roe,0.00687331956966708,-0.01798641465106354,-0.02485973422073062,88,89
2014-09-30,roe,-0.0012066127238301375,0.050092034473168616,0.05129864719699875,89,89
2014-10-31,roe,0.017579256908863736,0.04433973468607032,0.02676047777720658,89,89
2014-11-30,roe,-0.004432561223548555,0.002148280073804079,0.006580841297352634,89,89
2014-12-31,roe,-0.008951388997460383,-0.015037237607020658,-0.006085848609560276,89,89
2015-01-31,roe,0.014695102465698065,0.0700247759803978,0.05532967351469974,89,89
2015-02-28,roe,0.005151105228229927,0.00044861687083550764,-0.004702488357394419,89,89
2015-03-31,roe,-0.013093348922361059,0.0016877934368403822,0.01478114235920144,89,90
2015-04-30,roe,-0.0019829319536952706,0.015077131144964515,0.017060063098659786,89,90
2015-05-31,roe,0.0029173813082383794,-0.01388281638990322,-0.0168001976981416,90,90
2015-06-30,roe,0.00713051894878745,0.02792514526389831,0.02079462631511086,90,90
2015-07-31,roe,0.004373756247861127,-0.0493862075968161,-0.053759963844677225,90,90
2015-08-31,roe,0.02411211402776651,-0.012843279341310625,-0.03695539336907713,90,90
2015-09-30,roe,0.0018998920159453286,0.07761220668040514,0.07571231466445981,90,90
2015-10-31,roe,-0.011205251688461412,0.0034149735798814627,0.014620225268342875,90,90
2015-11-30,roe,0.013679781685099892,-0.017381807318242497,-0.03106158900334239,90,90
2015-12-31,roe,0.02813211886475426,-0.04697452448777651,-0.07510664335253077,90,90
2016-01-31,roe,0.01678947798890999,0.01963473681966618,0.0028452588307561885,90,90
2016-02-29,roe,-0.03079814071413485,0.06920595833337446,0.10000409904750932,90,90
2016-03-31,roe,-0.04672715175729168,-0.006742413573778493,0.03998473818351319,90,91
2016-04-30,roe,-0.007491573385936878,0.017538473520621083,0.02503004690655796,91,91
2016-05-31,roe,-0.0027871912690851826,0.008825745283347492,0.011612936552432675,91,91
2016-06-30,roe,-0.01944441409442149,0.03518412209792176,0.05462853619234325,91,91
2016-07-31,roe,-0.004639600671846916,0.008376136163893513,0.013015736835740428,91,91
2016-08-31,roe,-0.019515443435885793,-0.0020127541700612037,0.01750268926582459,91,91
2016-09-30,roe,0.006212110067745056,-0.024248551796973904,-0.03046066186471896,91,92
2016-10-31,roe,0.018675820615216547,0.05806592652784996,0.039390105912633415,91,92
2016-11-30,roe,0.009986708017317342,0.016111819205129486,0.006125111187812144,91,92
2016-12-31,roe,-0.03102303309881487,0.028184690708484096,0.05920772380729897,92,92
2017-01-31,roe,0.02214076188884809,0.04819233503730978,0.026051573148461692,92,92
2017-02-28,roe,-0.012926139352479953,-0.0001223550174860407,0.012803784334993911,92,92
2017-03-31,roe,-0.006545174848988248,0.003858616056469955,0.010403790905458203,92,92
2017-04-30,roe,-0.00571935619940319,0.01942698342632475,0.025146339625727942,92,92
2017-05-31,roe,-0.006178793284466527,0.0012254940554590548,0.0074042873399255815,92,92
2017-06-30,roe,-0.02581740108295584,0.012230689488620827,0.03804809057157667,92,92
2017-07-31,roe,0.004168032804809352,0.006718697028941974,0.0025506642241326215,92,92
2017-08-31,roe,0.029161685620441004,0.045446532375311835,0.01628484675487083,92,92
2017-09-30,roe,-0.003979212236179419,0.021307504395768544,0.025286716631947963,92,92
2017-10-31,roe,0.021232751789838755,0.04569872422843748,0.024465972438598726,92,92
2017-11-30,roe,0.016746220123415152,0.020290358469508538,0.003544138346093386,92,92
2017-12-31,roe,0.00312676112932226,0.06138609769826687,0.05825933656894461,92,92
2018-01-31,roe,0.010909641701619545,-0.025436395614619883,-0.03634603731623943,92,92
2018-02-28,roe,-0.014674208657948898,-0.007033687307311264,0.007640521350637634,93,93
2018-03-31,roe,-0.014178351730706947,-0.009593559277347185,0.004584792453359762,93,93
2018-04-30,roe,-0.0009591793167385149,0.03479661029115079,0.035755789607889304,93,93
2018-05-31,roe,-0.015315811912334424,0.006177265400830653,0.021493077313165077,93,93
2018-06-30,roe,0.008802393557740703,0.035265813443650484,0.02646341988590978,93,93
2018-07-31,roe,-0.0008813880834336318,0.04369092720297787,0.0445723152864115,93,93
2018-08-31,roe,0.002730421508327515,0.0020459443458055375,-0.0006844771625219773,93,93
2018-09-30,roe,-0.014395184496683838,-0.07973906268635139,-0.06534387818966755,93,93
2018-10-31,roe,0.021432175143720925,0.03823335108537065,0.01680117594164972,93,93
2018-11-30,roe,-0.01227784607532463,-0.08676778677042754,-0.07448994069510291,93,93
2018-12-31,roe,-0.004687723142151615,0.09575431878483981,0.10044204192699142,93,94
2019-01-31,roe,0.0032415164446259748,0.05165630751782541,0.04841479107319944,93,94
2019-02-28,roe,0.006666853248745146,0.019686280217584628,0.013019426968839481,93,94
2019-03-31,roe,0.018295055481897377,0.04184614471331885,0.023551089231421473,94,94
