month,factor,regression_fmp_return,regression_t_stat,regression_r2,n_obs
2006-06-30,roe,-0.004140157841435604,-0.924998122895858,0.0022764632969536347,377
2006-07-31,roe,-0.005794455468478919,-1.5542809768653483,0.006400869871326154,377
2006-08-31,roe,0.005859852547127356,1.5681934717776695,0.0064469032771725665,381
2006-09-30,roe,0.0005089782809899659,0.13814181520003438,5.021632321200453e-05,382
2006-10-31,roe,-0.00901015564237109,-2.8185631272189555,0.020425284908104024,383
2006-11-30,roe,0.004106592934899659,1.5112470920315835,0.0059124078526494594,386
2006-12-31,roe,0.004947937945793648,1.4690864022342682,0.005588939388554981,386
2007-01-31,roe,-0.004362944629806902,-1.4542018195664677,0.005476877508087674,386
2007-02-28,roe,0.004497938579734077,1.6307423035519937,0.0068599420167025915,387
2007-03-31,roe,-0.00029073398789817965,-0.08898255651599447,2.0565539034733682e-05,387
2007-04-30,roe,0.005331872698480304,1.7302588500944671,0.00771609165300946,387
2007-05-31,roe,-0.0020501726686550648,-0.6084363797898873,0.000958135055982634,388
2007-06-30,roe,0.003248466595989938,0.8902589965681594,0.0020490597822138135,388
2007-07-31,roe,-0.004442121949719582,-1.2530886234936731,0.0040410483682470355,389
2007-08-31,roe,0.0031491666858660134,0.8497542320822805,0.0018528132939344966,391
2007-09-30,roe,0.003735863970146461,0.8080845633178186,0.0016758517459484201,391
2007-10-31,roe,0.013655041081690404,3.3116806078777286,0.027420317637356084,391
2007-11-30,roe,0.004603003584068022,1.1999315848707868,0.0036689338772263325,393
2007-12-31,roe,-0.0034703852115377694,-0.6720535384777191,0.0011537975423157043,393
2008-01-31,roe,0.0003689803385464208,0.0821018864254426,1.7239395265211677e-05,393
2008-02-29,roe,0.012924452296707866,3.093055779328363,0.02382415436451235,394
2008-03-31,roe,-0.01163812707752875,-2.4305804038370002,0.014772710772559039,396
2008-04-30,roe,-0.0018063240799354868,-0.44938601267044964,0.0005097092265975434,398
2008-05-31,roe,0.013138501182988479,2.964934505665073,0.021663467553983184,399
2008-06-30,roe,-0.006323996205378835,-1.0287029866256368,0.0026651754205750944,398
2008-07-31,roe,-0.006144950860423673,-1.5059534021487677,0.005723137489416441,396
2008-08-31,roe,-0.008888980291447825,-1.4304406249800858,0.005102057029162332,401
2008-09-30,roe,0.009254629413352861,1.3106667863092394,0.004276253683391795,402
2008-10-31,roe,0.011800825697496131,1.5597967884025663,0.006137143551733337,396
2008-11-30,roe,-0.006928154230169089,-0.845656760701532,0.001854050544992103,387
2008-12-31,roe,0.008987284924129642,1.190328984512342,0.0036384737100310094,390
2009-01-31,roe,0.012224158290741291,1.702677107361379,0.0074931920544828445,386
2009-02-28,roe,0.005007033449570542,0.802404096777941,0.0017094460205188122,378
2009-03-31,roe,-0.017056601007543682,-1.4677972518723934,0.0056375868245820415,382
2009-04-30,roe,-0.001417279421283555,-0.23418691957741825,0.0001398873504780962,394
2009-05-31,roe,0.00227514149528481,0.5108531168884561,0.0006602496230166954,397
2009-06-30,roe,-0.008850877526930158,-1.729905426364984,0.007519167413684191,397
2009-07-31,roe,-0.04134715092033815,-5.462063563958603,0.06940848972441627,402
2009-08-31,roe,-0.0032765266001895743,-0.7305618539777543,0.0013259028874949008,404
2009-09-30,roe,0.005155842165842893,1.3448869777568677,0.004490272649823601,403
2009-10-31,roe,0.0007340328967271035,0.2102000596990375,0.00011072474393047926,401
2009-11-30,roe,-0.00916682312481132,-2.3174914264846183,0.013183976252929996,404
2009-12-31,roe,0.004165279724141822,1.0434476816743623,0.002701099882051805,404
2010-01-31,roe,-0.004248762974826155,-1.3884535803336024,0.004760856944910685,405
2010-02-28,roe,-0.0036071002460656273,-1.0425308427804434,0.002689695304000428,405
2010-03-31,roe,0.0007949172392551568,0.19136950839820605,9.064101302758143e-05,406
2010-04-30,roe,0.0024279806251965553,0.7821890833191897,0.001515861855642342,405
2010-05-31,roe,0.008983598414790099,2.9643262353126416,0.02133924849669644,405
2010-06-30,roe,-0.001315199248295593,-0.37202027990910663,0.00034245468625515585,406
2010-07-31,roe,0.010177388270022665,2.8728215491683486,0.020019506415421384,406
2010-08-31,roe,0.0011518419285848876,0.32822957540216924,0.00026594074847940963,407
2010-09-30,roe,0.004645333614383138,1.464146248264409,0.005265276384470607,407
2010-10-31,roe,-0.0007396623215382882,-0.23989570111749386,0.00014207844643820966,407
2010-11-30,roe,-0.015408503042812056,-4.545358787419737,0.04831004224205848,409
2010-12-31,roe,-0.0014315048633395991,-0.40896753308656697,0.00041077577161185985,409
2011-01-31,roe,-0.0025189338766942637,-0.8337446706952147,0.001705024476531647,409
2011-02-28,roe,-0.00038122132161655045,-0.13396463310058965,4.409270666105858e-05,409
2011-03-31,roe,-0.003419498778985866,-1.2421749649366152,0.0037221679019172615,415
2011-04-30,roe,0.0025735538118616943,0.953203264170493,0.002195162097598069,415
2011-05-31,roe,0.009222015026190463,3.8669953011234384,0.03477968512753571,417
2011-06-30,roe,0.0038293100183792637,1.274851353962978,0.003900978134195654,417
2011-07-31,roe,0.01428125194716958,3.739501926614892,0.032521858337690834,418
