strategy,strategy_notes,signal_month,ticker,GICS Sector,score,allocated_cash,realized_stock_return
improved_5_regime_filtered_stop_take_top10,Improved 5: improved 4 plus a pre-specified ^GSPC 10-month SMA regime filter. No regime-window optimization is performed.,2016-05-31,LII,Industrials,2.0821024244431237,100000.0,0.0453327786490509
improved_5_regime_filtered_stop_take_top10,Improved 5: improved 4 plus a pre-specified ^GSPC 10-month SMA regime filter. No regime-window optimization is performed.,2016-05-31,CLX,Consumer Staples,2.057346366040046,100000.0,0.075792910447614
improved_5_regime_filtered_stop_take_top10,Improved 5: improved 4 plus a pre-specified ^GSPC 10-month SMA regime filter. No regime-window optimization is performed.,2016-05-31,KMB,Consumer Staples,1.9826065217297961,100000.0,0.0912246585897804
improved_5_regime_filtered_stop_take_top10,Improved 5: improved 4 plus a pre-specified ^GSPC 10-month SMA regime filter. No regime-window optimization is performed.,2016-05-31,CL,Consumer Staples,1.8066126892451186,100000.0,0.0397727272725536
improved_5_regime_filtered_stop_take_top10,Improved 5: improved 4 plus a pre-specified ^GSPC 10-month SMA regime filter. No regime-window optimization is performed.,2016-05-31,MO,Consumer Staples,1.3328920923822505,100000.0,0.0923508272389472
improved_5_regime_filtered_stop_take_top10,Improved 5: improved 4 plus a pre-specified ^GSPC 10-month SMA regime filter. No regime-window optimization is performed.,2016-05-31,SPGI,Financials,1.3043089449689804,100000.0,-0.05
improved_5_regime_filtered_stop_take_top10,Improved 5: improved 4 plus a pre-specified ^GSPC 10-month SMA regime filter. No regime-window optimization is performed.,2016-05-31,UPS,Industrials,1.2134034328595737,100000.0,0.0450135816830259
improved_5_regime_filtered_stop_take_top10,Improved 5: improved 4 plus a pre-specified ^GSPC 10-month SMA regime filter. No regime-window optimization is performed.,2016-05-31,MSI,Information Technology,1.1536305852727442,100000.0,-0.05
improved_5_regime_filtered_stop_take_top10,Improved 5: improved 4 plus a pre-specified ^GSPC 10-month SMA regime filter. No regime-window optimization is performed.,2016-05-31,KLAC,Information Technology,1.1241473434023006,100000.0,0.0057668543177302
improved_5_regime_filtered_stop_take_top10,Improved 5: improved 4 plus a pre-specified ^GSPC 10-month SMA regime filter. No regime-window optimization is performed.,2016-05-31,LMT,Industrials,1.0285110875107657,100000.0,0.0519243811464309
improved_5_regime_filtered_stop_take_top10,Improved 5: improved 4 plus a pre-specified ^GSPC 10-month SMA regime filter. No regime-window optimization is performed.,2016-06-30,CHTR,Communication Services,1.715673314595112,100000.0,0.0270683925135559
improved_5_regime_filtered_stop_take_top10,Improved 5: improved 4 plus a pre-specified ^GSPC 10-month SMA regime filter. No regime-window optimization is performed.,2016-06-30,KMB,Consumer Staples,1.65131525207673,100000.0,-0.05
improved_5_regime_filtered_stop_take_top10,Improved 5: improved 4 plus a pre-specified ^GSPC 10-month SMA regime filter. No regime-window optimization is performed.,2016-06-30,LII,Industrials,1.6461817516577175,100000.0,0.1001192731359164
improved_5_regime_filtered_stop_take_top10,Improved 5: improved 4 plus a pre-specified ^GSPC 10-month SMA regime filter. No regime-window optimization is performed.,2016-06-30,CLX,Consumer Staples,1.6234068786440137,100000.0,-0.05
improved_5_regime_filtered_stop_take_top10,Improved 5: improved 4 plus a pre-specified ^GSPC 10-month SMA regime filter. No regime-window optimization is performed.,2016-06-30,CL,Consumer Staples,1.3641665852237823,100000.0,0.0228521003238026
improved_5_regime_filtered_stop_take_top10,Improved 5: improved 4 plus a pre-specified ^GSPC 10-month SMA regime filter. No regime-window optimization is performed.,2016-06-30,MO,Consumer Staples,0.923162900747079,100000.0,-0.022806004618098
improved_5_regime_filtered_stop_take_top10,Improved 5: improved 4 plus a pre-specified ^GSPC 10-month SMA regime filter. No regime-window optimization is performed.,2016-06-30,SPGI,Financials,0.7623908251912159,100000.0,0.1408832041828434
improved_5_regime_filtered_stop_take_top10,Improved 5: improved 4 plus a pre-specified ^GSPC 10-month SMA regime filter. No regime-window optimization is performed.,2016-06-30,UPS,Industrials,0.7441542018035625,100000.0,0.0046468401487722
improved_5_regime_filtered_stop_take_top10,Improved 5: improved 4 plus a pre-specified ^GSPC 10-month SMA regime filter. No regime-window optimization is performed.,2016-06-30,KLAC,Information Technology,0.6436873129832706,100000.0,0.0371232876708931
