month,index_close,sma_10m,regime_on,n_positions,portfolio_return,invested
2006-06-30,1270.199951171875,,False,0,0.0,False
2006-07-31,1276.6600341796875,,False,0,0.0,False
2006-08-31,1303.8199462890625,,False,0,0.0,False
2006-09-30,1335.8499755859375,,False,0,0.0,False
2006-10-31,1377.93994140625,,False,0,0.0,False
2006-11-30,1400.6300048828125,,False,0,0.0,False
2006-12-31,1418.300048828125,,False,0,0.0,False
2007-01-31,1438.239990234375,,False,0,0.0,False
2007-02-28,1406.8199462890625,,False,0,0.0,False
2007-03-31,1420.8599853515625,1364.931982421875,True,0,0.0,False
2007-04-30,1482.3699951171875,1386.1489868164062,True,0,0.0,False
2007-05-31,1530.6199951171875,1411.5449829101562,True,0,0.0,False
2007-06-30,1503.3499755859375,1431.4979858398438,True,0,0.0,False
2007-07-31,1455.27001953125,1443.439990234375,True,0,0.0,False
2007-08-31,1473.989990234375,1453.0449951171877,True,0,0.0,False
2007-09-30,1526.75,1465.6569946289062,True,0,0.0,False
2007-10-31,1549.3800048828125,1478.764990234375,True,0,0.0,False
2007-11-30,1481.1400146484375,1483.0549926757812,False,0,0.0,False
2007-12-31,1468.3599853515625,1489.2089965820312,False,0,0.0,False
2008-01-31,1378.550048828125,1484.9780029296876,False,0,0.0,False
2008-02-29,1330.6300048828125,1469.80400390625,False,0,0.0,False
2008-03-31,1322.699951171875,1449.0119995117188,False,0,0.0,False
2008-04-30,1385.5899658203125,1437.2359985351563,False,0,0.0,False
2008-05-31,1400.3800048828125,1431.7469970703123,False,0,0.0,False
2008-06-30,1280.0,1412.347998046875,False,0,0.0,False
2008-07-31,1267.3800048828125,1386.4109985351563,False,0,0.0,False
2008-08-31,1282.8299560546875,1359.7559936523437,False,0,0.0,False
2008-09-30,1166.3599853515625,1328.2779907226563,False,0,0.0,False
2008-10-31,968.75,1278.3169921875,False,0,0.0,False
2008-11-30,896.239990234375,1230.085986328125,False,0,0.0,False
2008-12-31,903.25,1187.3479858398437,False,0,0.0,False
2009-01-31,825.8800048828125,1137.6659912109376,False,0,0.0,False
2009-02-28,735.0900268554688,1072.6159973144531,False,0,0.0,False
2009-03-31,797.8699951171875,1012.3649963378906,False,0,0.0,False
2009-04-30,872.8099975585938,971.64599609375,False,0,0.0,False
2009-05-31,919.1400146484376,936.8219970703124,False,0,0.0,False
2009-06-30,919.3200073242188,900.4710021972656,True,0,0.0,False
2009-07-31,987.47998046875,882.5830017089844,True,0,0.0,False
2009-08-31,1020.6199951171876,887.7700012207031,True,0,0.0,False
2009-09-30,1057.0799560546875,903.8539978027344,True,0,0.0,False
2009-10-31,1036.18994140625,917.1479919433592,True,0,0.0,False
2009-11-30,1095.6300048828125,944.1229919433594,True,0,0.0,False
2009-12-31,1115.0999755859375,982.1239868164064,True,0,0.0,False
2010-01-31,1073.8699951171875,1009.7239868164064,True,0,0.0,False
2010-02-28,1104.489990234375,1032.8919860839844,True,0,0.0,False
2010-03-31,1169.4300537109375,1057.9209899902344,True,0,0.0,False
2010-04-30,1186.68994140625,1084.6579833984374,True,0,0.0,False
2010-05-31,1089.4100341796875,1094.850988769531,False,0,0.0,False
2010-06-30,1030.7099609375,1095.8599853515625,False,0,0.0,False
2010-07-31,1101.5999755859375,1100.3119873046876,True,0,0.0,False
2010-08-31,1049.3299560546875,1101.6259887695312,False,0,0.0,False
2010-09-30,1141.199951171875,1106.1829833984375,True,0,0.0,False
2010-10-31,1183.260009765625,1112.9989868164062,True,0,0.0,False
2010-11-30,1180.550048828125,1123.6669921875,True,0,0.0,False
2010-12-31,1257.6400146484375,1138.9819946289062,True,0,0.0,False
2011-01-31,1286.1199951171875,1150.6509887695313,True,0,0.0,False
2011-02-28,1327.219970703125,1164.7039916992187,True,0,0.0,False
2011-03-31,1325.8299560546875,1188.3459838867188,True,0,0.0,False
2011-04-30,1363.6099853515625,1221.635986328125,True,0,0.0,False
2011-05-31,1345.199951171875,1245.9959838867187,True,0,0.0,False
2011-06-30,1320.6400146484375,1273.1269897460938,True,0,0.0,False
2011-07-31,1292.280029296875,1288.2349975585937,True,0,0.0,False
2011-08-31,1218.8900146484375,1291.797998046875,False,0,0.0,False
2011-09-30,1131.4200439453125,1286.8849975585938,False,0,0.0,False
2011-10-31,1253.300048828125,1286.4510009765625,False,0,0.0,False
2011-11-30,1246.9599609375,1282.5349975585937,False,0,0.0,False
2011-12-31,1257.5999755859375,1275.572998046875,False,0,0.0,False
2012-01-31,1312.4100341796875,1274.231005859375,True,0,0.0,False
2012-02-29,1365.6800537109375,1274.4380126953124,True,0,0.0,False
2012-03-31,1408.469970703125,1280.7650146484375,True,0,0.0,False
2012-04-30,1397.9100341796875,1288.4920166015625,True,0,0.0,False
2012-05-31,1310.3299560546875,1290.2970092773437,True,0,0.0,False
2012-06-30,1362.1600341796875,1304.6240112304688,True,0,0.0,False
2012-07-31,1379.3199462890625,1329.4140014648438,True,0,0.0,False
2012-08-31,1406.5799560546875,1344.7419921875,True,0,0.0,False
2012-09-30,1440.6700439453125,1364.1130004882812,True,0,0.0,False
2012-10-31,1412.1600341796875,1379.5690063476563,True,0,0.0,False
2012-11-30,1416.1800537109375,1389.9460083007812,True,0,0.0,False
2012-12-31,1426.18994140625,1395.9969970703123,True,0,0.0,False
2013-01-31,1498.1099853515625,1404.9609985351562,True,0,0.0,False
2013-02-28,1514.6800537109375,1416.6380004882812,True,0,0.0,False
2013-03-31,1569.18994140625,1442.5239990234377,True,0,0.0,False
2013-04-30,1597.5699462890625,1466.064990234375,True,0,0.0,False
2013-05-31,1630.739990234375,1491.2069946289062,True,0,0.0,False
2013-06-30,1606.280029296875,1511.177001953125,True,0,0.0,False
2013-07-31,1685.72998046875,1535.6829956054687,True,0,0.0,False
2013-08-31,1632.969970703125,1557.7639892578125,True,0,0.0,False
