date,ticker,size,price,market_value,entry_price
2016-06-02,CL,1777,56.442204383,100297.79718859101,56.1260901048
2016-06-02,CLX,1034,96.6102373997,99894.9854712898,96.7665044401
2016-06-02,KLAC,1610,62.2100816179,100158.231404819,61.963856373300004
2016-06-02,KMB,1103,90.598008351,99929.60321115301,90.5130727182
2016-06-02,LII,815,122.6042192413,99922.4386816595,122.3197340687
2016-06-02,LMT,547,182.4303774171,99789.41644715371,182.6604960448
2016-06-02,MO,3060,32.6492438206,99906.686091036,32.6238595539
2016-06-02,MSI,1687,59.0273022888,99579.0589612056,59.25037058230001
2016-06-02,SPGI,989,100.7607514776,99652.3832113464,100.560051022
2016-06-02,UPS,1421,70.4518917273,100112.13814449329,70.2399549351
2016-06-03,CL,1777,56.5844558082,100550.5779711714,56.1260901048
2016-06-03,CLX,1034,96.6772089884,99964.2340940056,96.7665044401
2016-06-03,KLAC,1610,62.0657426814,99925.845717054,61.963856373300004
2016-06-03,KMB,1103,92.0702259867,101553.45926333009,90.5130727182
2016-06-03,LII,815,122.4975373016,99835.492900804,122.3197340687
2016-06-03,LMT,547,183.2664750977,100246.7618784419,182.6604960448
2016-06-03,MO,3060,33.1518523011,101444.668041366,32.6238595539
2016-06-03,MSI,1687,58.744177147,99101.42684698901,59.25037058230001
2016-06-03,SPGI,989,100.021808891,98921.568993199,100.560051022
2016-06-03,UPS,1421,70.4997484223,100180.1425080883,70.2399549351
2016-06-06,CL,1777,56.7741243752,100887.6190147304,56.1260901048
2016-06-06,CLX,1034,96.2381730178,99510.27090040519,96.7665044401
2016-06-06,KLAC,1610,61.7600837571,99433.734848931,61.963856373300004
2016-06-06,KMB,1103,92.1339277113,101623.7222655639,90.5130727182
2016-06-06,LII,815,122.888704414,100154.29409741,122.3197340687
2016-06-06,LMT,547,183.634664902,100448.161701394,182.6604960448
2016-06-06,MO,3060,33.1010837677,101289.31632916199,32.6238595539
2016-06-06,MSI,1687,59.0015636395,99535.6378598365,59.25037058230001
2016-06-06,SPGI,989,100.5874192659,99480.9576539751,100.560051022
2016-06-06,UPS,1421,70.4929117516,100170.4275990236,70.2399549351
2016-06-07,CL,1777,56.5765529513,100536.5345944601,56.1260901048
2016-06-07,CLX,1034,96.2604968807,99533.35377464381,96.7665044401
2016-06-07,KLAC,1610,61.946875322,99734.46926842,61.963856373300004
2016-06-07,KMB,1103,92.1551616195,101647.14326630851,90.5130727182
2016-06-07,LII,815,123.7866107401,100886.0877531815,122.3197340687
2016-06-07,LMT,547,183.7113711112,100490.1199978264,182.6604960448
2016-06-07,MO,3060,33.0503152343,101133.96461695801,32.6238595539
2016-06-07,MSI,1687,58.4782111047,98652.7421336289,59.25037058230001
2016-06-07,SPGI,989,100.003563395,98903.524197655,100.560051022
2016-06-07,UPS,1421,71.012498726,100908.760689646,70.2399549351
2016-06-08,CL,1777,56.9005700865,101112.3130437105,56.1260901048
2016-06-08,CLX,1034,96.8185934535,100110.425630919,96.7665044401
2016-06-08,KLAC,1610,62.1336668868,100035.203687748,61.963856373300004
2016-06-08,KMB,1103,92.5090600897,102037.4932789391,90.5130727182
2016-06-08,LII,815,125.440180806,102233.74735689,122.3197340687
2016-06-08,LMT,547,184.3863857525,100859.3530066175,182.6604960448
2016-06-08,MO,3060,33.3143116079,101941.793520174,32.6238595539
2016-06-08,MSI,1687,59.2417910326,99940.9014719962,59.25037058230001
2016-06-08,SPGI,989,100.3867188103,99282.4649033867,100.560051022
2016-06-08,UPS,1421,71.5731057247,101705.3832347987,70.2399549351
2016-06-09,CL,1777,57.169267223,101589.787855271,56.1260901048
2016-06-09,CLX,1034,97.4138964646,100725.9689443964,96.7665044401
2016-06-09,KLAC,1610,62.3289489773,100349.607853453,61.963856373300004
2016-06-09,KMB,1103,93.1577212445,102752.9665326835,90.5130727182
2016-06-09,LII,815,125.1734759566,102016.382904629,122.3197340687
2016-06-09,LMT,547,184.6088337593,100981.03206633711,182.6604960448
2016-06-09,MO,3060,33.436156088,102314.63762928,32.6238595539
2016-06-09,MSI,1687,58.8213930947,99231.69015075889,59.25037058230001
2016-06-09,SPGI,989,100.3867188103,99282.4649033867,100.560051022
2016-06-09,UPS,1421,71.7645325048,101977.4006893208,70.2399549351
2016-06-10,CL,1777,56.99540437,101280.83356549,56.1260901048
2016-06-10,CLX,1034,98.0538472014,101387.6780062476,96.7665044401
2016-06-10,KLAC,1610,61.7006500774,99338.046624614,61.963856373300004
2016-06-10,KMB,1103,93.3644374368,102980.97449279041,90.5130727182
2016-06-10,LII,815,122.7109011811,100009.3844625965,122.3197340687
2016-06-10,LMT,547,184.539798171,100943.269599537,182.6604960448
2016-06-10,MO,3060,33.5732311282,102734.087252292,32.6238595539
2016-06-10,MSI,1687,57.8604835226,97610.6357026262,59.25037058230001
2016-06-10,SPGI,989,98.0786635705,96999.7982712245,100.560051022
2016-06-10,UPS,1421,71.4568823226,101540.2297804146,70.2399549351
2016-06-13,CL,1777,56.6397758069,100648.8816088613,56.1260901048
2016-06-13,CLX,1034,97.6148112308,100933.7148126472,96.7665044401
2016-06-13,KLAC,1610,61.5648016666,99119.330683226,61.963856373300004
2016-06-13,KMB,1103,92.8440828839,102407.0234209417,90.5130727182
2016-06-13,LII,815,119.8304888082,97661.848378683,122.3197340687
2016-06-13,LMT,547,182.5224248681,99839.7664028507,182.6604960448
2016-06-13,MO,3060,33.2051592611,101607.787338966,32.6238595539
2016-06-13,MSI,1687,57.6803129778,97306.6879935486,59.25037058230001
2016-06-13,SPGI,989,97.8232266269,96747.1711340041,100.560051022
2016-06-13,UPS,1421,70.8552552996,100685.31778073161,70.2399549351
2016-06-14,CL,1777,56.9716957991,101238.7034350007,56.1260901048
2016-06-14,CLX,1034,98.8128585404,102172.4957307736,96.7665044401
2016-06-14,KLAC,1610,61.6666879747,99283.36763926699,61.963856373300004
2016-06-14,KMB,1103,94.3837621087,104105.28960589609,90.5130727182
2016-06-14,LII,815,120.3905689918,98118.31372831699,122.3197340687
2016-06-14,LMT,547,183.8647835297,100574.03659074589,182.6604960448
2016-06-14,MO,3060,33.4407294842,102328.63222165199,32.6238595539
2016-06-14,MSI,1687,58.0428650798,97918.3133896226,59.25037058230001
2016-06-14,SPGI,989,97.4856849516,96413.3424171324,100.560051022
2016-06-14,UPS,1421,70.916785336,100772.75196245601,70.2399549351
2016-06-15,CL,1777,56.6792900917,100719.0984929509,56.1260901048
2016-06-15,CLX,1034,98.3366161316,101680.06108007439,96.7665044401
2016-06-15,KLAC,1610,61.9044226936,99666.12053669599,61.963856373300004
2016-06-15,KMB,1103,94.12002076,103814.38289828,90.5130727182
2016-06-15,LII,815,120.4439099617,98161.7866187855,122.3197340687
2016-06-15,LMT,547,183.6730180066,100469.1408496102,182.6604960448
2016-06-15,MO,3060,33.4560927596,102375.643844376,32.6238595539
2016-06-15,MSI,1687,58.3018308668,98355.18867229161,59.25037058230001
2016-06-15,SPGI,989,97.6863854072,96611.83516772081,100.560051022
2016-06-15,UPS,1421,71.0261720675,100928.1905079175,70.2399549351
2016-06-16,CL,1777,56.9005700865,101112.3130437105,56.1260901048
2016-06-16,CLX,1034,99.0509797448,102418.7130561232,96.7665044401
2016-06-16,KLAC,1610,61.8025363855,99502.083580655,61.963856373300004
2016-06-16,KMB,1103,94.8399633605,104608.4795866315,90.5130727182
2016-06-16,LII,815,119.9282805863,97741.54867783451,122.3197340687
2016-06-16,LMT,547,183.9951840854,100645.36569471381,182.6604960448
2016-06-16,MO,3060,33.7736004515,103347.21738159,32.6238595539
2016-06-16,MSI,1687,58.5262678823,98733.8139174401,59.25037058230001
2016-06-16,SPGI,989,98.0604180745,96981.75347568051,100.560051022
2016-06-16,UPS,1421,71.2449455304,101239.0675986984,70.2399549351
2016-06-17,CL,1777,56.4580100969,100325.8839421913,56.1260901048
2016-06-17,CLX,1034,98.5003244597,101849.3354913298,96.7665044401
2016-06-17,KLAC,1610,62.0063090017,99830.157492737,61.963856373300004
2016-06-17,KMB,1103,94.3766339642,104097.42726251259,90.5130727182
2016-06-17,LII,815,120.1683149507,97937.1766848205,122.3197340687
2016-06-17,LMT,547,182.2232706521,99676.12904669871,182.6604960448
2016-06-17,MO,3060,33.4919404022,102485.337630732,32.6238595539
2016-06-17,MSI,1687,58.1205548159,98049.3759744233,59.25037058230001
2016-06-17,SPGI,989,97.3762119758,96305.0736440662,100.560051022
2016-06-17,UPS,1421,71.7987158583,102025.9752346443,70.2399549351
2016-06-20,CL,1777,56.6160672361,100606.7514785497,56.1260901048
2016-06-20,CLX,1034,98.4631180215,101810.864034231,96.7665044401
2016-06-20,KLAC,1610,62.5327215935,100677.681765535,61.963856373300004
2016-06-20,KMB,1103,94.718784903,104474.819748009,90.5130727182
2016-06-20,LII,815,123.3865534661,100560.0410748715,122.3197340687
2016-06-20,LMT,547,183.0516977118,100129.2786483546,182.6604960448
2016-06-20,MO,3060,33.7377528088,103237.523594928,32.6238595539
2016-06-20,MSI,1687,59.001038492,99534.751936004,59.25037058230001
2016-06-20,SPGI,989,97.8962086108,96819.3503160812,100.560051022
2016-06-20,UPS,1421,72.5370762957,103075.1854161897,70.2399549351
2016-06-21,CL,1777,56.7425129474,100831.4455075298,56.1260901048
2016-06-21,CLX,1034,99.0435384572,102411.0187647448,96.7665044401
2016-06-21,KLAC,1610,62.7110226327,100964.746438647,61.963856373300004
2016-06-21,KMB,1103,94.832835216,104600.61724324801,90.5130727182
2016-06-21,LII,815,123.3509928195,100531.05914789249,122.3197340687
2016-06-21,LMT,547,182.9826621235,100091.5161815545,182.6604960448
2016-06-21,MO,3060,33.891385563,103707.63982278,32.6238595539
2016-06-21,MSI,1687,58.5349000752,98748.37642686239,59.25037058230001
2016-06-21,SPGI,989,98.370591506,97288.514999434,100.560051022
2016-06-21,UPS,1421,72.9267665265,103628.93523415651,70.2399549351
2016-06-22,CL,1777,57.0981415104,101463.3974639808,56.1260901048
2016-06-22,CLX,1034,99.60163503,102988.09062101999,96.7665044401
2016-06-22,KLAC,1610,63.0846057624,101566.215277464,61.963856373300004
2016-06-22,KMB,1103,94.9183729507,104694.9653646221,90.5130727182
2016-06-22,LII,815,123.1731895866,100386.149513079,122.3197340687
2016-06-22,LMT,547,182.6911785285,99932.0746550895,182.6604960448
2016-06-22,MO,3060,33.8760222875,103660.62819975,32.6238595539
2016-06-22,MSI,1687,58.2068767449,98195.0010686463,59.25037058230001
2016-06-22,SPGI,989,97.7319991471,96656.9471564819,100.560051022
2016-06-22,UPS,1421,72.4345262349,102929.46177979291,70.2399549351
2016-06-23,CL,1777,57.4300615026,102053.21929012019,56.1260901048
2016-06-23,CLX,1034,99.8844039603,103280.47369495021,96.7665044401
2016-06-23,KLAC,1610,63.5515846745,102318.051325945,61.963856373300004
2016-06-23,KMB,1103,95.4886245154,105323.9528404862,90.5130727182
2016-06-23,LII,815,126.0980527677,102769.9130056755,122.3197340687
2016-06-23,LMT,547,184.0949021574,100699.91148009781,182.6604960448
2016-06-23,MO,3060,33.9579597564,103911.35685458401,32.6238595539
2016-06-23,MSI,1687,58.7075439333,99039.6266154771,59.25037058230001
2016-06-23,SPGI,989,100.9158381933,99805.7639731737,100.560051022
2016-06-23,UPS,1421,73.3027834158,104163.25523385179,70.2399549351
2016-06-24,CL,1777,55.7783643987,99118.1535364899,56.1260901048
2016-06-24,CLX,1034,100.3680876567,103780.6026370278,96.7665044401
2016-06-24,KLAC,1610,61.5987637693,99174.009668573,61.963856373300004
2016-06-24,KMB,1103,93.4357188824,103059.59792728719,90.5130727182
2016-06-24,LII,815,124.6934072278,101625.12689065699,122.3197340687
2016-06-24,LMT,547,183.8647835297,100574.03659074589,182.6604960448
2016-06-24,MO,3060,34.3215572745,105023.96525997,32.6238595539
2016-06-24,UPS,1421,71.3816789447,101433.3657804187,70.2399549351
2016-06-27,CL,1777,55.3120958383,98289.5943046591,56.1260901048
2016-06-27,CLX,1034,101.9679644988,105434.8752917592,96.7665044401
2016-06-27,KLAC,1610,60.511976483,97424.28213763,61.963856373300004
2016-06-27,KMB,1103,93.2004901119,102800.14059342569,90.5130727182
2016-06-27,LII,815,121.8218850166,99284.83628852901,122.3197340687
2016-06-27,LMT,547,183.5502880719,100402.0075753293,182.6604960448
2016-06-27,MO,3060,34.7875766288,106449.98448412798,32.6238595539
2016-06-27,UPS,1421,70.9441320189,100811.6115988569,70.2399549351
2016-06-28,CL,1777,56.2130215313,99890.5392611201,56.1260901048
2016-06-28,CLX,1034,101.6926368562,105150.18650931079,96.7665044401
2016-06-28,KLAC,1610,61.1232943315,98408.503873715,61.963856373300004
2016-06-28,KMB,1103,95.1749861548,104978.0097287444,90.5130727182
2016-06-28,LII,815,123.3421026578,100523.813666107,122.3197340687
2016-06-28,LMT,547,184.7929286614,101081.73197778579,182.6604960448
2016-06-28,MO,3060,34.7773344452,106418.643402312,32.6238595539
2016-06-28,UPS,1421,71.5731057247,101705.3832347987,70.2399549351
2016-06-29,CL,1777,56.7899300891,100915.70576833069,56.1260901048
2016-06-29,CLX,1034,100.6136501488,104034.5142538592,96.7665044401
2016-06-29,KLAC,1610,61.1997090626,98531.531590786,61.963856373300004
2016-06-29,KMB,1103,96.0161072128,105905.7662557184,90.5130727182
2016-06-29,LII,815,123.3153492555,100502.0096432325,122.3197340687
2016-06-29,LMT,547,187.2245154941,102411.8099752727,182.6604960448
2016-06-29,MO,3060,34.7363657107,106293.279074742,32.6238595539
2016-06-29,UPS,1421,72.7011563928,103308.3432341688,70.2399549351
2016-06-30,CL,1777,57.8489129213,102797.5182611501,56.1260901048
2016-06-30,CLX,1034,102.9799796175,106481.298924495,96.7665044401
2016-06-30,KLAC,1610,62.1931005665,100130.891912065,61.963856373300004
2016-06-30,KMB,1103,97.9977314003,108091.4977345309,90.5130727182
2016-06-30,LII,815,127.1678391946,103641.78894359901,122.3197340687
2016-06-30,LMT,547,190.3617994517,104127.9043000799,182.6604960448
2016-06-30,MO,3060,35.3150490846,108064.050198876,32.6238595539
2016-06-30,UPS,1421,73.6446169516,104649.0006882236,70.2399549351
2016-07-01,CL,1777,57.6513414974,102446.43384087979,56.1260901048
2016-07-01,CLX,1034,102.0647012381,105534.9010801954,96.7665044401
2016-07-01,KLAC,1610,61.5563111409,99105.660936849,61.963856373300004
2016-07-01,KMB,1103,97.6555804614,107714.10524892421,90.5130727182
2016-07-01,LII,815,127.2570172025,103714.46902003749,122.3197340687
2016-07-01,LMT,547,191.2669327206,104623.0121981682,182.6604960448
2016-07-01,MO,3060,35.3457756355,108158.07344462999,32.6238595539
2016-07-01,UPS,1421,74.0821638775,105270.75486992749,70.2399549351
2016-07-05,CHTR,430,231.77,99661.1,231.67
2016-07-05,CL,1777,57.9121357769,102909.8652755513,56.1260901048
2016-07-05,CLX,1034,103.6124890667,107135.31369496779,96.7665044401
2016-07-05,KLAC,1610,61.2251806396,98572.54082975599,61.963856373300004
2016-07-05,KMB,1103,98.32562605,108453.16553315,90.5130727182
2016-07-05,LII,815,127.2124281986,103678.128981859,122.3197340687
2016-07-05,LMT,547,191.3896626554,104690.1454725038,182.6604960448
2016-07-05,MO,3060,35.6479200519,109082.635358814,32.6238595539
2016-07-05,UPS,1421,74.1436939139,105358.18905165189,70.2399549351
2016-07-06,CHTR,430,232.78,100095.4,231.67
2016-07-06,CL,1777,57.9121357769,102909.8652755513,56.1260901048
2016-07-06,CLX,1034,102.84603644,106342.80167896001,96.7665044401
2016-07-06,KLAC,1610,61.3525385247,98777.587024767,61.963856373300004
2016-07-06,KMB,1103,97.4773768474,107517.5466626822,90.5130727182
2016-07-06,LII,815,129.8342616294,105814.923227961,122.3197340687
2016-07-06,MO,3060,35.7042520618,109255.011309108,32.6238595539
2016-07-06,UPS,1421,73.6446169516,104649.0006882236,70.2399549351
2016-07-07,CHTR,430,234.87,100994.1,231.67
2016-07-07,CL,1777,58.0069700604,103078.3857973308,56.1260901048
2016-07-07,CLX,1034,102.3325875931,105811.8955712654,96.7665044401
2016-07-07,KLAC,1610,61.3355574734,98750.247532174,61.963856373300004
2016-07-07,KMB,1103,95.673956274,105528.37377022201,90.5130727182
2016-07-07,LII,815,128.7552077344,104935.49430353599,122.3197340687
2016-07-07,MO,3060,35.489166206,108596.84859036,32.6238595539
2016-07-07,UPS,1421,73.7334936709,104775.2945063489,70.2399549351
