date,ticker,pnl,pnl_comm,bar_len
2016-06-27,MSI,-6507.752177050611,-6507.752177050611,17
2016-06-27,SPGI,-6577.327963920003,-6577.327963920003,17
2016-07-05,LMT,4476.950231175008,4476.950231175008,22
2016-08-02,CL,6496.389946826599,6496.389946826599,42
2016-08-11,KLAC,-3529.390409321012,-3529.390409321012,49
2016-09-02,CHTR,15914.300000000008,15914.300000000008,43
2016-09-02,MSI,17729.9544980076,17729.9544980076,43
2016-09-15,CLX,-5264.007591721989,-5264.007591721989,73
2016-10-04,TSN,-543.0475989283966,-543.0475989283966,21
2016-10-12,AMAT,-4143.933616039208,-4143.933616039208,6
2016-10-21,KMB,-5596.6876905989,-5596.6876905989,99
2016-11-02,CLX,-4952.197179656406,-4952.197179656406,21
2016-11-02,KLAC,3929.3596529207907,3929.3596529207907,42
2016-11-02,LII,5276.254262802006,5276.254262802006,107
2016-11-02,MO,3450.2061225420002,3450.2061225420002,107
2016-11-02,SPGI,156.34863900720939,156.34863900720939,65
2016-11-02,UPS,4797.980667498896,4797.980667498896,107
2016-11-02,YUM,-4358.099226459004,-4358.099226459004,65
2016-12-13,LMT,-4464.025197474603,-4464.025197474603,7
2016-12-23,SPGI,-5795.8170134689035,-5795.8170134689035,15
2016-12-28,NVDA,37356.851263960794,37356.851263960794,17
2017-01-04,GEN,1599.2662540548038,1599.2662540548038,21
2017-01-04,KMB,1424.1892993746,1424.1892993746,21
2017-01-26,STLD,-6682.180825826095,-6682.180825826095,15
2017-02-01,UPS,-7638.743107449403,-7638.743107449403,40
2017-02-02,CLX,6990.068542566398,6990.068542566398,41
2017-02-02,LII,6635.679013832396,6635.679013832396,41
2017-02-02,LMT,-1261.6118956739936,-1261.6118956739936,20
2017-02-02,MO,5160.038995329399,5160.038995329399,20
2017-02-02,NVDA,9704.727902677503,9704.727902677503,20
2017-02-02,OKE,618.5845438470081,618.5845438470081,41
2017-02-02,SPGI,9647.458615444504,9647.458615444504,20
2017-02-02,TPL,8970.217629813,8970.217629813,41
2017-04-21,URI,-8247.6768244968,-8247.6768244968,12
2017-05-02,OKE,-2715.8727091435085,-2715.8727091435085,19
2017-05-17,NVDA,26771.959393402805,26771.959393402805,11
2017-06-02,BA,7010.060775151507,7010.060775151507,41
2017-06-02,KMB,-1010.36992130021,-1010.36992130021,41
2017-06-02,LII,7500.490928176806,7500.490928176806,41
2017-06-02,LMT,5417.238531265007,5417.238531265007,41
2017-06-02,MCD,18750.259807250295,18750.259807250295,41
2017-06-02,MO,5038.76031037221,5038.76031037221,41
2017-06-02,SPGI,12059.609341838015,12059.609341838015,41
2017-06-02,STX,1730.3759031321003,1730.3759031321003,22
2017-06-02,TPL,-1660.4643194112061,-1660.4643194112061,41
2017-07-26,KMB,-3231.0118077140114,-3231.0118077140114,15
2017-07-26,LII,-6658.90812365759,-6658.90812365759,15
2017-08-01,MU,-4563.8383643928,-4563.8383643928,19
2017-08-02,APO,4162.732143702007,4162.732143702007,20
2017-08-02,BA,19999.871351550602,19999.871351550602,20
2017-08-02,IT,3026.8000000000043,3026.8000000000043,20
2017-08-02,LMT,4743.2553963795,4743.2553963795,20
2017-08-02,NVDA,17117.054010885593,17117.054010885593,20
2017-08-02,SPGI,5700.840263325894,5700.840263325894,20
2017-08-02,WYNN,-2867.093143603983,-2867.093143603983,20
2017-11-10,UPS,-4450.881820268399,-4450.881820268399,6
2017-11-30,NVDA,-3214.632100647505,-3214.632100647505,19
2017-12-01,MU,-5293.454557545002,-5293.454557545002,20
2017-12-05,MU,-5191.125162471603,-5191.125162471603,1
2017-12-08,NVR,-2967.1599999999944,-2967.1599999999944,4
2018-01-24,WYNN,30316.154576425302,30316.154576425302,55
2018-01-26,NVR,-4676.280000000006,-4676.280000000006,16
