date,ticker,pnl,pnl_comm,bar_len
2011-06-08,DPZ,-4992.991781107333,-4992.991781107333,4
2011-06-13,BKNG,-5008.980551604397,-5008.980551604397,7
2011-06-13,ROST,-4973.7286235180445,-4973.7286235180445,7
2011-06-16,CF,-5002.492509229259,-5002.492509229259,10
2011-06-16,NFLX,-4977.220415631757,-4977.220415631757,10
2011-06-16,VRSN,-5010.1604504910065,-5010.1604504910065,10
2011-06-23,TPL,-4967.0034467064515,-4967.0034467064515,15
2011-06-28,MO,-4999.587963110963,-4999.587963110963,18
2011-07-26,NFLX,-7612.106673599997,-7612.106673599997,15
2011-07-28,VRSN,-4981.641287776026,-4981.641287776026,17
2011-07-29,TSCO,-5026.386770894991,-5026.386770894991,18
2011-08-03,FCX,-4955.14407203778,-4955.14407203778,1
2011-08-03,LULU,-4978.246000000002,-4978.246000000002,1
2011-08-03,BIIB,6556.03,6556.03,43
2011-08-03,CF,9631.504148324993,9631.504148324993,21
2011-08-03,DPZ,-116.35779567969932,-116.35779567969932,21
2011-08-03,MO,-1394.5246404443976,-1394.5246404443976,21
2011-08-03,YUM,-6281.235573551391,-6281.235573551391,43
2011-08-04,BKNG,-5001.468864892127,-5001.468864892127,22
2011-08-05,ACN,-4963.02498142767,-4963.02498142767,3
2011-09-06,DECK,-6282.266667115402,-6282.266667115402,1
2011-09-09,VRSN,-4923.527287941575,-4923.527287941575,4
2011-09-12,IBM,-4919.405419458843,-4919.405419458843,5
2011-09-15,NFLX,-13709.355433488015,-13709.355433488015,8
2011-09-20,CF,-4879.845602171139,-4879.845602171139,11
2011-09-29,LULU,-4859.283000000006,-4859.283000000006,18
2011-10-04,AAPL,-4917.257562115032,-4917.257562115032,21
2011-10-04,MNST,-4865.557801104004,-4865.557801104004,21
2011-10-05,DLTR,6909.280000000011,6909.280000000011,22
2011-10-24,CF,29545.492991458388,29545.492991458388,14
2011-10-27,LULU,29415.528000000006,29415.528000000006,17
2011-10-27,RL,29532.3815405122,29532.3815405122,17
2011-10-28,DECK,29499.992500068107,29499.992500068107,18
2011-11-03,BKNG,12980.43213059041,12980.43213059041,22
2011-11-14,LULU,-5106.223000000004,-5106.223000000004,8
2011-11-16,F,-5081.198113523098,-5081.198113523098,10
2011-11-17,IT,-5081.726999999998,-5081.726999999998,11
2011-11-18,TER,-5091.017111274055,-5091.017111274055,12
2011-11-23,JBL,-5106.174136488525,-5106.174136488525,15
2011-11-23,TDY,-5062.821,-5062.821,15
2011-12-05,NVDA,12660.0143296512,12660.0143296512,22
2011-12-09,IT,-5056.069000000009,-5056.069000000009,5
2011-12-14,JBL,-5031.186883508377,-5031.186883508377,8
2012-01-05,LMT,1405.2252446260238,1405.2252446260238,22
2012-01-05,ROK,13282.488026385208,13282.488026385208,43
2012-01-05,TPL,-344.3923963130072,-344.3923963130072,22
2012-02-03,BIIB,7523.739999999993,7523.739999999993,21
2012-02-03,CNC,18994.300000000003,18994.300000000003,21
2012-02-03,SMCI,25387.200000000004,25387.200000000004,42
2012-03-05,AMD,6521.39999999999,6521.39999999999,21
2012-03-05,BA,5193.552760854905,5193.552760854905,62
2012-03-05,FICO,8847.282326737512,8847.282326737512,41
2012-03-05,MNST,10744.844255144997,10744.844255144997,21
2012-03-05,ROST,15703.955257070003,15703.955257070003,62
2012-03-06,MGM,-5886.242715028806,-5886.242715028806,2
2012-03-12,DAL,-5015.2429722721245,-5015.2429722721245,6
2012-04-04,DLTR,5066.899999999994,5066.899999999994,23
2012-04-05,STX,-4958.285793974607,-4958.285793974607,2
2012-04-09,URI,-6573.861637381499,-6573.861637381499,3
