month,n_obs,r_squared,intercept,ma_ratio_3,ma_ratio_5,ma_ratio_10,ma_ratio_20,ma_ratio_50,ma_ratio_100,ma_ratio_200,ma_ratio_400,ma_ratio_600,ma_ratio_800,ma_ratio_1000
2010-05-31,387,0.2285893068153635,-0.6868048440330368,0.46117303026267453,0.22467951193331498,0.9304920422276018,-0.722668539862038,-0.7728840389483963,0.9277088194873907,-0.5770413805820898,0.2884224457612332,-0.13517896658754885,0.08963666660252959,-0.01836961779768318
2010-06-30,388,0.15516929520140388,1.0759785328294464,-3.4781613932074995,2.4857973301443876,0.45735415923112044,-0.9231559538330694,0.6894216640613969,-0.35457712919574214,0.25877944847946427,-0.29897913274194104,0.18893111136644547,-0.047201446198369426,-0.019660876006109183
2010-07-31,388,0.16985388831460047,0.4788733536545722,-0.21741131860587737,-1.150024005210796,0.7233997344309936,0.7254277649965581,-0.3536259604390009,-0.2252426746339706,-0.06178272631696905,0.1296333953971123,-0.13823488263754435,0.17521110782288088,-0.0948417940713198
2010-08-31,388,0.27902368784987264,-1.7299160161930685,2.1621829020592367,-0.8554664888163009,-0.20738192361431543,1.1117927240388537,-0.7464534171846071,0.31607982062379575,0.15938832415204102,-0.007073350526607902,-0.29561168562506207,0.21884704547055267,-0.08415263055594643
2010-09-30,388,0.10778917657470133,-1.0788256171245847,1.4561346042391947,-0.8541359057834879,0.8015707880148362,-0.45229837955019747,0.42497057940033944,-0.4157076371923029,0.3435178711511593,-0.10539773604797584,-0.28913938274106554,0.3500076114072264,-0.1695367714263084
2010-10-31,389,0.14537759838691378,0.33782236193735693,-1.6683437611076,2.8995971194526042,-2.475221470596379,1.2914112881763997,-0.5073561405576601,0.1990570603630241,7.473367104071284e-05,0.002309135381640101,-0.22881711259691848,0.2741333312590041,-0.14203423913199711
2010-11-30,390,0.27915118377200054,0.018471858319671526,-0.2605078336249917,-0.5022431862422713,0.8935935502049857,-0.37756019881336245,0.6673031565959007,-0.9057977660716207,0.62116374353406,-0.0853513672999688,-0.056091197401452596,0.007881812485395294,0.03565587584252589
2010-12-31,390,0.07360757842437593,0.5700112916063564,0.39294647357646584,-0.5123058816993997,-0.8962877571286901,0.520022072379347,0.06031315969522086,-0.40223723648763815,0.29299108118678446,0.17081479745081357,-0.32625550010285215,0.31185337564677473,-0.1614717099472896
2011-01-31,390,0.07045684312102207,-0.08989955588696588,0.844025836433581,-0.9971470326710772,0.5852644339458497,-0.43259886271553344,0.49056238817026854,-0.35647259612965765,0.08502638531838005,-0.32026270176300653,0.22270416993134637,0.03460273242760513,-0.02913049039548041
2011-02-28,390,0.06130902010818429,-0.5623916723605891,-0.24763010513340902,0.9069280968780091,-0.025615064922789775,-0.1527503822749325,-0.0438627992373983,0.2710149892918256,-0.11228188664706942,-0.011784748411735565,0.04585885420446537,-0.04979968948204471,0.003452353428481948
2011-03-31,392,0.1096634858045582,0.434590568503509,-1.2556013247061597,2.0261398574646985,-1.8260116716339987,0.9955151108597031,-0.6699289426195358,0.2611966098418219,-0.06498060967102919,0.3205673319591151,-0.17006797498971485,0.0018308491561410678,-0.017778014813433125
2011-04-30,395,0.1836583815991053,-0.6267551003801072,1.5675446502641748,-2.217968098732341,2.504291838299113,-1.298509881455556,0.020251251053519454,-0.06185595079609318,0.20912689218663044,-0.22634912499507012,0.29263336394387596,-0.2070500414101712,0.06395561506029313
2011-05-31,397,0.18320595327501965,0.2605974681473723,-1.2849647939430733,0.6294070429395825,0.7603719550719173,-0.6277096233792828,0.772050474172437,-0.8185810030112994,0.49618271439440387,-0.22329684177098424,-0.09964164701029349,0.16456060027875108,-0.043557894047359665
2011-06-30,399,0.11948832137640952,-1.3407028341384606,3.086138576653631,-2.1654857830108347,-0.5896513103452936,1.7243893918547828,-0.8246500012726563,0.06820907180642133,0.03544819489063832,0.03964916600587166,-0.03909710643291778,-0.027403495173013527,0.011794308591583608
2011-07-31,400,0.23991216705946916,-1.1752630996140558,3.6421450551762575,-3.487730164524079,1.524625804275725,-1.0177426221981007,1.3052520399426335,-1.0168674187702478,0.3070614980889447,-0.16529910184431057,0.10004401998689141,-0.02081053631252555,-0.016167269489470636
2011-08-31,398,0.19842727372004165,-0.6598414237859019,-0.9775312935904283,0.9710972128980873,0.849958377886255,0.1293180393458736,-0.5510774519318591,0.40675387435681326,-0.3018810200908068,0.28879070866413387,-0.10612546257974673,-0.08382785158900259,0.014220131658883322
2011-09-30,397,0.2762663801812568,-1.2154989949970276,2.5876048698383216,-1.669204548299409,0.7427928370974823,-0.7805283286609375,0.34433293836353995,-0.21146335954675158,0.3999278755337432,-0.08894771680244024,0.29572924316468213,-0.36874793044529797,0.03144976368776293
2011-10-31,400,0.09975376792168411,-0.2592771694473453,0.5390865807356828,-0.5987178123250011,0.6703969992411989,-0.04902807749882308,-0.3705101905201046,0.22962153800942303,-0.1782735878280573,-0.07869609355328233,0.08143071772939223,0.023509096275644778,-0.017398518829430908
2011-11-30,402,0.13643995560613087,0.710496824603676,-3.7501525126567,3.1539521293841974,0.5316673708699613,-0.8700863111292729,0.32375527902858864,-0.02843839136317884,-0.11343803745152312,0.12851159924993227,0.04983560544947246,-0.06559653574841948,-0.008929617619352034
2011-12-31,403,0.45177345066425245,1.0964603113452462,-3.6636421428779933,2.3933149460822385,0.2672120741170812,-0.3810385198031482,0.2629707310120356,-0.4231856565754329,0.6556693952811673,-0.40685914027330966,0.9155997131248533,-0.7333067721054541,8.718852425260859e-05
