simulation,annualized_sharpe,final_equity,strategy_sharpe,p_value
0,0.6200589261626623,2746601.6767297243,0.8136121335447533,0.039
1,0.5791466330578516,2603069.6662854413,0.8136121335447533,0.039
2,0.6138220207490832,2860596.541174807,0.8136121335447533,0.039
3,0.695235737764974,3022283.804023881,0.8136121335447533,0.039
4,0.7788537166579841,3101241.256788525,0.8136121335447533,0.039
5,0.6959114168057442,2868338.769564923,0.8136121335447533,0.039
6,0.3520458070564866,1878894.9932982153,0.8136121335447533,0.039
7,0.6276882888867997,2892505.77629289,0.8136121335447533,0.039
8,0.6200895082643159,2757721.3161925618,0.8136121335447533,0.039
9,0.6424581467370534,2906662.7175742798,0.8136121335447533,0.039
10,0.5448346013661612,2519779.8012165814,0.8136121335447533,0.039
11,0.8038933705196827,3302308.556243841,0.8136121335447533,0.039
12,0.5082694631397137,2418957.734671278,0.8136121335447533,0.039
13,0.6495722439815773,2847899.1515136627,0.8136121335447533,0.039
14,0.5264696817044433,2404151.2993763364,0.8136121335447533,0.039
15,0.7167313087974364,3168804.221222933,0.8136121335447533,0.039
16,0.7850957422464139,3611272.7308348785,0.8136121335447533,0.039
17,0.6813857887162206,2804248.779787926,0.8136121335447533,0.039
18,0.591156752909855,2589513.079569402,0.8136121335447533,0.039
19,0.7463073900720444,3357924.960808837,0.8136121335447533,0.039
20,0.63753505943591,2791613.2922006054,0.8136121335447533,0.039
21,0.6326254356689601,2811962.039694045,0.8136121335447533,0.039
22,0.8147311829525185,3125799.495135998,0.8136121335447533,0.039
23,0.7159791560088149,3244865.953299741,0.8136121335447533,0.039
24,0.680140923875169,3199820.2325884528,0.8136121335447533,0.039
25,0.6438129892142426,2670516.123353917,0.8136121335447533,0.039
26,0.6447831499581165,2787751.0533629586,0.8136121335447533,0.039
27,0.49291379205286096,2194359.904612434,0.8136121335447533,0.039
28,0.6678211499228214,3006402.6569219613,0.8136121335447533,0.039
29,0.7376965540858494,2977267.532485402,0.8136121335447533,0.039
30,0.4713743873983167,2301676.6345380056,0.8136121335447533,0.039
31,0.6053839623299864,2865476.365034048,0.8136121335447533,0.039
32,0.6352746322602912,2877964.971309818,0.8136121335447533,0.039
