date,ticker,reason,is_buy,status,exectype,size,price,value,commission
2011-06-02,BIIB,rebalance_entry,True,Completed,0,1073,93.4,100218.20000000001,0.0
2011-06-02,BKNG,rebalance_entry,True,Completed,0,5022,19.9481503449,100179.6110320878,0.0
2011-06-02,CF,rebalance_entry,True,Completed,0,4828,20.7228355809,100049.8501845852,0.0
2011-06-02,DPZ,rebalance_entry,True,Completed,0,5121,19.5000655384,99859.8356221464,0.0
2011-06-02,MO,rebalance_entry,True,Completed,0,9008,11.1003285149,99991.75926221919,0.0
2011-06-02,NFLX,rebalance_entry,True,Completed,0,26191,3.800710485,99544.408312635,0.0
2011-06-02,ROST,rebalance_entry,True,Completed,0,5998,16.5846236196,99474.57247036078,0.0
2011-06-02,TPL,rebalance_entry,True,Completed,0,21529,4.6142444579,99340.0689341291,0.0
2011-06-02,VRSN,rebalance_entry,True,Completed,0,2940,34.082724153,100203.20900982,0.0
2011-06-02,YUM,rebalance_entry,True,Completed,0,3423,29.1852205306,99901.0098762438,0.0
2011-06-08,DPZ,stop_loss,False,Completed,3,-5121,18.52506226148,99859.8356221464,0.0
2011-06-08,DPZ,take_profit,False,Canceled,2,0,0.0,0.0,0.0
2011-06-13,BKNG,stop_loss,False,Completed,3,-5022,18.950742827655,100179.6110320878,0.0
2011-06-13,BKNG,take_profit,False,Canceled,2,0,0.0,0.0,0.0
2011-06-13,ROST,stop_loss,False,Completed,3,-5998,15.755392438619998,99474.57247036078,0.0
2011-06-13,ROST,take_profit,False,Canceled,2,0,0.0,0.0,0.0
2011-06-16,CF,stop_loss,False,Completed,3,-4828,19.686693801855,100049.8501845852,0.0
2011-06-16,CF,take_profit,False,Canceled,2,0,0.0,0.0,0.0
2011-06-16,NFLX,stop_loss,False,Completed,3,-26191,3.6106749607499995,99544.408312635,0.0
2011-06-16,NFLX,take_profit,False,Canceled,2,0,0.0,0.0,0.0
2011-06-16,VRSN,stop_loss,False,Completed,3,-2940,32.37858794535,100203.20900982,0.0
2011-06-16,VRSN,take_profit,False,Canceled,2,0,0.0,0.0,0.0
2011-06-23,TPL,stop_loss,False,Completed,3,-21529,4.383532235005,99340.0689341291,0.0
2011-06-23,TPL,take_profit,False,Canceled,2,0,0.0,0.0,0.0
2011-06-28,MO,stop_loss,False,Completed,3,-9008,10.545312089154999,99991.75926221919,0.0
2011-06-28,MO,take_profit,False,Canceled,2,0,0.0,0.0,0.0
2011-07-05,BKNG,rebalance_entry,True,Completed,0,4852,20.6161123862,100029.37729784241,0.0
2011-07-05,CF,rebalance_entry,True,Completed,0,5125,19.7300411637,101116.46096396251,0.0
2011-07-05,DPZ,rebalance_entry,True,Completed,0,4889,20.5075953689,100261.6337585521,0.0
2011-07-05,MO,rebalance_entry,True,Completed,0,9348,10.6804050396,99840.4263101808,0.0
2011-07-05,NFLX,rebalance_entry,True,Completed,0,26120,3.9428532,102987.325584,0.0
2011-07-05,TSCO,rebalance_entry,True,Completed,0,18033,5.5746539909,100527.7354178997,0.0
2011-07-05,VRSN,rebalance_entry,True,Completed,0,2996,33.2552822949,99632.8257555204,0.0
2011-07-26,NFLX,stop_loss,False,Completed,3,-26120,3.6514249199999997,102987.325584,0.0
2011-07-26,NFLX,take_profit,False,Canceled,2,0,0.0,0.0,0.0
2011-07-28,VRSN,stop_loss,False,Completed,3,-2996,31.592518180154997,99632.8257555204,0.0
2011-07-28,VRSN,take_profit,False,Canceled,2,0,0.0,0.0,0.0
2011-07-29,TSCO,stop_loss,False,Completed,3,-18033,5.295921291355,100527.7354178997,0.0
2011-07-29,TSCO,take_profit,False,Canceled,2,0,0.0,0.0,0.0
2011-08-02,BIIB,stop_loss,False,Canceled,3,0,0.0,0.0,0.0
2011-08-02,BIIB,take_profit,False,Canceled,2,0,0.0,0.0,0.0
2011-08-02,CF,stop_loss,False,Canceled,3,0,0.0,0.0,0.0
2011-08-02,CF,take_profit,False,Canceled,2,0,0.0,0.0,0.0
2011-08-02,DPZ,stop_loss,False,Canceled,3,0,0.0,0.0,0.0
2011-08-02,DPZ,take_profit,False,Canceled,2,0,0.0,0.0,0.0
2011-08-02,MO,stop_loss,False,Canceled,3,0,0.0,0.0,0.0
2011-08-02,MO,take_profit,False,Canceled,2,0,0.0,0.0,0.0
2011-08-02,YUM,stop_loss,False,Canceled,3,0,0.0,0.0,0.0
2011-08-02,YUM,take_profit,False,Canceled,2,0,0.0,0.0,0.0
2011-08-02,NDSN,rebalance_entry,True,Margin,0,0,0.0,0.0,0.0
2011-08-02,NFLX,rebalance_entry,True,Margin,0,0,0.0,0.0,0.0
2011-08-02,TPR,rebalance_entry,True,Margin,0,0,0.0,0.0,0.0
2011-08-02,TSCO,rebalance_entry,True,Margin,0,0,0.0,0.0,0.0
2011-08-02,VRSN,rebalance_entry,True,Margin,0,0,0.0,0.0,0.0
2011-08-02,ACN,rebalance_entry,True,Completed,0,2252,44.0765984141,99260.4996285532,0.0
2011-08-02,FCX,rebalance_entry,True,Completed,0,2473,40.0739512498,99102.88144075539,0.0
2011-08-02,LULU,rebalance_entry,True,Completed,0,1609,61.879999999999995,99564.92,0.0
2011-08-03,FCX,stop_loss,False,Completed,3,-2473,38.07025368730999,99102.88144075539,0.0
2011-08-03,FCX,take_profit,False,Canceled,2,0,0.0,0.0,0.0
2011-08-03,LULU,stop_loss,False,Completed,3,-1609,58.78599999999999,99564.92,0.0
2011-08-03,LULU,take_profit,False,Canceled,2,0,0.0,0.0,0.0
2011-08-03,BIIB,rebalance_exit,False,Completed,0,-1073,99.51,100218.20000000001,0.0
2011-08-03,CF,rebalance_exit,False,Completed,0,-5125,21.6093590463,101116.46096396251,0.0
2011-08-03,DPZ,rebalance_exit,False,Completed,0,-4889,20.4837954516,100261.6337585521,0.0
2011-08-03,MO,rebalance_exit,False,Completed,0,-9348,10.5312261093,99840.4263101808,0.0
2011-08-03,YUM,rebalance_exit,False,Completed,0,-3423,27.3502115988,99901.0098762438,0.0
2011-08-04,BKNG,stop_loss,False,Completed,3,-4852,19.58530676689,100029.37729784241,0.0
2011-08-04,BKNG,take_profit,False,Canceled,2,0,0.0,0.0,0.0
2011-08-05,ACN,stop_loss,False,Completed,3,-2252,41.87276849339499,99260.4996285532,0.0
2011-08-05,ACN,take_profit,False,Canceled,2,0,0.0,0.0,0.0
2011-09-02,AAPL,rebalance_entry,True,Completed,0,8767,11.2176515618,98345.1512423006,0.0
2011-09-02,CF,rebalance_entry,True,Completed,0,3909,24.9672325514,97596.91204342259,0.0
2011-09-02,DECK,rebalance_entry,True,Completed,0,6731,14.6066666667,98317.4733335577,0.0
2011-09-02,DLTR,rebalance_entry,True,Completed,0,2786,35.285,98304.01,0.0
2011-09-02,IBM,rebalance_entry,True,Completed,0,1048,93.8817828141,98388.1083891768,0.0
2011-09-02,LULU,rebalance_entry,True,Completed,0,1833,53.02,97185.66,0.0
2011-09-02,MNST,rebalance_entry,True,Completed,0,14272,6.818326515,97311.15602208,0.0
2011-09-02,NFLX,rebalance_entry,True,Completed,0,30008,2.9815684470000003,89470.905957576,0.0
2011-09-02,VRSN,rebalance_entry,True,Completed,0,3297,29.8667108762,98470.5457588314,0.0
2011-09-06,DECK,stop_loss,False,Completed,3,-6731,13.6733333333,98317.4733335577,0.0
2011-09-06,DECK,take_profit,False,Canceled,2,0,0.0,0.0,0.0
2011-09-09,VRSN,stop_loss,False,Completed,3,-3297,28.373375332389994,98470.5457588314,0.0
2011-09-09,VRSN,take_profit,False,Canceled,2,0,0.0,0.0,0.0
2011-09-12,IBM,stop_loss,False,Completed,3,-1048,89.187693673395,98388.1083891768,0.0
2011-09-12,IBM,take_profit,False,Canceled,2,0,0.0,0.0,0.0
2011-09-15,NFLX,stop_loss,False,Completed,3,-30008,2.524711761,89470.905957576,0.0
2011-09-15,NFLX,take_profit,False,Canceled,2,0,0.0,0.0,0.0
2011-09-20,CF,stop_loss,False,Completed,3,-3909,23.718870923829996,97596.91204342259,0.0
2011-09-20,CF,take_profit,False,Canceled,2,0,0.0,0.0,0.0
2011-09-29,LULU,stop_loss,False,Completed,3,-1833,50.369,97185.66,0.0
2011-09-29,LULU,take_profit,False,Canceled,2,0,0.0,0.0,0.0
2011-10-04,DLTR,stop_loss,False,Canceled,3,0,0.0,0.0,0.0
2011-10-04,DLTR,take_profit,False,Canceled,2,0,0.0,0.0,0.0
2011-10-04,WYNN,rebalance_entry,True,Margin,0,0,0.0,0.0,0.0
2011-10-04,AAPL,stop_loss,False,Completed,3,-8767,10.65676898371,98345.1512423006,0.0
2011-10-04,AAPL,take_profit,False,Canceled,2,0,0.0,0.0,0.0
2011-10-04,MNST,stop_loss,False,Completed,3,-14272,6.47741018925,97311.15602208,0.0
2011-10-04,MNST,take_profit,False,Canceled,2,0,0.0,0.0,0.0
2011-10-04,BKNG,rebalance_entry,True,Completed,0,5712,17.3057537688,98850.46552738559,0.0
2011-10-04,CF,rebalance_entry,True,Completed,0,5896,16.6438872286,98132.3590998256,0.0
2011-10-04,DECK,rebalance_entry,True,Completed,0,6809,14.4416666667,98333.3083335603,0.0
