month,value,cash,return
2010-01-31,1000000.0,1000000.0,0.0
2010-02-28,1000000.0,1000000.0,0.0
2010-03-31,1000000.0,1000000.0,0.0
2010-04-30,1000000.0,1000000.0,0.0
2010-05-31,1000000.0,1000000.0,0.0
2010-06-30,1000000.0,1000000.0,0.0
2010-07-31,1000000.0,1000000.0,0.0
2010-08-31,1000000.0,1000000.0,0.0
2010-09-30,1000000.0,1000000.0,0.0
2010-10-31,1000000.0,1000000.0,0.0
2010-11-30,1000000.0,1000000.0,0.0
2010-12-31,970741.8904102934,84348.97866236797,-0.02925810958970665
2011-01-31,977318.6474986752,288720.0039232448,0.0067749802015879546
2011-02-28,1026141.3935106175,262871.14396801323,0.04995581137932659
2011-03-31,1054876.0829228,82537.24129853351,0.028002660835926063
2011-04-30,1060996.1336219362,119536.83488838004,0.005801677370652847
2011-05-31,1072943.8173903548,124964.57543987763,0.011260817442974691
2011-06-30,1064996.5925837862,212590.55470012274,-0.007406934713411251
2011-07-31,1069634.3289339005,11507.156431729643,0.004354695951526599
2011-08-31,1047793.7961215156,325085.6961998667,-0.020418690969046582
2011-09-30,935158.0765316783,195512.3113696666,-0.10749798291110946
2011-10-31,1064425.6638063537,158589.71469888944,0.13823073394618368
2011-11-30,1053594.0539367334,137293.19116166106,-0.010176013448310539
2011-12-31,1052768.5693357189,29395.958320161284,-0.000783493982269623
2012-01-31,1119636.8191848393,234450.45160683338,0.06351657125488952
2012-02-29,1161786.483604567,293353.26574305707,0.0376458363082548
2012-03-31,1210543.6459767208,139520.30014668842,0.04196740370130625
2012-04-30,1232542.2301690802,147484.0327447136,0.01817248330159127
2012-05-31,1167470.3977747897,177492.41906390784,-0.05279480962316718
2012-06-30,1180345.7213537076,148516.43607952964,0.011028394041903145
2012-07-31,1208471.2139149546,265808.36030352744,0.023828181906730306
2012-08-31,1209063.1994233665,171202.46125846935,0.000489863144107483
2012-09-30,1199524.1514784724,256195.29288227114,-0.007889618962386269
2012-10-31,1183323.5181583527,164749.17701316532,-0.013505883395637852
2012-11-30,1216601.5435446808,265355.340119414,0.028122508236901878
2012-12-31,1209729.1740742398,191732.9019967655,-0.005648825210609054
2013-01-31,1253215.0456861488,295056.36465953704,0.0359467825889106
2013-02-28,1245515.3189592103,295596.1927125395,-0.006143978843409781
2013-03-31,1335483.0665867815,211873.09949828516,0.07223335294081412
2013-04-30,1457797.8486418568,240675.68748455052,0.09158841853958255
2013-05-31,1524375.7740671353,325825.98040203186,0.045670204196902375
2013-06-30,1450967.1168695202,341707.4734521115,-0.048156536233684655
2013-07-31,1553998.0153248922,314204.0452906496,0.0710084310371295
2013-08-31,1505349.7965589147,377787.1038120709,-0.03130520006218074
2013-09-30,1560272.842679524,388722.4061134961,0.036485238345371984
2013-10-31,1609672.5493329847,444781.63082971965,0.0316609411522053
2013-11-30,1683525.3697136128,455134.80360323354,0.04588064846557227
2013-12-31,1706342.403585473,456921.6429964437,0.013553127432669232
2014-01-31,1700630.918422922,466987.1760461925,-0.0033472093001672976
2014-02-28,1788817.672378277,482665.09970986634,0.051855316165329235
2014-03-31,1815787.048076028,482445.1633177932,0.0150766487351921
2014-04-30,1834907.3166545841,493132.41882463294,0.010530017051732843
2014-05-31,1908152.2734491238,568374.9126905547,0.03991752396959236
2014-06-30,1949840.986519512,568033.6776122486,0.021847686712671344
2014-07-31,1936532.9054440265,576932.3808663478,-0.006825213526381213
2014-08-31,2054741.030933664,559764.8247099721,0.06104111381599964
2014-09-30,2076319.444147321,568647.1323702765,0.010501767808594353
2014-10-31,2037593.0301728826,703164.8304712212,-0.01865147199945527
2014-11-30,2065367.8685999564,735261.4354625548,0.01363120015419228
2014-12-31,2014725.690817704,886742.4553392208,-0.02451968898721224
2015-01-31,2010506.469881893,876939.4084394318,-0.0020941912613913205
2015-02-28,2038793.3369099703,994372.9410416672,0.01406952300419051
2015-03-31,2048364.479102653,989913.6474207854,0.0046945131806193086
2015-04-30,2031902.7158981122,1026116.24769489,-0.008036540065248787
2015-05-31,2066152.6298641963,1010746.045309231,0.016856079623352116
2015-06-30,2056058.53978343,1028068.6879830458,-0.004885452282114122
2015-07-31,2100981.9594342588,1025525.0294327193,0.021849290174179803
