month,ticker,pnl,pnl_comm,bar_len
2017-11-30,BA,1431.5716255300008,1431.5716255300008,1
2017-11-30,MO,1907.4012584421882,1907.4012584421882,1
2017-11-30,TPL,992.212325380209,992.212325380209,1
2017-12-31,APO,5977.613807384593,5977.613807384593,2
2017-12-31,CSX,9324.71884420001,9324.71884420001,1
2017-12-31,LII,17236.555541619597,17236.555541619597,2
2017-12-31,UPS,4120.2336888261925,4120.2336888261925,1
2017-12-31,URI,11117.716289955382,11117.716289955382,1
2018-01-31,AMAT,-606.2359509439978,-606.2359509439978,1
2018-01-31,LRCX,-2254.819937554801,-2254.819937554801,1
2018-02-28,MU,3090.057145380301,3090.057145380301,2
2018-02-28,NVDA,19535.2691476768,19535.2691476768,2
2018-03-31,ALGN,-2510.7899999999904,-2510.7899999999904,1
2018-03-31,LMT,14768.533685719787,14768.533685719787,5
2018-03-31,TPL,2142.659565287606,2142.659565287606,1
2018-04-30,ABBV,-2550.4066180173095,-2550.4066180173095,3
2018-04-30,ALLE,1592.3587900595996,1592.3587900595996,1
2018-04-30,HD,9082.994051166303,9082.994051166303,6
2018-04-30,KMB,-5243.233189121802,-5243.233189121802,6
2018-04-30,LII,-5897.716046809399,-5897.716046809399,2
2018-04-30,LOW,-2476.2370391200066,-2476.2370391200066,1
2018-04-30,UPS,-10984.396241354405,-10984.396241354405,2
2018-04-30,WYNN,16437.870140604486,16437.870140604486,4
2018-05-31,APO,-2464.4703046200048,-2464.4703046200048,1
2018-05-31,AVGO,-1315.3311219894927,-1315.3311219894927,1
2018-05-31,MSCI,86.86588097501044,86.86588097501044,1
2018-05-31,NVR,5095.999999999996,5095.999999999996,1
2018-05-31,TPL,12129.943909125192,12129.943909125192,1
2018-06-30,ALGN,33584.0,33584.0,1
2018-06-30,ON,4701.200000000009,4701.200000000009,2
2018-06-30,URI,7988.265890221605,7988.265890221605,1
2018-07-31,ABBV,-5931.711329524396,-5931.711329524396,1
2018-07-31,DG,12693.653610411098,12693.653610411098,1
2018-07-31,IBKR,-13217.447184480012,-13217.447184480012,1
2018-08-31,DECK,-61.99666684379083,-61.99666684379083,1
2018-08-31,LMT,2231.5968434055917,2231.5968434055917,3
2018-08-31,STZ,-2704.4596669608018,-2704.4596669608018,1
2018-08-31,UPS,6417.270886717601,6417.270886717601,3
2018-09-30,ANET,12668.39999999999,12668.39999999999,1
2018-09-30,MU,1150.2549500343953,1150.2549500343953,5
2018-09-30,ON,-3628.000000000003,-3628.000000000003,1
2018-09-30,ORLY,23054.1873335161,23054.1873335161,2
2018-09-30,SPGI,33728.41393206499,33728.41393206499,11
2018-09-30,TPL,20797.378199220006,20797.378199220006,2
2018-10-31,ABBV,-1281.0316367350126,-1281.0316367350126,1
2018-10-31,DLTR,1813.3199999999922,1813.3199999999922,1
2018-10-31,F,-1054.8195349761904,-1054.8195349761904,1
2018-10-31,MSCI,7683.852908010009,7683.852908010009,2
2018-10-31,STX,-5308.0252347079995,-5308.0252347079995,1
2018-11-30,AMD,-39750.36,-39750.36,1
2018-11-30,BA,8553.745638819706,8553.745638819706,6
2018-11-30,SPGI,-7284.138619959097,-7284.138619959097,1
2018-11-30,TPL,-13022.293147815008,-13022.293147815008,1
2018-11-30,URI,-25596.90270329369,-25596.90270329369,1
2018-11-30,VLO,-22285.846812720607,-22285.846812720607,2
2018-12-31,MPC,-18901.889793485094,-18901.889793485094,2
2018-12-31,UPS,-5046.4685952263,-5046.4685952263,3
2019-01-31,AXON,-2115.9999999999877,-2115.9999999999877,1
2019-01-31,CMG,-10500.490800000003,-10500.490800000003,1
2019-01-31,TPL,-10827.322787989997,-10827.322787989997,1
2019-02-28,DECK,14856.3150003126,14856.3150003126,1
2019-02-28,UPS,9840.308256270891,9840.308256270891,1
2019-03-31,ABBV,3938.2418865646987,3938.2418865646987,4
2019-03-31,KMB,13177.69338019469,13177.69338019469,4
2019-03-31,LMT,6907.099840313216,6907.099840313216,4
2019-03-31,LULU,27676.74,27676.74,2
2019-03-31,MCO,8680.021679951988,8680.021679951988,3
2019-04-30,BKNG,2761.3809961499956,2761.3809961499956,1
2019-04-30,ELV,-4423.296056563585,-4423.296056563585,1
2019-04-30,ERIE,-336.5932373135961,-336.5932373135961,1
2019-04-30,KDP,9860.490052949708,9860.490052949708,1
2019-04-30,SPGI,14695.301774998898,14695.301774998898,4
2019-04-30,UNH,2926.612820997594,2926.612820997594,1
2019-04-30,UPS,2041.5783986161057,2041.5783986161057,1
2019-05-31,AES,-4886.434837836981,-4886.434837836981,1
2019-05-31,CLX,-3182.7906338705034,-3182.7906338705034,1
2019-05-31,HD,12648.430345896815,12648.430345896815,12
2019-05-31,NVR,13788.360000000008,13788.360000000008,1
2019-05-31,TMUS,5207.695430212796,5207.695430212796,1
2019-05-31,VZ,-2654.1443444670085,-2654.1443444670085,1
2019-06-30,GLW,-9362.1976265888,-9362.1976265888,1
2019-06-30,GOOGL,-10883.979703099796,-10883.979703099796,1
2019-06-30,QCOM,-23312.519632975305,-23312.519632975305,1
2019-06-30,SPGI,-2727.8286640396877,-2727.8286640396877,1
2019-07-31,CIEN,20005.380000000005,20005.380000000005,1
2019-07-31,NTAP,6789.929955276,6789.929955276,1
2019-07-31,UPS,12625.885225858503,12625.885225858503,1
2019-07-31,ZBRA,865.590000000006,865.590000000006,2
2019-08-31,CCL,708.8863963880932,708.8863963880932,1
2019-08-31,FTNT,11202.352000000004,11202.352000000004,2
2019-08-31,LLY,-6344.008446222797,-6344.008446222797,3
2019-08-31,TPL,3712.815799357216,3712.815799357216,5
2019-09-30,DECK,-6667.0633334612985,-6667.0633334612985,1
2019-09-30,FDS,-2240.4841135127954,-2240.4841135127954,1
2019-09-30,MSCI,3870.4584865948095,3870.4584865948095,4
2019-10-31,BEN,11840.600503908287,11840.600503908287,1
2019-10-31,MTD,-7051.439999999995,-7051.439999999995,2
2019-10-31,ULTA,8147.999999999991,8147.999999999991,1
2019-11-30,ERIE,-16252.10803565459,-16252.10803565459,3
2019-11-30,FDS,4682.460741386404,4682.460741386404,1
2019-12-31,EBAY,254.51737611719562,254.51737611719562,1
2019-12-31,FICO,21296.170000000006,21296.170000000006,2
2019-12-31,NVR,3218.670000000001,3218.670000000001,1
2020-01-31,HSY,-4375.017100268891,-4375.017100268891,3
2020-01-31,KLAC,10266.972946138809,10266.972946138809,1
2020-01-31,QCOM,6870.291629388987,6870.291629388987,1
2020-02-29,LRCX,1443.0943322016055,1443.0943322016055,1
2020-02-29,STX,-3326.693214340798,-3326.693214340798,1
2020-02-29,TER,6083.528846995581,6083.528846995581,2
2020-03-31,BLDR,-9247.250000000005,-9247.250000000005,2
2020-03-31,CDW,-11527.479286234096,-11527.479286234096,1
2020-03-31,HLT,1088.7901429931899,1088.7901429931899,7
2020-03-31,IDXX,-11716.199999999993,-11716.199999999993,6
2020-03-31,ORLY,5075.089333189397,5075.089333189397,17
2020-03-31,QCOM,-7649.614633229805,-7649.614633229805,1
2020-03-31,TGT,-6482.91696152399,-6482.91696152399,1
2020-04-30,HSY,-11050.014503603395,-11050.014503603395,1
2020-04-30,HWM,-32021.263328353605,-32021.263328353605,1
2020-04-30,LDOS,-15430.309907692397,-15430.309907692397,1
2020-05-31,CCL,17462.106149805597,17462.106149805597,1
2020-05-31,CPB,10625.275491856792,10625.275491856792,1
2020-05-31,GNRC,-8419.599999999993,-8419.599999999993,2
2020-05-31,MCO,33557.3677361076,33557.3677361076,13
2020-05-31,MGM,38556.8183359557,38556.8183359557,1
2020-05-31,OKE,41424.891688679796,41424.891688679796,1
2020-06-30,AAPL,13281.062096724001,13281.062096724001,3
2020-06-30,IDXX,11210.399999999994,11210.399999999994,1
2020-06-30,LMT,10146.952936859201,10146.952936859201,10
2020-06-30,ORLY,10238.127999870596,10238.127999870596,1
2020-06-30,WAT,8031.360000000011,8031.360000000011,1
2020-07-31,DVA,-1926.6000000000029,-1926.6000000000029,1
2020-07-31,EBAY,35429.5566163422,35429.5566163422,2
2020-07-31,FTNT,-1824.2279999999969,-1824.2279999999969,1
2020-07-31,NVDA,7794.611672679001,7794.611672679001,1
2020-07-31,REGN,19092.37249604129,19092.37249604129,2
2020-08-31,AMD,48563.99999999999,48563.99999999999,1
2020-08-31,BIIB,2913.130000000001,2913.130000000001,1
2020-08-31,GEN,2711.392874342404,2711.392874342404,3
2020-08-31,LMT,2873.6239103081925,2873.6239103081925,1
2020-08-31,LOW,15787.173691899008,15787.173691899008,2
2020-08-31,MCO,5721.231782545397,5721.231782545397,2
2020-08-31,ORLY,14149.746000000005,14149.746000000005,1
2020-08-31,SPGI,42055.260058756794,42055.260058756794,12
2020-08-31,WAT,18675.340000000004,18675.340000000004,1
2020-09-30,LLY,17667.169668284994,17667.169668284994,6
2020-09-30,META,16569.066542005297,16569.066542005297,1
2020-09-30,NEM,-1025.8686568415942,-1025.8686568415942,1
2020-09-30,NTAP,6972.973425751807,6972.973425751807,1
2020-09-30,STX,5727.154754348785,5727.154754348785,1
2020-10-31,AAPL,9079.508332173995,9079.508332173995,2
2020-10-31,AMD,-9754.859999999999,-9754.859999999999,1
2020-10-31,EBAY,-5726.331558460895,-5726.331558460895,2
2020-10-31,GNRC,23077.600000000002,23077.600000000002,2
2020-10-31,IDXX,-434.2299999999903,-434.2299999999903,2
