simulation,annualized_sharpe,cumulative_return,max_drawdown
0,1.0696739230927783,4.073212752861581,-0.16017142989732447
1,0.9124236455534569,2.224985229101615,-0.17247120319661036
2,1.074451691484543,4.40523400520586,-0.12383768555228358
3,1.0541113343999327,2.4024709870094485,-0.07590582817711722
4,0.8570358858647508,3.387656889965683,-0.20227271047235362
5,0.7053936180129621,1.631169941939159,-0.16449129956846453
6,0.9217405237523411,3.3442715394233247,-0.1414525842477259
7,1.1101855735071207,5.577955235329453,-0.15037531001568682
8,0.6730322077754649,2.380030616583947,-0.2535988966165682
9,0.8612541870763647,2.582102464955366,-0.1743377217683827
10,0.9558755412581774,2.897140288349934,-0.18526775500723103
11,0.9802898959359144,2.569759580197149,-0.10616049615624013
12,1.2591291087086824,9.749552012043672,-0.10616049615624013
13,1.218831463488574,7.191109498444435,-0.14887403218670048
14,1.1558427230896453,2.9922376897700027,-0.07529985836882869
15,0.7049598782525301,2.183204509948639,-0.15448078618426098
16,0.682718885589255,1.63444330832262,-0.17035858648004398
17,1.2831755750622418,4.325680721561457,-0.06415615526723428
18,1.5247893708414857,6.191279984636133,-0.04163787037972566
19,1.022863357132621,4.008259072700234,-0.1493892778963195
20,1.2930463066352225,5.630513845591475,-0.10616049615624013
21,0.8291848674105566,2.230723750436056,-0.11967748850386972
22,1.11671801274092,5.60084823426692,-0.10716430378811104
23,1.414554827330866,6.009415678287637,-0.10505917938885245
24,1.3979643212053328,7.811212863138289,-0.11946011170884496
25,0.6979061673714899,2.4015497657722356,-0.1666557897226354
26,1.1564186948848467,5.029673699953225,-0.15970233439156367
27,1.096589102385226,6.073111719114739,-0.14887403218670037
28,1.2545180615931626,4.6570948638941925,-0.14599495310200705
29,0.5857909401819581,1.7925714738942529,-0.16012984366887573
30,1.0383597380712368,3.19548711683686,-0.1491513425857004
31,1.0299049371637405,3.4714470852248667,-0.19279433204686514
32,1.2407182237901404,3.8603178603737085,-0.06265217680722046
33,0.8992507793942593,2.4869151655549,-0.1414525842477259
34,0.7487091599597523,2.11498768707921,-0.15448078618426098
35,0.6095351449782896,1.4508863555466203,-0.20326714470278928
36,1.1393718049997357,3.9156894635845108,-0.09225485599107708
37,1.2040256385275314,5.93441856005047,-0.1618215773563788
38,0.9524951347465539,4.41116990692523,-0.15546774646923545
39,1.094142203621358,5.943686454660904,-0.15513438033972815
40,0.9724538762500204,3.4509135948293874,-0.13333435749652067
41,0.846814704631964,2.383616598695887,-0.25073465041502185
42,1.2502116247574349,5.872623958531069,-0.15448078618426098
43,0.8634661045488866,2.7203401146486312,-0.15121089467771143
44,0.8328092219643879,2.749522999845313,-0.16743106855714052
45,1.0795480867022955,4.981862190791596,-0.14887403218670037
46,0.9825797146319091,2.7831598472173167,-0.16364999083729914
47,1.5176223894359642,5.407303212111345,-0.07350202154370722
48,1.4761093768297757,7.3848876802099905,-0.05850892686862408
49,0.8150100132879973,2.4312077174245803,-0.11213238970605743
50,0.8045719549342223,2.100236011724078,-0.14268643762931355
51,1.1138807624361255,3.877673689532812,-0.08675090376600747
52,1.4171930499590402,5.191343137458976,-0.10932471643816688
53,0.9794329110202562,2.8688832735850154,-0.10616049615624001
54,1.3056931619552377,8.174487224063297,-0.1759303219760887
55,0.5774823519186987,1.127071990675303,-0.15448078618426098
56,1.1423920787943154,5.073389354150305,-0.15724637959436205
57,1.2134332587654388,4.523357523635136,-0.15879637507031108
58,1.3030752577394271,5.858398207099065,-0.10616049615624001
59,0.607283655860515,1.5552241371125395,-0.13573464248472877
60,1.1935563263549458,4.80415130664088,-0.1414525842477259
61,1.3615514846607908,7.835629206407264,-0.10616049615624001
62,0.9792247558712763,2.963275017898517,-0.19173913524713226
63,1.5162929306586355,7.421166407855541,-0.10616049615624013
64,1.3278295082167133,4.376723080219035,-0.12306005169745093
65,1.405293678482111,6.396072040971625,-0.0769107488051457
66,1.1419706009719814,4.713786873799658,-0.060710449673374245
67,0.6314512012551411,1.1520667944055258,-0.17689609446337418
68,0.7194654073427792,1.5825297419556672,-0.15534561660926205
69,1.1873845016105553,4.768863695245892,-0.14745157087559257
70,1.0813249329567662,6.331510268558947,-0.16039068211963692
71,0.9780063213319173,5.570965510766169,-0.15977930740613
72,0.857047153005891,2.2369479025645767,-0.16360364432375396
73,1.1146436126320225,2.8686908309729535,-0.10758094952924846
74,1.2374219129005943,3.487736602637738,-0.07246407953893474
75,0.9458110134920763,3.3846257021081074,-0.17119144560202304
76,0.9461565865143257,3.7520963797620217,-0.15448078618426087
77,0.7944909072800656,2.68145525571596,-0.20853407044062977
78,1.1315619179011085,5.32093541845482,-0.24331034094525006
79,1.164416994216866,3.9015712432008307,-0.20824456295509153
80,1.1509352122975323,5.636856304147495,-0.16000729051219065
81,1.0780259355705413,4.308482580148402,-0.15448078618426098
82,1.1554126116991434,4.493579056197149,-0.12096603635086112
83,0.7338454867963737,1.9644701163859382,-0.15339899106245047
84,0.9869365448575735,3.8610188455061376,-0.1486774204504856
85,1.03079905889443,4.269222469769105,-0.1707035409971761
86,0.8853414772177561,2.006846516157828,-0.11967748850386972
87,1.384892442007701,3.623046379933122,-0.05792305268444764
88,1.2516533057344568,5.221104128641104,-0.12030910844147813
89,1.2559750512862584,7.03470102003422,-0.12096603635086112
90,0.7575834947024221,2.517452075312699,-0.1660960308850038
91,1.0915157320660533,4.99913330593508,-0.1550505779162593
92,0.9988116714921003,2.2210873781928555,-0.1567421024481752
93,1.0761566395779651,4.3266654848091495,-0.15448078618426075
94,1.0936977869595843,4.358781591625687,-0.14887403218670048
95,1.023032253213383,4.195374647684497,-0.16113697571319974
96,0.7637032309467866,1.9102903813259249,-0.11300165796148542
97,1.250136736507708,3.603552862928722,-0.05759126218397426
98,0.8574831340831117,3.7188181494742985,-0.1744762954673552
99,1.1279186258662774,3.282178396760602,-0.11967748850386972
100,0.9125241960254723,3.519213972430623,-0.1414525842477259
101,1.0669464925263143,4.450489392858108,-0.15761978167682833
102,1.0242265066001195,2.9958433438828798,-0.1404701974718321
103,0.9457152035322909,5.572816440796349,-0.19230544356833423
104,0.9915926148997897,2.8259577479042632,-0.1250753932628994
105,0.8258783024321845,2.1794834889075467,-0.12787479572585514
106,0.8081925275081997,2.5253531227426063,-0.16105694798689585
107,0.9726302532825468,3.8730117739477707,-0.12330755074879063
108,1.1261706034128613,4.558902364436709,-0.10616049615624001
109,1.238380484818954,3.6773012100599782,-0.10616049615624013
110,0.9614825185196336,3.507136965474234,-0.15448078618426087
111,0.961700034185479,4.467256982861506,-0.1722942637659961
112,0.7237910218719527,2.190557740293708,-0.1780866457607465
113,1.3903193026969205,9.644591077396317,-0.11967748850386972
114,0.8341764286052307,2.1885181142906522,-0.21216344915918672
115,0.378080017089111,0.6547995851280777,-0.19253217568935344
116,0.8870434963309818,2.39592858077043,-0.15448078618426098
117,1.2934885608664697,3.7694940257979095,-0.05040099293860023
118,1.0512468864924644,3.346830406522688,-0.15440401437725415
119,0.9983923369971729,2.432842049729196,-0.10948060694268724
120,0.9595207321295358,2.4280631195943445,-0.1171125168689291
121,1.0661036748047545,3.5909516795271053,-0.1708778463929822
122,1.0810581039309368,4.2675437589713265,-0.1414525842477259
123,1.2221691841586748,5.022835779767818,-0.10645172330571806
124,0.9683915791643357,3.630015978772154,-0.15483843259715702
125,1.0249579754573792,3.5422904731826392,-0.15547577955489766
126,1.0240349874820376,3.6544329539784517,-0.10616049615624013
127,0.8353431699689101,2.4968504761266046,-0.16392731540552508
128,0.6583211961103644,1.4412488712060907,-0.18482045964829397
129,0.7224359573907289,1.5788632379537901,-0.17285128670332073
130,0.9298579592220629,3.4487154486156895,-0.16147238366907968
131,1.0596136780193188,5.656302375779369,-0.20220732207583436
132,0.9963504305004817,2.5482171531848037,-0.10616049615624013
133,0.9876102385521509,2.161399534808385,-0.06579550797235811
134,0.9516580023961054,3.225783361728695,-0.15383591980420241
135,1.0942795037106299,3.7227691296127503,-0.16251042167446828
136,0.7478721330418172,1.7682130375841245,-0.15448078618426098
137,0.4235332341976331,0.9735792013013653,-0.18908150233916265
138,1.1597772955526244,3.4235966560658486,-0.10776656807101892
139,1.1267760018754438,2.48350386470121,-0.0525795289089348
140,0.8466409143809771,2.543612024396127,-0.17254888134067314
141,0.6053713805684207,1.7498128891597977,-0.15448078618426098
142,1.011386594696991,2.6817898864693497,-0.10616049615624001
143,1.0629160709657028,3.2080435824688847,-0.1108759203946833
144,0.9146761915703537,2.361422400309244,-0.12277315208842021
145,0.8992774690202686,3.2727337204463245,-0.12096603635086112
146,1.179686260356316,4.125462750764653,-0.1401346468473954
147,0.9474010281048877,3.379779875746884,-0.12150915512838667
148,0.9811841947671363,3.3700180604181362,-0.14145258424772578
149,1.1175384870679808,3.6177449466643363,-0.16449129956846453
150,0.9373549557604939,1.9562046104119384,-0.0525795289089348
151,1.304725152488736,9.172274928161,-0.10616049615624013
152,0.7945897365945348,2.3625783810627534,-0.1748803353259223
153,1.0350776437830733,3.9318605793999133,-0.10616049615624001
154,1.389275288536617,7.942918658344459,-0.05322039512096233
155,0.773591969770424,2.078605671982068,-0.17765773610918745
156,0.7579954059321612,1.6275057185369919,-0.18537730040624678
157,1.0675651328891793,5.7601101944837145,-0.1414525842477259
158,1.0596500749537707,3.9311239742893553,-0.10616049615624013
159,0.927247336629655,3.170103792380413,-0.1574085440536802
160,1.2314956269876731,4.937641075550254,-0.11137139481739966
161,0.8898766435836615,2.8518185062412407,-0.1559339185843882
162,1.2063609286806944,5.123306434798943,-0.1124883810915257
163,1.26174760099798,6.076432094089625,-0.10616049615624013
164,0.7492231779963812,2.483400323342049,-0.14245475213258207
165,0.7929848911340535,2.3539000101228056,-0.16329884226473457
166,1.5922048505637758,14.786006398586284,-0.10616049615624013
167,1.268626622741804,6.3396758874638675,-0.1603887399725097
168,0.8398443141537408,1.8288417973510964,-0.15448078618426098
169,0.8073887381447101,2.420031965452979,-0.13260347861765753
170,1.5927635454609204,7.83046155586964,-0.04068337958609247
171,0.97948552254925,2.981054360077599,-0.16411974288576958
172,0.9165070199748518,1.888063128069828,-0.1448379675431145
173,1.2232113667049973,5.42838516320317,-0.13740587095109125
174,0.8838094656049943,3.088301687330926,-0.13882270476300973
175,1.4466459598384815,8.236107819108078,-0.05932334604405609
176,0.6783200410424786,1.5313667596321627,-0.14952870735263524
177,1.1567635864415529,5.402670852429736,-0.12507367955138082
178,1.055245369923919,5.1427932839291195,-0.12096603635086112
179,0.8303584968963681,2.397279427337231,-0.15969009508857002
180,0.8468226889990725,2.128297310283648,-0.14887403218670037
181,0.8064180453180655,2.126240384004039,-0.14145258424772578
182,0.8771381282719096,2.641624008966402,-0.15448078618426098
183,0.759692803485217,1.7773700558951848,-0.15549198339724912
184,1.4219416097377184,8.577374981895186,-0.10616049615624001
185,1.0213337164746228,4.219971672091203,-0.1478913986995104
186,1.2304178803971355,5.234652144873543,-0.10616049615624013
187,0.9833326859563655,2.918678896552764,-0.15448078618426098
188,1.0118333325923516,3.99738353268014,-0.1924080802644592
189,0.7601434459298089,2.2005715161203225,-0.1544807861842612
190,0.854680729196131,1.7160065622598157,-0.21785411137736688
191,0.7516828347768243,2.145423597177041,-0.18837112849046822
192,0.7442605267251022,1.6042662057320074,-0.14663101859374061
193,0.7860412665264267,2.541364522901668,-0.15818874309910946
194,0.7612510951862599,2.3280080058190586,-0.20567310904831515
195,1.1269417061935862,4.39375987267736,-0.20463811638374008
196,0.9833609633994569,5.244532834753466,-0.1587022039882885
197,1.1751372740984114,4.044515657503077,-0.14679990719308544
198,0.9109971174778321,2.2762818334276282,-0.15900874206266158
199,1.1237353044565337,5.029161669575497,-0.24424152543257394
200,0.9710820090725838,4.175906733861421,-0.1883711284904679
201,1.1950719924605828,5.555583871685562,-0.15448078618426098
202,1.0448551143526386,2.4797712082274517,-0.10616049615624001
203,1.303972979820105,3.5648243780190274,-0.0634153294881985
204,0.9306308853636663,2.0645113875008696,-0.195558344646944
205,0.7910727015640214,2.5948215588915824,-0.1671118511062103
206,1.0588355684306647,5.099837604634047,-0.16574217416659442
207,0.8603412062546848,3.8054220190005363,-0.1488740321867006
208,1.0718012770145062,3.9072922643280306,-0.1414525842477259
209,1.1303088748468018,3.2057418918285583,-0.11967748850386983
210,0.8802200470186381,3.9730106212681013,-0.16816743141652768
211,1.3414060308960318,8.420216235560646,-0.10616049615624013
212,0.9589618508475053,4.032226711301768,-0.15448078618426087
213,0.756808147778183,1.3747879434498627,-0.10908413952368334
214,0.5117736848177386,0.7319905429434979,-0.12095150096060403
215,0.8465415108948919,2.6552969361595933,-0.1608159956510603
216,0.8161725739462815,1.5214125542721306,-0.10616049615624001
217,1.2122139913362822,4.353428283074336,-0.10616049615624013
218,1.045592747568341,2.842781561764367,-0.1692134007636804
219,1.0479941022855592,3.2997925745215984,-0.142807380982784
220,1.428388830559245,6.232156905253079,-0.057982633011381624
221,0.8416551116052227,3.1297753349947035,-0.16130526450871807
222,1.2874121245414798,5.21306828147726,-0.07225949516958241
223,1.1225461986120002,3.7498787550409185,-0.1414525842477259
224,0.6887543676319575,1.9991644541145557,-0.23591027539660914
225,1.0874751250951102,4.0013853627273885,-0.10616049615624013
226,1.0319466029924618,4.210902105779154,-0.199243641838578
227,0.9083695110486216,3.4756807407601933,-0.20557276940595215
228,1.3540605550844773,5.0934740452688905,-0.057703645031364936
229,1.0546242808707627,3.3891460312425163,-0.12310369048681125
230,1.2003084677561489,2.9797324737769886,-0.0579826330113814
231,1.1168593411409915,2.8191076902902528,-0.12522516418851748
232,1.0518154368158465,3.433992718434693,-0.18887936530726124
233,0.9574728822162425,3.24208396719252,-0.15448078618426098
234,1.009656807966606,4.84907335298839,-0.1724236390063496
235,1.0886670021047191,2.939530917924535,-0.06454493209723877
236,1.067967498822632,4.32306397535968,-0.12096603635086112
237,1.1704851790805653,4.042659020105922,-0.2098869366121986
238,0.6829937301746895,1.7730854802174845,-0.17727392094915873
239,1.0150952995960179,2.7921116838070286,-0.10616049615624013
240,0.9379257715328222,3.569242416630048,-0.142058903702438
241,1.2696342577822646,4.3412079672975326,-0.1414525842477259
242,0.48627375426832686,0.9722916166810807,-0.16912598261967682
