term,coefficient,full_model_p_value,refit_p_value,selected,n_obs,r_squared_refit,selected_variables
const,0.012112346954860909,0.00019427401739194138,4.363116989999489e-06,True,192,0.028826033124221162,ma_dev_3|ma_dev_5
ma_dev_3,-1.968659849109696,0.06043628235687099,0.15426601285028518,True,192,0.028826033124221162,ma_dev_3|ma_dev_5
ma_dev_5,1.49489795601404,0.014091647277744028,0.16353599961236098,True,192,0.028826033124221162,ma_dev_3|ma_dev_5
ma_dev_10,0.0,0.15585268565098045,,False,192,0.028826033124221162,ma_dev_3|ma_dev_5
ma_dev_20,0.0,0.1507881166415342,,False,192,0.028826033124221162,ma_dev_3|ma_dev_5
ma_dev_50,0.0,0.5311423976851914,,False,192,0.028826033124221162,ma_dev_3|ma_dev_5
ma_dev_100,0.0,0.37058378142974924,,False,192,0.028826033124221162,ma_dev_3|ma_dev_5
ma_dev_200,0.0,0.8135824609427323,,False,192,0.028826033124221162,ma_dev_3|ma_dev_5
ma_dev_400,0.0,0.7489402854466165,,False,192,0.028826033124221162,ma_dev_3|ma_dev_5
ma_dev_600,0.0,0.8904839720684473,,False,192,0.028826033124221162,ma_dev_3|ma_dev_5
ma_dev_800,0.0,0.710252654474233,,False,192,0.028826033124221162,ma_dev_3|ma_dev_5
ma_dev_1000,0.0,0.8430034927841528,,False,192,0.028826033124221162,ma_dev_3|ma_dev_5
