name,n_months,avg_monthly_return,monthly_volatility,annualized_return_approx,annualized_volatility,annualized_sharpe,t_stat,p_value,cumulative_return,max_drawdown,best_month,worst_month,approach,factor,common_start
portfolio_sort_hzz_trend_improvement_common,186,0.0007540621501040353,0.035594038575857655,0.009048745801248424,0.12330136651990403,0.07338723046340058,0.2889258152603678,0.7729616471766094,0.02461756941720772,-0.4474171399969087,0.1734974155479171,-0.13372656543157024,portfolio_sort,hzz_trend_improvement,2010-11-30
portfolio_sort_momentum_common,186,0.0032552704835232043,0.04288023113809175,0.03906324580227845,0.14854147794294387,0.26297870697962894,1.0353482047275215,0.3018577824706452,0.5421965607273762,-0.36841588891802324,0.1433415443324184,-0.1486786168939517,portfolio_sort,momentum,2010-11-30
portfolio_sort_pe_common,186,0.0009470279863980738,0.030704772845553074,0.011364335836776885,0.10636445320671827,0.10684336255356298,0.42064273901632687,0.6745041965596439,0.0932922315929392,-0.36959837167691767,0.11424751803163702,-0.1017251841997937,portfolio_sort,pe,2010-11-30
portfolio_sort_roe_common,186,-0.0021624507430899375,0.021586716176564547,-0.02594940891707925,0.07477857837275753,-0.34701661199984557,-1.366205767649843,0.17353275713369617,-0.3602050205281151,-0.38679429733473225,0.0672128200075022,-0.11533710390173202,portfolio_sort,roe,2010-11-30
portfolio_sort_trend_common,186,0.00037769881287812174,0.037752300791786104,0.004532385754537461,0.13077780614799256,0.034657147783993716,0.13644532727097877,0.8916176093050963,-0.060949363330143,-0.38261590090277164,0.15745931072655284,-0.20361437021467346,portfolio_sort,trend,2010-11-30
regression_hzz_trend_improvement_common,186,0.00010926394703420912,0.013119468502611984,0.0013111673644105094,0.04544717202964707,0.028850361988534304,0.1135839887329051,0.909690746954124,0.004493831503165513,-0.19126609144638906,0.0641923811571081,-0.05364587643865345,regression,hzz_trend_improvement,2010-11-30
regression_momentum_common,186,0.002009537843613702,0.015827449661093545,0.024114454123364423,0.05482789393450565,0.4398209085355386,1.7315766484819295,0.0850159737966976,0.41954602053185464,-0.11333179825985107,0.06498522714055507,-0.05127433157952448,regression,momentum,2010-11-30
regression_pe_common,186,-0.0007052639403085752,0.007708453242650046,-0.008463167283702902,0.026702865328077887,-0.3169385449734466,-1.2477882993493827,0.21368567380730805,-0.12779052491532228,-0.14167549370617283,0.026276338123551832,-0.020127602762105568,regression,pe,2010-11-30
regression_roe_common,186,-0.0004905912706757424,0.005364111868683719,-0.005887095248108909,0.01858182858808687,-0.3168200169429626,-1.2473216540267216,0.21385626950723483,-0.08966516772542654,-0.09838989376298257,0.01428125194716958,-0.024853958551550523,regression,roe,2010-11-30
regression_trend_common,186,-0.00019915018606347408,0.013387907155730547,-0.002389802232761689,0.046377070801480486,-0.05152982263565899,-0.2028731145898055,0.8394571588801207,-0.05224877104577119,-0.18166086620082877,0.05747633547388865,-0.07675929269417628,regression,trend,2010-11-30
