simulation,annualized_sharpe,final_equity,strategy_sharpe,p_value
0,0.635227060423704,4039865.850910132,1.0173131286117998,0.0
1,0.6989853521497065,4136757.8781806724,1.0173131286117998,0.0
2,0.7934038146225113,4035079.6633511847,1.0173131286117998,0.0
3,0.7007049711668766,4159562.1062999167,1.0173131286117998,0.0
4,0.6474870031156204,3705207.9068320254,1.0173131286117998,0.0
5,0.5676208058029132,3735868.4207965964,1.0173131286117998,0.0
6,0.5777066566013718,3440960.0142970206,1.0173131286117998,0.0
7,0.6119263655873185,3744674.4695115625,1.0173131286117998,0.0
8,0.7297699786087186,4457630.090755385,1.0173131286117998,0.0
9,0.5950808152167433,3557918.8684287975,1.0173131286117998,0.0
10,0.6487440162081821,4063990.442778812,1.0173131286117998,0.0
11,0.4702992104738292,3049920.8055316354,1.0173131286117998,0.0
12,0.7401846752066461,4420754.545612302,1.0173131286117998,0.0
13,0.7288903869309569,4094073.3097626762,1.0173131286117998,0.0
14,0.6861807630711251,4436547.49557636,1.0173131286117998,0.0
15,0.6301424928951975,4262623.677261336,1.0173131286117998,0.0
16,0.624420272593764,3973877.0299475896,1.0173131286117998,0.0
17,0.5200077745679246,3296920.9961181283,1.0173131286117998,0.0
18,0.8183214678422313,4703206.588229364,1.0173131286117998,0.0
19,0.6113299405430858,3845354.4342023768,1.0173131286117998,0.0
20,0.5830612140567933,3515120.063745805,1.0173131286117998,0.0
21,0.5645225530536321,3576184.6524037733,1.0173131286117998,0.0
22,0.5791218535287566,3665017.617204995,1.0173131286117998,0.0
23,0.7397263341379304,4133671.100247332,1.0173131286117998,0.0
24,0.5849304960782183,3747050.438837251,1.0173131286117998,0.0
25,0.5675440811757498,3683642.025825064,1.0173131286117998,0.0
26,0.5386933879102165,3375315.816239434,1.0173131286117998,0.0
27,0.6088814279025894,3532385.6778355152,1.0173131286117998,0.0
28,0.6346635908149789,3521846.125161676,1.0173131286117998,0.0
29,0.7534174226861251,4209268.438588534,1.0173131286117998,0.0
30,0.6131075596819098,3640250.4662812236,1.0173131286117998,0.0
31,0.7550705786024112,4639293.432512737,1.0173131286117998,0.0
32,0.5933540111470994,3968058.9848665274,1.0173131286117998,0.0
